x	Y_20180130_15100b_22_12g
0	10911.271
0.1334	11921.121
0.2668	14147.3
0.4003	17987.438
0.5337	20221.859
0.6671	20174.807
0.8005	18537.631
0.934	16707.205
1.0674	15887.04
1.2008	14755.005
1.3342	14417.245
1.4676	13999.907
1.6011	13978.504
1.7345	14039.381
1.8679	14770.917
2.0013	15179.784
2.1348	14607.794
2.2682	14597.994
2.4016	14074.782
2.535	13576.051
2.6684	13487.336
2.8019	14316.943
2.9353	14151.192
3.0687	15429.802
3.2021	16217.049
3.3356	16147.696
3.469	15504.104
3.6024	15024.781
3.7358	14214.531
3.8692	13341.278
4.0027	12815.52
4.1361	12580.404
4.2695	13426.135
4.4029	NaN
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
5.3369	NaN
