x	Y_20180130_15100b_17_10g	Y_20180130_15100b_20_10g	Y_20180130_15100b_22_10g	Y_20180130_15100b_22_12g	Y_20180130_15100b_23_5g	Y_20180130_15100b_23_6g	Y_20180130_15100b_5_8g	Y_20180130_15100b_8_4g
0	13263.013	12236.648	10947.631	10911.271	11958.735	12433.726	11377.644	12840.085
0.1334	13831.661	13604.074	11851.555	11921.121	14120.215	13425.4	12244.957	14760.338
0.2668	15354.895	17825.145	13956.349	14147.3	17391.951	15450.295	14423.243	17932.73
0.4003	17363.184	20601.988	16555.672	17987.438	17155.963	19357.648	18030.195	20434.934
0.5337	19565.492	19565.871	17741.074	20221.859	15332.385	21387.832	19582.787	20728.775
0.6671	17906.105	18083.275	17148.865	20174.807	13865.98	18031.096	18285.707	18222.107
0.8005	15913.569	15479.486	15606.594	18537.631	13443.693	16285.277	16362.234	17327.111
0.934	14867.096	14116.363	13800.79	16707.205	13279.393	15074.45	15722.723	16477.195
1.0674	14129.658	13862.974	13386.817	15887.04	13411.128	14725.67	15549.07	14833.349
1.2008	13010.047	13366.192	13473.271	14755.005	13896.745	13911.749	16086.511	14333.861
1.3342	13820.338	12609.47	12972.363	14417.245	13645.827	13722.711	14976.033	14051.905
1.4676	13275.491	12585.001	14626.87	13999.907	13716.716	13166.945	14144.562	13598.345
1.6011	13597.48	13339.155	15510.276	13978.504	13908.274	12679.322	13777.767	14211.604
1.7345	13792.022	14836.762	16398.824	14039.381	13239.109	12785.552	13637.401	13692.451
1.8679	13838.781	15265.987	16654.977	14770.917	13482.305	13692.27	13300.568	13262.587
2.0013	13373.42	15483.393	16558.27	15179.784	15078.462	14186.305	13388.73	12203.84
2.1348	13808.63	15878.376	15811.448	14607.794	14510.585	14962.765	12884.649	13193.502
2.2682	14341.323	17354.639	15765.809	14597.994	15304.509	15928.03	13502.783	12757.959
2.4016	13383.623	17803.934	15572.048	14074.782	15421.456	15718.143	13148.712	14125.976
2.535	13679.815	16867.389	16373.992	13576.051	15781.063	15414.792	13313.508	14395.866
2.6684	13870.163	16679.395	15939.129	13487.336	14724.137	15138.147	13775.44	15733.701
2.8019	12704.009	17038.891	15371.164	14316.943	13830.58	13900.299	14196.947	16218.62
2.9353	12781.456	17534.391	14843.915	14151.192	13190.182	13106.279	16110.906	14988.249
3.0687	13401.424	16721.516	13358.458	15429.802	13649.099	12892.22	18900.143	14921.375
3.2021	13261.65	15464.1	13524.255	16217.049	13780.362	13267.714	17644.949	14260.774
3.3356	13159.97	14249.308	13369.294	16147.696	13156.359	12869.869	15626.968	14046.713
3.469	12838.668	12867.094	12926.229	15504.104	12857.54	13303.063	14012.797	12661.688
3.6024	13293.004	12123.898	13108.755	15024.781	13077.574	12141.742	12687.573	12468.52
3.7358	12925.248	12110.646	12974.045	14214.531	13593.124	11952.04	12878.57	12807.268
3.8692	13003.379	12544.395	NaN	13341.278	12740.738	NaN	12274.368	12902.61
4.0027	NaN	NaN	NaN	12815.52	NaN	NaN	12089.21	12946.462
4.1361	NaN	NaN	NaN	12580.404	NaN	NaN	12457.857	NaN
4.2695	NaN	NaN	NaN	13426.135	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
