x	Y_20180212_14590_13_1g	Y_20180212_14590_14_1g	Y_20180212_14590_39_1g
0	14231.506	13944.156	11371.864
0.1334	14996.176	13600.894	12258.142
0.2668	15060.924	15408.649	12310.364
0.4003	16493.793	17581.309	14159.106
0.5337	19217.967	18145.945	16747.016
0.6671	17824.836	17201.48	19343.465
0.8005	16916.848	18105.463	19975.586
0.934	17741.33	18253.189	19525.281
1.0674	16637.984	17415.666	20029.326
1.2008	16629.725	17315.307	19012.807
1.3342	16296.954	16933.773	17293.67
1.4676	14793.523	18608.047	16382.838
1.6011	16000.358	19337.615	16463.652
1.7345	18146.258	20599.559	16222.384
1.8679	17982.926	22889.363	15589.171
2.0013	18977.104	22448.803	15893.338
2.1348	21004.064	20446.197	16339.867
2.2682	23478.115	18535.844	17746.881
2.4016	27189.848	17316.887	21287.596
2.535	31078.74	NaN	24686.816
2.6684	33311.812	NaN	NaN
2.8019	28847.141	NaN	NaN
2.9353	NaN	NaN	NaN
