x	Y_20180212_14590_13_1g	Y_20180212_14590b_1_9g	Y_20180212_14590b_20_3g
0	14231.506	13263.991	13576.913
0.1334	14996.176	15972.598	14663.073
0.2668	15060.924	20394.127	15904.816
0.4003	16493.793	22210.436	19145.766
0.5337	19217.967	22656.182	19915.338
0.6671	17824.836	20398.203	20491.914
0.8005	16916.848	20709.863	18491.055
0.934	17741.33	19591.912	17851.084
1.0674	16637.984	19618.195	18141.566
1.2008	16629.725	18907.287	18744.516
1.3342	16296.954	19378.25	19680.256
1.4676	14793.523	18410.838	20309.09
1.6011	16000.358	19733.08	20293.973
1.7345	18146.258	19808.455	21261.229
1.8679	17982.926	20825.646	21789.375
2.0013	18977.104	21005.516	23442.812
2.1348	21004.064	23046.58	20981.857
2.2682	23478.115	24870.582	18473.977
2.4016	27189.848	23708.057	16760.02
2.535	31078.74	21165.906	16443.846
2.6684	33311.812	19421.92	16726.688
2.8019	28847.141	18532.09	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
