x	Y_20180212_14590b_15_8g	Y_20180212_14590b_17_8g	Y_20180212_14590b_18_7g	Y_20180212_14590b_22_5g	Y_20180212_14590b_25_2g	Y_20180212_14590b_25_3g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_6g	Y_20180212_14590b_39_3g	Y_20180212_14590b_4_8g	Y_20180212_14590b_43_1g	Y_20180212_14590b_45_2g	Y_20180212_14590b_5_3g
0	35912.207	35571.484	41083.199	40277.996	40447.977	40780.887	36069.684	37000.133	38114.559	34947.336	32916.906	37905.781	35766.477
0.1334	34301.992	33724.199	40219.262	40144.848	41289.691	40024.723	36174.715	38369.906	37365.082	35693.961	35096.004	38193.816	34157.562
0.2668	34433.836	32701.52	38933.621	40302.035	41256.191	41169.738	36571.625	39914.527	37836.918	38429.086	36795.926	35982.648	35483.031
0.4003	35984.605	32875.121	40822.129	40899.82	40923.172	41074.41	37689.867	38685.453	39290.957	38263.121	38355.184	38044.23	34964.277
0.5337	34484	35161.086	41030.539	40519.219	41234.957	39811.789	37341.672	39587.262	38648.027	37558.48	34314.551	38646.355	33212.207
0.6671	34223.254	34224.5	39497.121	40837.852	41208.93	41544.551	36936.977	40088.562	38600.711	36989.707	34604.867	37592.648	34428.363
0.8005	36130.426	33295.242	38886.773	39828.512	39433.898	39429.574	36509.699	40086.266	39578.473	36631.77	36684.766	37067.25	35456.66
0.934	36858.5	34595.824	39030.277	40270.57	39313.062	37949.719	38723.375	40624.816	39927.641	35364.074	35929.793	37414.215	33888.168
1.0674	35496.973	35662.117	39386.891	40793.496	40561.867	39595.129	38659.039	39896.703	40886.797	37161.555	36832.547	38158.223	34921.641
1.2008	35999.98	36862.121	40521.781	40231.387	39037.344	43497.047	39911.816	42432.145	39021.613	36078.43	36812.469	37421.793	36943.352
1.3342	35021.074	38908.574	39022.266	40613.188	40015.195	42237.648	39841.121	42040.293	38552.723	35316.777	35887.227	40786.809	34312.438
1.4676	37855.742	42058.488	39937.168	41595.402	42346.625	43775	40761.434	42224.105	39004.109	37336.66	39972.934	43864.93	36147.281
1.6011	37318.383	43342.883	40366.309	42157.285	42846.047	47091.09	41622.453	43433.086	39032.469	38805.68	39963.52	47182.664	38725.664
1.7345	39897.141	40353.98	44689.961	42182.703	45961.934	44754.398	39720.605	44089.66	42188.422	40865.023	40907.145	49900	44948.824
1.8679	47324.406	39973.305	52480.121	45182.84	54433.598	52915.199	42550.043	46002.742	45109.613	39384.391	41975.719	63463.77	52617.449
2.0013	65203.352	43049.301	65967.125	52443.219	69623.852	62352.305	45114.316	53832.184	52761.641	45695.09	45792.812	93985.086	75563.898
2.1348	95649.516	51652.977	107883.219	67110.219	103651.367	86933.273	54773.629	70943.227	77562	55173.258	56553.309	150955.297	100609.555
2.2682	107010.328	72036.406	151358.625	99545.57	133545.656	139269.875	74803.023	122617.43	107158.922	78923.219	80374.469	181794.125	132113.422
2.4016	83391.055	108486.336	122622.461	145864.25	113533.969	164111.234	110701.547	206252.891	110428.742	116598.383	126221.883	146628.938	136550.25
2.535	56281.121	121862.914	77688.789	146773.938	74107.555	125287.234	119007.578	247321.734	80597.922	123708.312	139031.312	91934.492	94449.188
2.6684	NaN	93832.969	53537.824	98567.789	52922.355	78834.484	86118.422	220934.281	55350.281	82906.68	99752.742	58700.684	59365.516
2.8019	NaN	57051.488	44154.34	64086.445	46045.586	58325.844	NaN	144039.719	46134.48	57890.484	66118.18	49177.922	47091.809
2.9353	NaN	43646.98	NaN	51472.188	NaN	NaN	NaN	79869.422	NaN	NaN	51677.688	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42951.176	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
