x	Y_20180212_14590b_22_1g	Y_20180212_14590b_44_1g	Y_20180212_14590b_6_4g	Y_20180212_14590b_7_8g
0	12137.101	12501.659	15592.962	14977.345
0.1334	14327.086	13649.846	16932.336	15807.729
0.2668	18618.502	15065.151	20069.268	19325.998
0.4003	24769.793	19545.039	27175.803	25146.061
0.5337	27219.91	28272.619	28036.842	34495.117
0.6671	23752.869	34764.789	24034.555	38365.605
0.8005	19131.355	31734.271	21018.24	34410.023
0.934	17972.439	25918.09	19678.861	27884.625
1.0674	17929.846	24512.949	18309.496	23674.219
1.2008	19353.816	21585.354	17213.426	21269.252
1.3342	18797.742	20282.672	15570.749	19356.508
1.4676	16704.527	18480.781	16090.549	18942.527
1.6011	15979.217	18181.957	15527.984	17223.424
1.7345	12936.3	21254.652	15672.217	16922.02
1.8679	13939.511	20469.846	16236.665	17566.703
2.0013	12732.6	19615.641	15742.178	17745.719
2.1348	13341.973	17399.594	15917.026	15674.087
2.2682	12829.361	15102.312	15909.982	14044.734
2.4016	13278.056	14220.651	17015.189	15159.196
2.535	13492.019	14528.287	17116.529	16939.693
2.6684	15183.39	14200.333	17575.705	18143.902
2.8019	17531.582	15226.05	18286.373	22911.18
2.9353	20836.645	17929.945	16916.928	28814.672
3.0687	NaN	21532.02	16597.199	33153.57
3.2021	NaN	27349.65	16402.111	NaN
3.3356	NaN	30443.275	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
