x	Y_20180212_14590b_10_4g	Y_20180212_14590b_12_3g	Y_20180212_14590b_13_4g	Y_20180212_14590b_13_7g	Y_20180212_14590b_16_4g	Y_20180212_14590b_16_5g	Y_20180212_14590b_18_5g	Y_20180212_14590b_18_9g	Y_20180212_14590b_19_1g	Y_20180212_14590b_19_4g	Y_20180212_14590b_19_5g	Y_20180212_14590b_19_6g	Y_20180212_14590b_20_1g	Y_20180212_14590b_23_1g	Y_20180212_14590b_24_4g	Y_20180212_14590b_26_6g	Y_20180212_14590b_27_4g	Y_20180212_14590b_29_1g	Y_20180212_14590b_32_2g	Y_20180212_14590b_39_1g	Y_20180212_14590b_39_5g	Y_20180212_14590b_4_7g	Y_20180212_14590b_40_2g	Y_20180212_14590b_41_1g	Y_20180212_14590b_48_13g	Y_20180212_14590b_5_2g	Y_20180212_14590b_6_7g	Y_20180212_14590b_6_8g	Y_20180212_14590b_7_6g	Y_20180212_14590b_8_2g	Y_20180212_14590b_9_6g
0	33752.84	34079.453	35912.184	37640.773	42730.676	40279.844	40087.004	31745.402	30545.426	32449.064	39471.973	34531.102	38109	37355.82	36125.449	41998.355	37694.961	38547.074	37080.277	33020.387	39392.367	38060.156	40659.625	37735.258	43138.934	35515.492	35422.367	37392.699	32993.445	37137.055	37832.555
0.1334	34936.633	35724.398	36481.434	39112.789	42794.32	40643.016	40162.211	32614.426	30017.975	32421.062	38199.734	34897.324	39930.309	38975.234	37918	40495.008	36924.898	37708.883	37681.641	35400.465	40548.547	39192.305	40225.918	38037.344	41378.125	35848.477	35264.727	37493.316	32473.928	37036.699	40166.82
0.2668	34799.426	35494.805	37419.492	40358.645	40689.062	41439.195	39570.328	33536.93	29847.996	33323.422	38933.652	33587.055	39568.285	37177.25	37710.16	39059.027	36671.211	38027.191	37545.344	35782.246	38305.508	37679.301	38676.836	38285.758	42922.43	36320.375	36041.395	35864.832	36359.172	35329.695	40347.848
0.4003	34999.508	36406.867	37167.449	40603.176	40576.875	40493.121	38460.281	33238.555	31849.594	33668.043	37512.574	33045.148	39038.113	36881.449	36392.012	40537.867	37731.555	37438.445	37967.656	34939.68	38407.785	39761.137	40951.879	38743.121	41493.121	36094.562	35123.805	35595.301	38499.715	35203.621	40082.793
0.5337	35083.113	36615.277	37042.727	40534.316	40869.242	41826.445	37816.195	33416.324	30908.426	33957.289	37735.082	33708.277	39006.75	36646.062	39012.492	39828.688	38357.781	37810.246	37512.664	33576.059	39951.348	37615.879	40430.668	39018.586	41676.379	35948.328	35393.516	35735.602	36300.539	36332.18	40684.211
0.6671	35098.191	35466.09	37203.152	39142.551	40015.625	40322.5	38799.422	35157.727	32415.496	35210.176	37601.66	34948.406	38704.723	35922.551	37322.227	39952.133	36878.848	38023.762	37782.742	36996.055	41545.117	37460.191	40536.422	39496.191	40391.562	35505.121	36257.844	36129.434	34512.273	37043.82	39556.902
0.8005	35892.77	35116.348	37010.73	39616.398	39145.293	41968.961	39686.141	34202.641	32291.699	34912.793	38419.246	33559.75	41056.926	35502.52	35873.469	41021.934	37275.652	36613.465	38030.852	37949.879	41157.219	37398.449	40713.559	41125.859	42633.551	34022.672	35739.055	36604.633	35081.16	36318.551	40930.727
0.934	35976.43	35907.016	37227.445	42752.668	41429.719	40190.293	41275.305	35524.672	32016.971	34955.809	38458.914	34828.07	40753.418	34466.418	36934.953	39952.762	39205.516	37050.723	38990.055	38172.094	43532.07	37220.332	40124.852	40840.355	41489.465	36491.906	34601.016	37816.668	34105.645	36592.621	42048.031
1.0674	37396.516	37409.512	37782.984	43510.805	41822.359	43011.801	41973.605	34443.102	34627.09	34173.66	38874.863	35467.289	40176.613	34728.273	37549.363	40570.656	37527.629	37790.559	41206.816	39939.875	45859.223	40031.93	39328.746	40572.375	41663.254	35924.727	36998.59	37384.113	35697.703	36067.613	43733.605
1.2008	37439.676	36008.816	36640.117	49923.988	45452.102	45612.266	41814.98	35238.809	34690	34133.855	38205.805	35676.312	41292.812	36632.801	40036.648	40667.25	38412.852	39489.602	46973.164	40622.633	49945.258	39225.945	38870.539	40343.668	43915.316	37114.062	36567.777	39244.105	33705.781	38077.352	43487.805
1.3342	37301.035	37463.293	36591.613	58990.277	54383.992	52362.52	42227.988	37309.586	36831.344	34377.977	38279.395	38494.73	43410.078	38776.66	42039.414	39878.438	43429.84	40982.062	63377.348	47621.125	62661.312	41045.027	40154.305	40984.023	43805.637	39488.004	37618.828	40067.793	35126.469	42276.895	44855.59
1.4676	39505.934	38200.438	40479.461	89466.758	81065.516	67062.367	44646.926	38922.586	38777.281	35435.039	40346.234	42178.652	47345.324	42325.297	44503.957	42048.355	58510.402	44493.68	89338.922	65236.004	91640.047	40463.648	45491.918	44740.812	47604.332	42752.754	43364.043	47650.504	39124.117	55681.887	54272.719
1.6011	42072.246	39515.703	42657.473	144791.594	140491.25	98186.312	50058.109	42273.82	49540.051	37769.688	44665.09	51083.473	57482.551	50038.105	56735.672	52780.691	87520.141	54528.031	126891.391	107439.562	136293.719	43017.891	54019.438	44119.234	58474.32	59055.941	55213.926	61997.445	44346.555	82234.062	71904.906
1.7345	49451.137	42871.598	50762.25	163922.281	216047.156	147906.391	60488.047	56608.18	70764.938	41535.777	56996.598	70560.312	82274.461	72846.32	84897.102	83740.336	111131.047	77247.953	110043.828	136715.531	146677.609	45956.789	73652.492	45639.887	83423.047	96726.18	89447.625	95037.523	59685.578	112925.461	99396.594
1.8679	70785.414	49814.688	71427.438	122153.062	213515.109	152654	90248.633	85040.5	100813.352	56332.035	81249.773	98298.094	125279.078	103572.391	128121.836	152605.75	90544.625	114799.797	70563.094	123879.609	103805.383	54729.691	115785.812	50031.801	116583.078	123926.305	130593.148	124827.375	94776.609	101912.336	102556.766
2.0013	112020.812	70354.195	94041.516	NaN	135536.531	107895.461	129230.938	97644.969	95074.82	84685.07	104929.648	86325.719	125664.953	116389.883	126347.969	201551.062	61194.719	115841.367	51530.051	87630.945	NaN	82267.719	160878.688	63074.48	117400.758	102084.836	127446.188	101934.93	131144.875	69208.273	78237.82
2.1348	129873.422	98612.602	91239.633	NaN	80605.398	69890.992	132004.281	79936.672	62810.426	116833.562	98286.43	60211.605	87982.531	87209.961	86663.641	159152.5	47789.805	85453.602	46086.434	61616.945	NaN	116279.641	143157.938	89425.898	86888.781	70134.836	84117.289	61457.969	118922.078	49606.941	NaN
2.2682	99241.031	98371.875	60870.07	NaN	56341.441	55209.605	96521.602	54174.66	43138.727	109693.414	69503.008	45042.359	62085.301	56506.613	61268.992	88112.227	41761.148	57083.883	NaN	48557.52	NaN	111358.469	93176.211	127536.961	57845.328	49715.25	56806.996	45594.695	78120.992	42219.387	NaN
2.4016	65137.426	72158.758	NaN	NaN	NaN	NaN	64021.918	41361.539	35908.766	73410.445	50454.594	39349.367	50478.859	46442.668	48796.293	56452.602	NaN	45217.953	NaN	NaN	NaN	78565.672	59798.582	150387.766	49030.094	44373.148	NaN	41321.953	53244.207	NaN	NaN
2.535	NaN	51294.59	NaN	NaN	NaN	NaN	48958.457	NaN	32554.695	52613.281	44017.652	37526.805	46273.371	NaN	NaN	45655.051	NaN	NaN	NaN	NaN	NaN	53603.273	48757.262	131090.688	NaN	NaN	NaN	NaN	42292.691	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45011.562	41934.273	37081.043	43073.887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44906.426	45154.312	90530.297	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42284.336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40616.215	43492.043	59672.82	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40587.07	NaN	50491.305	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44029.363	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
