x	Y_20180212_14590b_18_2g	Y_20180212_14590b_20_3g	Y_20180212_14590b_22_1g	Y_20180212_14590b_27_3g	Y_20180212_14590b_28_3g	Y_20180212_14590b_31_5g	Y_20180212_14590b_33_6g	Y_20180212_14590b_44_1g	Y_20180212_14590b_6_4g	Y_20180212_14590b_7_8g
0	36437.258	39230.102	36956.254	37918.641	36570.926	42021.812	29980.9	40456.066	38986.641	38959.781
0.1334	37717.367	40495.23	37123.488	39666.949	35640.098	39897.184	29898.166	40207.934	39277.969	38584.262
0.2668	37990.434	40983.762	37836.988	39942.711	37033.73	40455.957	29917.986	41232.016	41251.145	38061.535
0.4003	38584	38010.605	37974.758	39130.602	37937.137	40684.887	29305.754	40835.996	40524.281	37093.145
0.5337	37705.273	38668.043	37415.629	38886.738	37751.23	40134.324	30367.238	42736.977	41256.664	36162.059
0.6671	39282.488	39675.391	37041.254	37875.215	36170.973	41515.312	29800.051	39917.91	39907.957	35638.566
0.8005	38258.016	38609.453	37588.609	37545.027	37300.125	41423.539	31357.973	38927.23	40943.332	37262.633
0.934	37377.141	37941.219	37887.047	37070.637	38339.824	40086.855	32390.666	41604.328	39541.559	37127.688
1.0674	37459.172	39231.93	37061.312	37282.574	37635.691	40493.316	31511.74	42065.645	37332.246	35020.191
1.2008	38451.473	38118.465	38881.996	37160.324	37584.066	42022.379	30362.561	41552.953	37658.395	36635.402
1.3342	38892.914	40391.387	37581.363	37750.395	39090.633	40930.168	31556.777	40891.168	38037.504	37760.281
1.4676	39937.488	40132.523	39181.375	38122.598	38889.918	42342.59	32707.951	40142.711	37963.578	37272.219
1.6011	39346.648	39095.242	37517.773	38741.734	40160.391	43430.152	30959.633	40906.875	36528.977	38926.621
1.7345	40872.711	39670.035	37948.352	38855.574	38501.594	42002.98	30825.062	42865.16	38120.594	38439.375
1.8679	40974.219	41796.801	38832.707	37079.07	38759.414	41613.621	31049.699	43017.109	40570.75	36385.059
2.0013	38935.238	43274.84	40811.156	40134.32	38921.703	44332.102	30571.371	43572.988	41859.344	37597.898
2.1348	42201.711	43876.168	42402.645	39515.879	38782.051	48663.816	31201.045	45669.746	44648.031	38433.922
2.2682	42718.738	51990.188	49822.684	41343.422	38071.656	57433.094	32083.953	51380.531	53248.637	40254.09
2.4016	44821.5	64421.973	69503.828	46175.129	38951	83271.617	35040.531	58077.824	70523.953	44338.41
2.535	52736.711	93474.836	112433.758	57651.473	45658.457	134618.828	39942.91	75668.617	113514.609	56507.137
2.6684	72640.406	140717.5	163092.734	82265.875	54063.227	187540.562	54128.266	111183.93	164015.016	80667.094
2.8019	100419.609	160744.609	136669.562	109365.883	78820.594	167490.797	81250.719	144807.203	162501.188	112079.992
2.9353	101372.406	124205.242	82220.188	101576.992	109661.414	108644.336	113288.07	120970.336	101913.281	107731.758
3.0687	75399.062	82161.258	NaN	68473.391	109486.57	67930.469	114728.562	77494.891	65826.75	73398.57
3.2021	NaN	56824.281	NaN	51194.629	74096.047	52942.816	80291.945	55668.125	48998.242	NaN
3.3356	NaN	47270.129	NaN	NaN	52158.34	NaN	49993.125	46888.824	NaN	NaN
3.469	NaN	NaN	NaN	NaN	43067.184	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
