x	Y_20180224_15100_10_2g	Y_20180224_15100_15_4g	Y_20180224_15100_20_10g	Y_20180224_15100_22_4g	Y_20180224_15100_9_10g
0	41555.18	38160.699	32556.348	42237.137	40066.57
0.1334	41899.348	39543.836	32772.008	41096.543	40283.789
0.2668	43102.504	40739.793	32804.383	41561.141	40001.766
0.4003	41298.664	37642.984	33332.766	40978.473	40609.352
0.5337	41484.895	40910.562	32783.18	42396.008	40609.863
0.6671	41673.574	40116.559	32012.812	43666.387	41719.188
0.8005	42469.887	40826.172	32792.668	44984.453	40707.711
0.934	42627.039	40427.711	33241.629	42691.777	40042.742
1.0674	42045.648	40268.008	33464.938	43809.055	40379.09
1.2008	42874.922	39937.676	33960.008	44242.957	41431.934
1.3342	46421.977	41510.715	34133.738	44129.703	42737.109
1.4676	45613.801	41151.48	34225.961	45032.027	42818.656
1.6011	43535.547	44656.297	35637.609	46278.25	43133.844
1.7345	44300.035	50884.328	38261.531	49960.035	46790.273
1.8679	45857.426	65845.258	44225.551	54979.973	54724.391
2.0013	49699.816	69218.805	45175.035	64165.68	70246.781
2.1348	58660.48	54215.738	42362.301	72069.703	81675.383
2.2682	61489.066	46904.852	NaN	62299.305	73219.172
2.4016	54385.227	43389.949	NaN	50738.98	56453.57
2.535	48156.848	40148.992	NaN	47346.23	53640.02
2.6684	45024.457	NaN	NaN	46718.957	NaN
2.8019	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN
