x	Y_20180224_15100_22_1g	Y_20180224_15100_26_2g	Y_20180224_15100_7_7g	Y_20180224_15100_8_2g
0	39382.098	36268.523	40116.586	40366.785
0.1334	40321.113	36356.051	39522.711	40423.633
0.2668	38866.262	36487.938	40064.84	40694.688
0.4003	38660.738	35915.059	38089.43	39343.043
0.5337	39010.59	36197.918	40267.898	39190.969
0.6671	39145.137	38879.422	40731.328	39236.613
0.8005	38333.051	39088.543	39705.371	39774.762
0.934	37756.262	40955.891	38015.371	42055.352
1.0674	37906.426	40701.578	40195.359	42979.402
1.2008	37323.102	40284.277	42789.34	42630.664
1.3342	38235.926	40420.82	40754.352	41716.297
1.4676	37391.18	40508.512	39759.172	40814.938
1.6011	37978.441	39634.566	39407.078	41341.211
1.7345	38934.383	40367.387	40639.66	40481.867
1.8679	38946.703	39327.266	41356.684	41522.938
2.0013	40173.879	39239.102	42245.172	41230.441
2.1348	39398.266	38905.25	41100.059	41052.965
2.2682	37705.254	37898.883	40815.68	42135.453
2.4016	39445.562	37141.219	42192.395	41301.164
2.535	39635.969	37632.406	43018.59	44723.398
2.6684	40447.207	39532.672	47950.344	49997.348
2.8019	42756.004	40896.055	59960.43	50813.824
2.9353	50106.676	44762.773	64678.508	46167
3.0687	58102.738	54422.91	54774.82	43172.168
3.2021	64911.148	55836.32	48319.254	40107.027
3.3356	58342.621	48261	44227.984	NaN
3.469	49410.602	42730.5	44296.133	NaN
3.6024	45334.801	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN
