x	Y_20180224_15100_9_1g
0	49682.848
0.1334	39426.715
0.2668	37224.219
0.4003	36403.211
0.5337	36495.164
0.6671	36563.133
0.8005	35632.055
0.934	36851.777
1.0674	35904.652
1.2008	37289.695
1.3342	37679.645
1.4676	39226.824
1.6011	37630.281
1.7345	37297.07
1.8679	38281.074
2.0013	38378.039
2.1348	37898.078
2.2682	39704.926
2.4016	38710.844
2.535	38394.535
2.6684	36420.883
2.8019	37162.145
2.9353	37048.688
3.0687	37337.582
3.2021	39554.031
3.3356	40714.98
3.469	44536.219
3.6024	58432.617
3.7358	84824.203
3.8692	95059.43
4.0027	71751.625
4.1361	52760.898
4.2695	44147.512
4.4029	40246.457
