x	Y_20180224_15100_11_2g	Y_20180224_15100_12_5g	Y_20180224_15100_14_3g	Y_20180224_15100_30_2g	Y_20180224_15100_30_7g	Y_20180224_15100_4_1_1g	Y_20180224_15100_7_3g	Y_20180224_15100_8_1g	Y_20180224_15100_9_5g
0	13687.232	12816.243	12193.887	13086.598	14302.55	14654.944	12499.463	14519.302	15295.603
0.1334	14822.909	14786.585	12101.462	14407.368	15652.316	14933.664	12340.381	15883.709	16202.797
0.2668	16809.092	17790.205	13427.44	17430.99	20656.867	16799.783	13926.974	16995.23	19158.545
0.4003	20567.086	24172.25	15289.989	21431.914	26686.084	19773.168	15412.084	19070.826	25659.805
0.5337	26146.936	30755.713	20721.537	29304.311	29395.742	24768.213	18469.324	23808.557	25619.621
0.6671	26734.385	27676.277	29575.996	28268.445	21552.383	24025.668	20818.191	32847.43	23592.412
0.8005	24966.658	23437.945	32258.27	22083.357	18860.25	20898.947	18030.348	32793.039	20265.439
0.934	22108.73	21567.512	28860.488	21204.064	18083.053	19381.832	17524.184	26649.438	18271.166
1.0674	21373.891	21133.711	22933.436	20821.488	17774.936	19016.23	17242.068	24381.893	18381.695
1.2008	20390.947	21347.705	20155.303	21049.031	17408.881	19728.309	18675.191	25215.893	18504.248
1.3342	20849.871	21953.578	20672.789	20380.242	18250.139	19527.445	18736.666	28439.738	20218.221
1.4676	20118.162	20641.773	21264.803	22661.967	18754.754	18414.836	17402.748	31862.947	21424.678
1.6011	18985.459	19701.273	22952.369	22788.229	18585.506	17185.523	16508.074	33559.258	23219.49
1.7345	18376.436	18332.508	22380.75	20543.842	18244.857	15908.743	16455.586	30280.117	20183.596
1.8679	17302.02	19760.15	19991.426	19243.301	19188.408	16322.1	16086.283	25049.82	18070.918
2.0013	16852.541	20492.396	19019.086	19814.014	19891.723	18432.799	17446.941	24789.566	16066.177
2.1348	15470.575	22507.451	19234.652	20560.391	19046.609	21563.375	18901.844	25476	15503.271
2.2682	16437.15	24066.709	18034.25	21756.207	16625.877	24797.65	19923.02	23809.814	15553.264
2.4016	18738.551	24082.293	17409.158	22085.455	16001.481	26395.791	21355.215	23133.59	16248.26
2.535	21640.113	23358.635	17815.514	21695.545	16605.133	24036.555	19870.078	22615.365	16938.979
2.6684	22211.678	21706.85	17717.916	22344.553	18306.463	22514.244	22479.373	22667.816	17228.248
2.8019	20845.965	18819.639	16721.439	21328.473	18632.352	19468.312	20121.229	23850.916	17906.424
2.9353	19306.141	17456.756	16856.133	19874.598	19623.744	17056.359	18386.449	22345.74	16314.518
3.0687	15596.98	16460.111	15913.423	18749.086	18396.064	16262.451	16771.656	21265.832	16989.41
3.2021	14558.712	16229.087	15710.838	16301.343	18898.094	15745.15	16988.588	19281.379	17140.658
3.3356	14170.925	16412.082	14811.616	16199.025	17652.5	15725.284	16503.943	17085.365	17042.385
3.469	14300.296	15988.352	13550.768	16645.08	16947.789	14841.402	15982.351	15970.798	NaN
3.6024	13944.38	15854.237	14226.716	15723.427	16555.562	NaN	15481.938	15552.732	NaN
3.7358	NaN	15983.859	14062.43	NaN	16081.678	NaN	NaN	15675.785	NaN
3.8692	NaN	15684.2	14783.591	NaN	16580.666	NaN	NaN	16114.245	NaN
4.0027	NaN	NaN	15142.896	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	15313.063	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
