x	Y_20180224_15100_12_4g	Y_20180224_15100_9_8g
0	15313.265	16690.145
0.1334	16368.222	17684.393
0.2668	17949.736	19497.008
0.4003	21524.387	21973.721
0.5337	27589.664	21042.252
0.6671	35478.805	17850.375
0.8005	33465.676	16953.67
0.934	26106.99	16289.566
1.0674	20969.982	16380.808
1.2008	17710.947	16203.73
1.3342	17651.49	15900.384
1.4676	18697.758	16066.982
1.6011	19922.131	15715.85
1.7345	19971.506	15656.959
1.8679	19854.693	16287.427
2.0013	20645.002	17055.469
2.1348	20507.539	18710.871
2.2682	20849.879	19479.738
2.4016	18598.289	20572.662
2.535	18776.213	19560.326
2.6684	19831.123	18335.072
2.8019	20503.254	18893.594
2.9353	22050.68	17457.287
3.0687	21398.822	17329.393
3.2021	20659.475	17974.379
3.3356	19422.104	17740.322
3.469	18373.316	17110.83
3.6024	18836.613	15798.325
3.7358	18474.324	15870.694
3.8692	18384.264	15974.672
4.0027	17258.672	15448.906
4.1361	16536.52	NaN
4.2695	17358.838	NaN
4.4029	17174.586	NaN
