x	Y_20180224_15102_15_13g	Y_20180224_15102_20_8g	Y_20180224_15102_23_9g	Y_20180224_15102_5_5g
0	15478.923	15963.272	12491.906	13119.413
0.1334	17550.312	16063.961	13876.567	13812.586
0.2668	21764.643	18935.086	16099.241	15010.951
0.4003	28991.848	24494.58	17414.82	17229.59
0.5337	33236.176	33841.5	17234.543	20117.951
0.6671	31729.119	37116.871	15372.273	20305.062
0.8005	26027.459	30599.621	14450.212	18080.893
0.934	22710.176	25850.893	13882.455	16587.656
1.0674	21265.309	22916.986	14345.245	15700.414
1.2008	20223.592	20611.672	14740.272	16187.924
1.3342	18961.066	19271.033	14935.833	15787.926
1.4676	17419.566	17784.785	13777.88	15022.203
1.6011	17584.861	17693.547	13046.371	15004.225
1.7345	15716.2	16440.102	13255.508	14560.746
1.8679	14557.149	16483.191	NaN	14494.451
2.0013	13195.179	15543.264	NaN	13821.327
2.1348	NaN	16068.75	NaN	13565.087
2.2682	NaN	NaN	NaN	13707.543
2.4016	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN
9.473	NaN	NaN	NaN	NaN
9.6064	NaN	NaN	NaN	NaN
9.7398	NaN	NaN	NaN	NaN
9.8732	NaN	NaN	NaN	NaN
10.0066	NaN	NaN	NaN	NaN
10.1401	NaN	NaN	NaN	NaN
