x	Y_20180224_15102_13_3g	Y_20180224_15102_13_7g	Y_20180224_15102_15_11g	Y_20180224_15102_15_12g	Y_20180224_15102_15_8_S_g	Y_20180224_15102_16_6g	Y_20180224_15102_19_7g	Y_20180224_15102_20_12g	Y_20180224_15102_21_3g	Y_20180224_15102_21_4g	Y_20180224_15102_23_7g	Y_20180224_15102_25_10g	Y_20180224_15102_25_8g	Y_20180224_15102_27_12g	Y_20180224_15102_28_14g	Y_20180224_15102_3_1g	Y_20180224_15102_7_4g
0	36889.027	41362.305	43458.145	36351.703	37190.762	34818.301	36066.766	34589.531	38459.809	39384.184	36988.699	33366.164	37203.699	34930.375	38356.539	38409.887	32133.641
0.1334	38217.102	42232.699	44942.195	35361.301	37447.746	36135.457	36464.289	33438.617	38241.059	40068.773	38643.332	33876.371	37746.336	33702.648	39468.652	39446.785	32009.605
0.2668	38013.52	40231.824	43568.383	35231.672	35624.832	34503.562	37356.867	33640.211	39423.016	40441.477	39190.617	34651.613	37851.109	32915.633	39910.223	38936.523	31996.115
0.4003	37389.453	41402.934	44334.949	34220.684	36432.676	34770.922	37380.332	33811.953	39561.051	39382.867	39764.586	34332.84	36761.441	35201.234	40730.598	39525.074	31591.299
0.5337	39110.672	41211.238	44908.25	35583.848	35454.582	34977.758	37001.574	33806.234	39582.215	37742.145	38487.504	34730.715	36158.711	34736.988	39259.723	40124.082	31483.096
0.6671	39697.816	41816.164	44599.918	36209.695	34845.758	34877.258	37117.906	31707.719	40124.035	38164.445	40608.984	35604.941	37470.082	34638.746	40321.621	40491.633	32108.086
0.8005	40608.512	43416.715	44353.789	36452.371	35778.512	33482.625	37921.453	32399.268	40657.441	38112.82	40363.992	36347.484	36882.32	34680.465	41957.711	40417.609	33526.594
0.934	40034.758	40283.75	45754.93	37767.742	37752.066	35366.605	37513.477	32352.385	39858.164	37855.863	41604.527	35481.684	38026.746	34831.523	39582.336	40918.395	32329.131
1.0674	40252.094	40753.207	44385.363	39379.852	37650.777	36297.379	37338.223	32195.742	41433.711	39970.492	40548.395	36386.051	37721.215	34776.855	40484.266	41296.07	33638.199
1.2008	39713.031	41154.172	45263.594	40051.441	39044.375	34590.34	38497.059	31151.959	43775.371	41018.93	40485.949	36185.605	37364.777	34360.957	41311.75	40965.543	32075.822
1.3342	40956.02	41738.227	45011.383	44638.559	37584.316	35818.414	39453.676	31584.008	43049.531	41333.242	38564.184	36831.309	37139.332	35814.094	40852.227	43809.695	32200.449
1.4676	41658.781	43381.973	48308.637	46209.25	36422.152	38412.715	41575.281	33798.648	43384.371	42994.352	39235.043	37008.535	35706.281	36464.688	41951.547	44579.73	31445.58
1.6011	43483.254	52506.371	54736.895	55270.68	37598.594	41537.98	39715.703	35224.543	45005.82	47196.09	39310.148	38440.391	35293.293	37648.828	40449.582	48709.168	34468.219
1.7345	53415.457	69929.648	66546.523	79167.648	41424.16	51293.254	41913.809	38627.41	53961.867	62192.184	42268.07	42637.352	35907.832	37191.68	42209.496	59069.363	40618.766
1.8679	79696.438	86032.359	90473.273	137559.047	51659.734	65959.938	47241.238	46316.363	69349.047	74495.312	43084.836	43742.949	38779.766	44188.676	41569.91	73259.086	46438.984
