x	Y_20180224_15102_12_5g	Y_20180224_15102_13_14g	Y_20180224_15102_13_3g	Y_20180224_15102_15_11g	Y_20180224_15102_15_12g	Y_20180224_15102_15_14g	Y_20180224_15102_16_6g	Y_20180224_15102_19_2g	Y_20180224_15102_20_12g	Y_20180224_15102_21_3g	Y_20180224_15102_22_1g	Y_20180224_15102_23_7g	Y_20180224_15102_27_12g	Y_20180224_15102_28_12g	Y_20180224_15102_28_14g	Y_20180224_15102_28_15g	Y_20180224_15102_7_4g	Y_20180224_15102_7_6g	Y_20180224_15102_8_10g	Y_20180224_15102_8_7g
0	15412.645	12751.135	16098.475	15680.717	14869.142	12410.941	14316.466	17025.49	14688.953	14608.627	16594.514	12721.597	14143.183	14626.017	15028.468	15636.344	18550.852	14165.751	13830.279	16208.968
0.1334	18163.738	13760.472	18292.309	18179.188	13821.019	13101.817	16391.852	17297.971	15113.454	15727.756	16932.354	14784.669	14124.627	15484.061	15727.469	17141.141	19238.102	14156.796	14706.087	18048.781
0.2668	26024.08	16156.39	21412.975	23598.607	16306.594	14064.76	19423.508	21632.805	17900.436	18076.408	17989.053	16662.23	15524.386	17031.461	18784.756	23010.613	22271.701	15810.235	18174.902	19022.1
0.4003	29849.682	23144.463	28654.736	28551.18	19472.516	16705.084	22646.592	27619.668	22291.357	21350.08	17365.488	20130.82	16562.791	21092.09	24757.84	29601.666	22184.252	20616.988	23994.598	20184.328
0.5337	27645.273	34862.531	31391.328	27463.619	19180.057	20059.477	20680.076	34042.879	25057.434	22363.057	17030.871	20567.598	17002.098	21367.332	31049.92	29687.473	21255.832	26179.193	26823.916	21086.484
0.6671	26252.178	38886.566	27567.867	23143.549	17221.557	19546.502	19418.211	31561.98	22237.936	19722.6	16554.496	20880.566	15219.066	18984.961	32328.334	26201.334	21519.652	27875.082	23744.344	19493.754
0.8005	26510.777	31340.09	24799.135	21428.725	16097.893	17515.734	17766.818	28843.877	20121.906	17781.932	16202.564	19853.281	15196.049	17888.93	26995.986	23317.461	20263.59	26141.564	21453.051	19583.293
0.934	26084.238	25031.543	22769.516	19920.906	15955.027	18246.137	17408.594	26504.322	19179.949	19275.982	16045.706	19649.258	14781.038	18069.135	24618.117	21641.289	18828.777	24236.266	19798.404	20013.734
1.0674	23596.408	23329.217	20515.986	19278.268	16118.854	17733.928	17160.117	22188.324	17709.426	20428.088	16090.854	20783.033	14996.603	17129.105	23182.178	21918.562	17664.359	24443.732	19955.084	19039.771
1.2008	23610.516	23759.637	18734.824	18534.592	16780.232	16398.965	16738.887	20789.297	15334.38	21771.918	17897.74	20437.871	14480.46	16438.432	22894.416	20179.273	17236.432	23071.137	18879.443	18242.176
1.3342	22954.318	24739.15	18511.729	19082.016	16945.324	15593.451	17926.1	21058.494	14366.55	24177.379	16462.789	18786.609	14339.184	16022.702	24363.834	19224.316	16817.17	21851.201	18770.979	18593.379
1.4676	22144.129	21543.375	19331.291	19734.016	16964.029	16780.01	17749.395	19576.564	14463.557	26850.18	17112.82	17538.656	14744.525	15555.908	22649.334	17416.93	16132.242	21205.76	17922.197	19578.156
1.6011	22801.73	19855.518	18158.164	19371.076	17155.27	18122.455	16248.166	17847.098	14283.638	29141.389	16123.845	15616.174	14136.57	16519.029	20491.578	16505.006	15506.741	20238.646	17825.566	19840.781
1.7345	20295.117	18872.646	17049.271	19725.246	18178.742	18450.197	16734.324	17833.451	14367.343	28470.191	16274.663	15803.43	13772.757	15128.574	20940.643	15272.213	14226.256	19713.711	16909.5	19879.564
1.8679	19003.729	18431.842	16350.837	16900.363	17481.732	18225.75	16468.529	17997.703	13835.73	24528.102	15362.229	16146.272	14865.119	15152.18	21360.873	14515.029	13605.752	18212.805	17014.381	18891.832
2.0013	16736.953	18779.299	16935.512	15029.281	17735.92	17812.965	16659.984	17631.934	13203.336	19660.328	14865.777	17221.467	14349.689	15426.706	22044.771	13632.256	14513.833	16542.658	16789.834	18697.531
2.1348	15895.245	18236.951	15103.816	14972.496	16526.736	17847.18	16397.109	16367.631	13268.079	16159.042	14923.92	16575.988	15706.973	16341.769	22563.639	13623.184	14570.518	15936.898	16521.301	18329.975
2.2682	15907.068	17993.197	14759.473	14114.608	15606.49	17654.908	NaN	16598.975	12594.452	15472.249	13946.306	15892.354	15200.988	16328.78	20945.051	13593.321	13237.882	15700.974	16614.693	16997.805
2.4016	15783.312	17671.996	14437.116	14237.699	15175.628	16380.976	NaN	16937.971	12558.959	14754.028	14138.974	14936.159	13620.237	15408.023	21505.902	13143.172	NaN	15525.98	17310.834	16607.799
2.535	15541.145	18151.848	13553.416	NaN	15132.531	15355.589	NaN	16711.781	12438.513	14714.438	NaN	13941.062	12697.604	14555.32	23042.002	12773.317	NaN	16775.582	16563.213	16303.297
2.6684	16347.142	18218.773	NaN	NaN	NaN	14494.117	NaN	16786.438	NaN	NaN	NaN	13420.979	NaN	14369.156	23823.727	12367.079	NaN	18070.799	15910.311	16721.51
2.8019	NaN	NaN	NaN	NaN	NaN	13454.904	NaN	16085.089	NaN	NaN	NaN	NaN	NaN	14568.347	NaN	NaN	NaN	19726.922	15506.836	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	13242.355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17839.32	14364.607	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	13148.846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
