x	Y_20180224_15102_10_1g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_1g	Y_20180224_15102_14_2g	Y_20180224_15102_18_6g	Y_20180224_15102_20_5g	Y_20180224_15102_26_6g	Y_20180224_15102_27_3g
0	32694.488	33775.617	34366.883	31934.91	34006.758	39842.352	39198.27	38951.566	37486.082
0.1334	35190.016	33103.035	34499.254	31961.404	34338.32	40192.164	39709.227	38499.84	37908.074
0.2668	34889.594	33134.141	34672.355	32991.348	33259.551	40380.387	40205.398	36909.945	37198.379
0.4003	33858.555	33744.852	35493.539	32454.656	35668.438	37195.848	38981.602	36743.945	38284.164
0.5337	36011.164	33612.859	35807.434	32529.363	36546.996	38332.047	38994.973	38070.883	37392.02
0.6671	35025.375	34764.434	37006.129	34414.027	37556.637	38319.242	39479.012	40082.738	37952.113
0.8005	35204.523	35473.844	36518.02	34850.91	37729.191	37709.16	39234.137	41165.812	37447.941
0.934	34733.367	35792.738	36154.949	34946.906	37379.387	38328.832	40896.098	40554.094	39026.363
1.0674	34720.523	36093.785	36585.957	35062.449	38561.684	39329.082	37759.809	40365.328	38964.805
1.2008	35366.398	35919.32	37048.492	35714.809	38375.277	39719.688	39206.645	39952.785	38778.594
1.3342	35733.645	36132.535	37309.238	35980.867	36368.074	38845.863	38658.434	41702.645	39106.562
1.4676	35720.918	36568.234	38102.008	37226.484	37220.453	38775.527	38754.078	41512.406	40510.637
1.6011	35839.574	35578.188	37007.703	37729.199	36990.57	38899.203	36302.281	41464.859	41529.328
1.7345	35567.258	34610.594	36438.297	34966.582	36594.496	41287.91	38132.816	39739.5	39976.469
1.8679	35337.121	35223.801	37904.012	34397.844	35880.934	42163.336	38746.637	40330.188	39045.059
2.0013	36165.141	35782.961	38079.84	35279.934	36231.094	40705.707	37359.398	40660.039	39605.414
2.1348	34953.605	35216.98	36941.426	35964.875	36768.438	40435.602	37896.027	40146.266	40399.031
2.2682	36453.98	34400.297	36408.188	36671.355	37679.918	43477.051	37769.629	40690.242	41545.562
2.4016	37492.41	34857.66	36171.074	35927.852	37062.988	41291.668	37025.352	39493.324	40968.473
2.535	38158.695	34745.098	35751.918	37147.84	37103.77	41283.551	38493.926	38332.035	39828.867
2.6684	36780.645	34618.066	36131.789	36725.852	36946.543	41061.262	37233.891	37542.914	39260.02
2.8019	36620.445	35691.684	37354.617	36265.863	39085.488	40368.582	38829.789	38816.727	39447.352
2.9353	37060.953	35382.719	37629.926	38323.617	40620.496	40214.129	39868.387	37867.895	39727.008
3.0687	39660.285	36351.02	39107.707	41828.73	48621.344	41727.262	44250.277	38232.41	40662.203
3.2021	42529.984	38224.289	45382.559	48988.453	66161.219	45041.227	51687.242	40156.961	42869.613
3.3356	46190.883	40986.766	58153.797	62029.238	78770.031	49807.641	62312.414	43784.031	49320.062
3.469	56691.301	51007.012	66606.266	68172.891	65734.844	58312.039	61467.965	53084.453	65341.754
3.6024	62806.574	63792.027	58982.68	56337.109	48813.434	64596.973	49698.336	72265.234	80742.523
3.7358	55575.746	65955.516	45066.484	44039.578	40735.934	57604.402	43570.59	83345.219	75317.859
3.8692	44557.031	53841.949	38732.797	NaN	NaN	47901.332	NaN	70784.305	54684.953
4.0027	39010.641	44162.125	37103.18	NaN	NaN	NaN	NaN	53279.738	46001.68
4.1361	NaN	41340.105	NaN	NaN	NaN	NaN	NaN	46224.117	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.6064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.7398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.8732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.0066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.1401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
