x	Y_20180224_15102_10_4g	Y_20180224_15102_11_11g	Y_20180224_15102_11_6g	Y_20180224_15102_13_5g	Y_20180224_15102_14_1g	Y_20180224_15102_15_15g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_6g	Y_20180224_15102_16_3g	Y_20180224_15102_17_6g	Y_20180224_15102_19_4g	Y_20180224_15102_22_5g	Y_20180224_15102_25_14g	Y_20180224_15102_27_10g	Y_20180224_15102_28_11_S_g	Y_20180224_15102_28_7g	Y_20180224_15102_2_6g	Y_20180224_15102_3_5g	Y_20180224_15102_4_5g	Y_20180224_15102_4_9_s_g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_6_1g	Y_20180224_15102_6_5g	Y_20180224_15102_6_7g	Y_20180224_15102_7_2g	Y_20180224_15102_8_5g	Y_20180224_15102_9_2g	Y_20180224_15102_9_3g
0	19156.363	15358.183	15593.516	15624.113	13838.077	14344.583	13285.034	13873.448	14550.993	12548.723	11929.896	13023.719	12484.698	14252.559	13252.273	13849.269	19643.418	12375.803	14213.963	15110.951	18326.449	14182.527	13941.22	13504.354	13654.754	12702.497	11620.177	15422.441	14049.112
0.1334	23942.781	15927.762	18984.684	15076.475	15898.52	15331.213	14141.689	17364.428	17535.514	14813.159	12994.604	13799.742	14414.212	15796.591	14883.521	16656.484	23994.166	12661.619	15042.164	16802.008	19864.43	15283.091	14450.751	14611.136	14617.389	13494.989	12606.833	16942.391	14431.261
0.2668	30763.604	19187.174	24264.549	16456.93	19589.986	19570.09	17443.418	21158.498	25250.189	18121.211	14377.455	16647.824	17727.885	19240.283	17978.777	19860.787	34885.738	13598.31	15526.326	19004.221	24351.162	17850.139	17265.57	14847.478	16629.02	15888.231	14517.112	20637.031	16234.584
0.4003	31722.1	25249.543	28106.973	19697.795	22909.709	25371.354	24994.861	24314.527	36626.27	26976.709	16293.066	21486.451	23099.664	27153.176	26348.721	23659.559	50057.969	15249.92	20892.299	23014.555	28688.379	21715.758	22289.992	16280.766	19374.83	17598.045	16739	25834.639	18328.201
0.5337	28495.242	27214.895	31346.072	22425.559	22438.18	30454.842	36503.141	23964.982	41260.367	32682.697	17441.502	26664.986	23919.271	33902.527	31603.766	23502.633	55753.633	17808.639	32738.484	27129.049	27253.234	23938.711	22878.945	18834.947	19287.877	18697.803	21238.258	29368.117	19449.98
0.6671	23550.693	24798.689	31515.43	20728.881	20603.869	26576.561	38200.484	22191.393	36837.379	30567.039	16448.602	27865.535	22611.629	33180.941	28948.645	21719.248	45843.566	21489.154	41129.875	26390.697	22982.627	23384.697	19507.086	20099.016	19972.748	16659.27	26220.023	26715.186	18879.1
0.8005	21526.654	22272.994	33052.875	18972.656	20402.844	24865.424	32731.861	20845.043	29472	24217.541	15658.092	24281.611	21407.574	28976.717	25729.188	22085.586	32218.959	21621.48	35394.988	22630.875	20427.787	21953.775	19321.65	19508.166	20345.076	15832.114	24741.416	21649.375	17643.346
0.934	20549.723	21354.924	37797.914	18766.848	18497.105	21287.281	30557.934	21007.375	26050.102	22108.834	15061.431	21637.328	19907.975	25033.133	24237.412	21529.479	26416.633	19039.836	28579.939	20252.518	20864.607	20146.416	19390.119	19908.049	20208.203	15072.138	21730.695	20459.871	16936.93
1.0674	19986.168	21463.416	37421.68	18198.252	18195.066	20331.896	29673.223	21858.668	24857.713	20985.086	15164.479	18482.729	19380.07	22168.676	23656.715	19660.525	24258.961	17063.734	24190.125	19174.506	19914.787	18057.518	19300.221	20083.484	19460.336	15626.866	19641.34	18007.041	16746.895
1.2008	19656.648	20262.02	35863.324	18397.975	18852.734	20766.768	28250.623	21526.318	23876.971	19704.074	14771.539	19402.295	19096.949	21370.281	24581.9	18207.914	22443.018	16866.195	22180.332	19320.312	18758.047	17604.822	18768.59	20112.453	19917.934	15590.423	19431.562	17890.717	17177.307
1.3342	20334.496	19857.203	34164.391	18189.24	18104.516	19900.439	26435.256	22057.902	22746.258	18243.148	16213.228	21583.037	18230.82	21423.033	23713.865	17163.355	20264.975	17937.107	20822.5	21051.865	17828.725	17363.049	20352.049	19139.885	20806.533	15404.463	20490.049	18874.875	16222.456
1.4676	19552.611	17606.693	31798.748	17976.076	17804.215	20733.316	24211.551	21051.469	22123.336	17544.322	16632.016	21349.297	18656.379	21631.523	23037.859	17161.898	19991.754	18583.111	19342.121	24389.898	18183.066	16578.219	20295.957	17849.176	21101.713	15460.951	20371.695	18992.26	16087.665
1.6011	19593.297	16931.043	30340.801	17786.607	17396.924	18939.27	23831.709	20048.209	21460.525	16756.182	16173.402	21285.615	19517.211	19824.186	23388.928	17340.76	20711.643	18342.287	19722.879	26740.219	18188.152	16925.293	20038.453	17535.047	19447.404	15015.475	21313.061	18714.949	15499.029
1.7345	18140.59	15387.604	29537.885	18031.535	16909.275	18239.652	22180.865	18689.252	20782.203	17873.852	14196.857	22701.586	19101.166	19411.404	22358.744	17107.824	19713.83	17516.891	20465.973	24932.859	18787.521	18082.359	18869.631	17984.07	20303.158	15214.693	22495.508	17813.857	17795.449
1.8679	18749.035	17886.533	29604.984	16921.133	16607.977	17533.816	20242.189	17197.709	20621.049	18170.73	13996.248	21326.188	18840.613	18252.584	21325.965	17819.348	18112.141	17299.521	20735.664	24249.26	18070.898	17760.686	20009.391	17582.74	21704.775	13978.037	23406.209	16966.611	17762.826
2.0013	18509.465	19502.73	27962.152	16681.67	16990.736	16210.295	18974.887	17211.613	18926.215	16768.082	14072.545	18821.057	18078.107	17430.756	20748.525	18074.844	18457.83	16809.266	18576.904	24200.047	17438.721	19002.459	18318.391	19177.588	21198.439	14697.083	23956.686	17650.873	17819.812
2.1348	17073.346	20447.1	26186.723	16298.105	17024.814	16143.903	18257.611	16329.113	18746.906	17056.678	14441.371	16556.223	18344.068	19570.791	20860.721	20409.777	18364.148	15814.888	16689.32	23175.59	15998.426	17952.432	19579.781	19090.707	19285.584	14356.05	22947.547	16881.246	17944.047
2.2682	16431.158	18467.91	24101.291	16181.363	16474.346	15902.863	17941.523	15851.983	18897.633	16222.728	15545.078	15614.893	19149.66	23114.451	21117.918	22071.566	17198.857	15572.291	16008.872	21121.848	14866.48	17527.711	18846.93	18050.959	18275.502	14341.582	22394.209	15799.761	17432.717
2.4016	15563.057	17981.426	23179.771	15187.715	15883.863	15161.936	17883.311	14748.875	18828.68	16194.96	15878.628	15253.877	17625.85	26156.086	22533.9	20956.137	16360.498	15310.11	15320.19	19771.982	14740.776	16772.197	17364.605	18234.338	18220.461	14836.434	20142.506	14637.759	17620.234
