x	Y_20180224_15102_10_5g	Y_20180224_15102_12_12g	Y_20180224_15102_12_16g	Y_20180224_15102_12_7g	Y_20180224_15102_14_4g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_6g	Y_20180224_15102_24_5g	Y_20180224_15102_25_3g	Y_20180224_15102_25_9g	Y_20180224_15102_26_5g	Y_20180224_15102_26_7g	Y_20180224_15102_27_1g	Y_20180224_15102_27_6g	Y_20180224_15102_28_5g	Y_20180224_15102_28_8g	Y_20180224_15102_29_1g	Y_20180224_15102_4_10g	Y_20180224_15102_4_11g	Y_20180224_15102_4_3g	Y_20180224_15102_5_1g	Y_20180224_15102_7_8g	Y_20180224_15102_8_1g	Y_20180224_15102_8_6_s_g	Y_20180224_15102_8_8g	Y_20180224_15102_9_5g	Y_20180224_15102_9_6_s_g
0	34315.781	36292.961	38074.902	35709.188	40043.254	40663.586	35764.523	31935.674	33451.051	35102.027	36215.879	38611.5	37926.711	34688.688	40561.445	40330.398	31838.287	37074.043	34817.742	32931.523	36735.332	36651.859	28295.879	34529.801	36591.738	40598.867	38728.254
0.1334	35054.215	37570.199	39189.078	35586.746	40806.945	41131.344	36738.023	32259.303	32887.383	34083.594	36378.703	38143.496	36504.402	34590.102	39424.109	38003.453	31534.441	36711.605	34321.176	32653.154	35545.43	35927.547	28126.418	34762.965	37601.844	41147.027	38971.312
0.2668	35281.734	36956.359	38037.934	35189.578	38835.52	40328.672	36606.855	33261.875	33390.992	33348.809	36887.594	37576.09	37571.586	34334.418	39155.801	40018.137	31923.162	37502.672	33581.781	33497.492	35305.875	34346.254	28559.551	35055.703	36691.359	38389.391	37944.008
0.4003	33549.852	36750.676	36910.75	35320.828	37764.035	40743.066	35532.195	33413.055	33356.531	33547.953	37477.629	37202.074	39125.977	34494.652	39261.098	39136.539	32767.488	37525.484	32701.736	34776.008	33831.246	34868.566	28748.785	34242.941	37871.086	39351.676	38953.34
0.5337	35528.266	37262.402	38704.383	36339.836	38645.598	39257.027	37190.469	33382.383	33634.809	35148.863	38132.871	39066.246	39537.355	34081.059	41100.047	39283.535	33103.191	37952.223	33953.02	34422.336	33543.871	37426.422	29153.152	34003.422	38615.73	38988.363	38544.402
0.6671	35148.609	38481.273	40023.422	37605.438	38358.621	40141.961	35948.961	33552.867	33603.238	35078.699	38557.816	37745.52	39417.785	34756.801	41139.598	39421.105	32593.211	38322.062	35067.266	34601.012	34393.688	38822.645	29944.984	34505.016	37409.109	38858.238	40480.082
0.8005	34736.203	39414.465	41005.527	36423.738	38428.273	41011.934	35167.914	33458.465	36178.129	35321.062	37632.559	38371.055	39207.926	35510.652	41041.465	38533.965	33666.531	38848.203	34063.82	34785.184	36321.68	39600.453	30524.996	35475.227	37838.023	37883.594	38594.73
0.934	34321.789	39332.234	41528.312	38418.555	38038.691	40439.73	36978.859	34894.133	35832.402	35589.152	39209.043	38894.688	39120.977	36201.984	40694.816	40246.57	34225.336	39093.367	33777.18	36126.219	36380.664	39097.891	30371.195	35723.82	37372.145	39410.637	38154.016
1.0674	35970.844	38147.895	41618.371	38187.914	37655.141	39206.566	36930.102	33293.336	35090.418	36815.57	40507.52	39913.102	38629.051	35156.57	40505.098	38889.227	33600.84	40978.199	32888.309	35465.355	34755.684	39158.18	29736.924	37972.992	38080.582	39861.227	36808.215
1.2008	34771.68	39392.742	41871.195	37419.977	38203.812	40042.16	35961.242	32897.594	33737.414	35413.758	41330.02	40500.527	36935.57	35886.531	40175.121	38882.199	34145.254	42909.516	34472.594	36177.906	35442.367	38695.898	29537.34	38206.844	39206.348	39390.48	38759.801
