x	Y_20180224_15102_1_2g	Y_20180224_15102_10_2g	Y_20180224_15102_11_5g	Y_20180224_15102_11_8g	Y_20180224_15102_12_1g	Y_20180224_15102_13_13g	Y_20180224_15102_13_1g	Y_20180224_15102_13_3g	Y_20180224_15102_13_4_1g	Y_20180224_15102_13_6g	Y_20180224_15102_13_7g	Y_20180224_15102_13_9g	Y_20180224_15102_15_17g	Y_20180224_15102_15_1g	Y_20180224_15102_15_9g	Y_20180224_15102_16_3g	Y_20180224_15102_16_4g	Y_20180224_15102_16_5g	Y_20180224_15102_18_3_2g	Y_20180224_15102_19_1g	Y_20180224_15102_19_7g	Y_20180224_15102_2_4g	Y_20180224_15102_2_7g	Y_20180224_15102_20_5g	Y_20180224_15102_20_8g	Y_20180224_15102_21_3g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_2g	Y_20180224_15102_23_3_S_g	Y_20180224_15102_23_4g	Y_20180224_15102_23_8g	Y_20180224_15102_24_7g	Y_20180224_15102_25_11g	Y_20180224_15102_25_6g	Y_20180224_15102_25_8g	Y_20180224_15102_26_8g	Y_20180224_15102_27_11g	Y_20180224_15102_27_6g	Y_20180224_15102_28_12g	Y_20180224_15102_28_15g	Y_20180224_15102_28_7g	Y_20180224_15102_4_6g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_5_5g	Y_20180224_15102_6_1g	Y_20180224_15102_6_3g	Y_20180224_15102_7_2g	Y_20180224_15102_8_10g	Y_20180224_15102_8_1g	Y_20180224_15102_8_2g	Y_20180224_15102_8_5g	Y_20180224_15102_8_8g	Y_20180224_15102_9_2_g	Y_20180224_15102_9_6_S_g
0	15141.074	17338.014	15252.301	15517.009	13502.419	16632.717	16788.508	16212.479	16922.861	15384.896	12841.971	14222.338	13760.947	12804.028	13051.686	13765.004	15035.8	15191.397	14063.552	15755.816	13259.783	14012.622	19043.312	13691.066	16879.525	17222.625	15060.47	15479.958	15073.87	12823.789	15954.387	16714.959	15344.771	13868.078	17854.592	13244.26	16063.971	14289.22	14153.935	13068.847	16030.64	16901.336	18068.975	17038.707	16098.865	15994.5	13464.691	13784.562	15931.513	12795.458	15555.857	11989.645	18425.734	15350.246	14112.738
0.1334	17127.34	20387.379	17002.787	16982.443	15356.414	16968.148	24656.816	17553.166	17361.125	16491.119	14843.187	15254.445	14646.049	14984.986	13710.356	16312.14	16867.779	15888.144	14932.174	16733.389	14625.742	15994.882	22072.01	15262.866	17683.66	18445.766	16101.764	15866.455	15019.082	14646.625	16031.036	19340.982	17356.318	13996.967	18466.832	14629.691	16977.703	13560.125	15636.569	15030.782	18696.832	17533.74	19493.879	17305.645	16340.503	15491.516	15002.436	15287.941	18277.943	14319.931	15948.69	13984.426	22192.484	16813.822	15541.896
0.2668	21241.707	26178.021	23084.205	18741.266	16557.049	19325.629	34354.668	19322.607	20822.891	19748.098	18752.57	19312.02	17968.473	18589.428	15484.038	21782.074	20878.621	17030.771	18186.531	18283.838	15279.678	20598.578	31786.158	17172.822	20647.186	21816.059	16374.922	17469.516	16574.012	17021.068	18693.955	24636.604	21648.291	16039.001	20076.344	15322.046	18494.309	14611.586	18982.568	18236.139	23406.793	22317.461	26721.52	21133.49	17980.957	16698.354	17322.291	18283.371	22490.201	16589.697	17136.842	16810.688	31128.768	20531.479	19914.008
0.4003	28878.471	37511.293	32977.555	23822.355	22437.596	24210.902	41647.484	24033.764	27296.949	27496.656	22186.09	24180.529	25820.877	26196.791	17717.357	31394.717	30891.08	20250.223	22248.801	21840.576	20720.785	29853.338	47449.648	19673.445	27002.648	25806.32	17401.969	22674.281	21154.508	20897.367	26841.363	38877.812	33499.793	19967.396	26494.439	19792.08	23281.199	16758.883	24763.652	25149.014	29656.426	28189.031	32574.838	26357.83	21423.766	19710.244	20946.293	24139.428	32384.305	20204.947	22475.174	23020.941	37765.797	28631.654	27833.518
0.5337	31859.389	40517.938	39163.918	26129.506	27390.691	26268.893	41994.898	23226.527	35329.133	35931.859	23869.223	26782.479	28616.713	32829.57	22266.748	34628.336	37991.805	22313.006	24147.248	27740.973	25279.146	30594.607	54782.188	19754.195	28878.568	28198.508	23661.318	33463.531	23738.9	20795.943	32571.342	52633.121	51466.551	26278.652	38086.41	26421.215	35145.359	20134.367	30521.463	25766.117	31168.736	29707.441	30797.877	29309.955	22541.732	29427.725	27247.531	25735.602	37748.609	19908.066	27217.457	30238.271	34254.449	34086.105	30182.135
0.6671	27156.395	34773.301	32129.436	25715.264	23274.566	25994.949	36627.684	22010.195	32036.23	38220.121	21592.504	22288.045	22477.402	33273.973	21606.527	33946.719	41076.48	20791.471	22184.877	29119.17	26619.906	25991.354	47220.227	18492.242	26776.986	25807.926	32398.52	38669.895	24605.314	20182.547	32466.896	48608.82	57730.777	26832.572	43613.195	30520.275	48947.809	19256.158	27689.527	23136.377	26732.797	27593.775	26165.58	25150.654	21447.529	38297.277	29002.33	22573.387	32472.639	17575.094	30127.74	28005.203	26835.85	32916.973	25914.625
0.8005	22774.443	29466.525	25982.998	21914.596	21061.814	24915.521	32615.398	20970.002	25039.25	29877.879	20499.488	18921.754	17347.77	27442.178	19898.299	29911.131	34535.266	19318.863	18476.492	25067.895	23624.553	23619.936	36025.195	18495.721	23078.607	21822.039	38224.773	34358.355	23212.379	20818.689	25178.91	34519.656	43938.207	22129.307	39198.941	26833.225	48387.887	18453.91	23471.043	20976.176	22154.471	23375.84	23276.93	21599.709	18162.67	37440.531	23136.346	19162.471	23228.926	16326.915	27468.574	22572.396	23046.162	30209.605	20248.447
0.934	18742.855	28564.043	20924.473	21232.953	19068.316	22749.035	31402.793	20191.986	20003.156	24475.078	18632.543	17105.02	16789.984	25031.586	17129.031	27546.303	30143.057	17927.18	18010.822	21850.793	20091.279	21439.775	29784.488	17619.018	23870.068	20792.646	36263.402	28689.15	21609.07	19644.281	19899.246	26301.328	33576.34	19080.039	33573.973	22998.365	35362.012	16243.168	20461.217	20208.406	19795.035	23033.148	19623.725	18815.104	17478.236	29721.965	18901.045	18027.234	19553.789	16014.338	25041.531	18920.205	20216.076	27019.504	17353.082
1.0674	16208.251	28127.998	18598.129	21350.424	18011.039	21302.418	28161.555	18955.773	17843.686	22011.953	18035.527	15600.185	15367.871	23689.977	15506.403	26906.215	26221.885	18178.955	17857.754	22893.506	18731.25	20105.959	30002.074	15486.118	28380.516	21330.918	30682.756	23545.727	21266.5	18687.939	19153.396	22950.547	29095.732	16844.273	30377.123	20846.773	25202.084	15521.527	20415.891	20118.326	20155.619	23646.316	17871.535	17494.461	17766.062	26296.35	18475.43	17704.043	17466.049	15892.935	22657.266	17493.336	19889.891	22755.873	16789.883
1.2008	15044.704	25952.893	18841.58	20255.664	17378.428	20076.846	25418.236	18095.662	17050.018	22040.109	16518.539	14092.445	17024.545	23868.541	15333.81	28342.686	24304.73	18603.996	17225.766	24107.859	19329.895	19508.486	27226.928	15121.491	30668.602	19059.5	26159.211	22018.941	21132.953	17290.896	17262.535	21235.717	26592.775	15930.716	26583.963	20386.912	20986.588	15424.301	21281.869	16661.385	21100.213	22648.1	19127.393	16234.124	17919.193	26600.42	18372.188	15908.002	16971.938	16025.047	19446.246	17233.676	22183.906	20965.908	17755.469
