x	Y_20180224_15102_10_8g	Y_20180224_15102_11_11g	Y_20180224_15102_12_4g	Y_20180224_15102_15_6g	Y_20180224_15102_22_1g	Y_20180224_15102_25_4g	Y_20180224_15102_26_1g	Y_20180224_15102_27_7g	Y_20180224_15102_28_9_S_g	Y_20180224_15102_29_2_1_S_g	Y_20180224_15102_29_2_2_S_g	Y_20180224_15102_4_9_S_g	Y_20180224_15102_6_2g
0	15734.603	15194.7	12232.784	13715.848	15400.58	11842.349	13621.503	17664.717	13042.326	17329.264	14790.744	15149.642	13939.137
0.1334	20015.715	15569.84	13375.839	14949.47	16768.105	13373.893	14470.081	19317.404	14636.238	18595.16	16468.779	19298.137	15490.095
0.2668	25313.361	17353.65	14646.182	18511.566	18092.758	15714.821	17531.68	20763.992	18904.812	21616.006	23716.352	23484.678	19209.652
0.4003	27698.361	20475.275	18473.973	23463.164	23553.123	20885.824	22167.141	22742.221	22940.395	29428.375	33534.125	25571.41	24223.816
0.5337	23533.428	24644.506	25664.387	26328.52	26539.164	24737.299	28152.896	29035.535	24562.785	40397.68	34155.777	21405.404	26720.514
0.6671	20838.982	28599.365	29585.393	29363.65	26361.617	24430.367	27997.723	40138.578	22522.744	43309.844	28654.338	18822.082	22814.602
0.8005	20384.793	28180.447	26735.691	31349.941	24714.014	22434.717	25598.068	45636.566	20813.486	35354.875	25867.607	18223.797	17940.281
0.934	20606.451	25109.48	24603.844	28204.508	23685.695	22361.584	23102.029	39138.109	19766.557	29305.176	24687.414	18176.33	17402.211
1.0674	21285.453	22900.572	24776.896	24884.303	22861.779	21934.535	21637.25	28636.635	19830.766	24361.639	23171.416	19983.27	16938.512
1.2008	21444.031	21483.42	26803.656	24685.988	22715.461	21397.303	20610.914	21721.096	19315.766	20841.936	22318.607	21352.809	17509.754
1.3342	19516.225	21427.795	27670.543	24147.443	21808.664	20560.887	18845.35	18824.564	19096.705	19525.371	22464.262	22725.957	17566.838
1.4676	19371.143	21910.336	25467.002	23357.844	20518.992	17998.344	17285.561	18199.732	18683.475	18938.164	21431.832	20769.461	16890.52
1.6011	18095.957	21329.684	23807.902	22664.818	20947.078	17411.703	16913.146	17687.953	18456.52	18458.734	21116.1	20278.113	16845.193
1.7345	16292.464	20183.717	21453.178	22625.916	20168.053	16818.729	16531.078	18409.646	19168.617	18100.074	20430.322	19381.859	17542.633
1.8679	16838.59	19409.961	20976.754	21596.865	18933.297	18113.713	16130.014	17646.383	18844.281	18919.281	21260.449	19584.891	15973.736
2.0013	17223.697	18556.684	21637.875	21576.256	17007.305	18553.301	16514.498	17073.16	19466.439	19168.689	20953.545	19840.129	15294.47
2.1348	17364.508	17933.084	22953.457	21711.209	17185.16	16766.244	16801.771	17941.656	20243.291	19802.199	19212.332	18528.48	16084.692
2.2682	16682.812	17321.924	25874.049	21384.062	19025.904	14946.161	17085.762	18449.547	19328.008	20540.318	20689.99	17827.717	14791.925
2.4016	16550.865	17373.34	26478.775	22257.146	19235.064	14322.028	17139.195	18565.496	19379.395	18834.953	20122.34	17124.096	15211.418
2.535	16980.045	17531.988	22336.289	21597.285	18932.287	14117.353	17327.303	19136.496	20238.537	19136.318	19516.551	16150.858	14005.233
2.6684	18585.963	16897.668	19476.582	19285.578	18570.918	13815.576	17770.062	19402.139	19047.377	20580.627	19918.318	16293.448	13264.479
2.8019	18503.924	15661.725	17739.152	17859.104	18697.203	13116.215	17035.924	20726.715	17586.533	21249.232	20692.357	15886.518	14159.672
2.9353	20208.242	15677.797	18084.953	17939.984	16812.594	13366.534	17809.648	21599.279	15271.091	23171.945	21992.883	15638.515	13864.488
3.0687	19785.879	16599.652	17269.574	17502.863	16354.582	13386.202	18728.391	20743.822	14471.051	22304.41	21622.816	14463.047	13709.955
3.2021	18831.113	17032.363	15746.145	16541.867	15234.163	14173.235	17994.949	19765.738	15227.352	20312.566	20660.354	14389.439	13427.215
3.3356	17674.068	16802.887	16506.223	16640.338	15362.563	14294.839	16466.834	20055.652	15584.076	18568.328	18012.762	14496.65	14181.354
3.469	16326.271	15887.804	16667.623	16937.146	14621.251	14414.778	15058.137	18892.309	17659.26	17222.719	16428.74	14557.968	14493.631
3.6024	NaN	16165.349	16213.145	16980.916	14497.737	14707.116	13703.785	17649.32	16853.383	16236.525	15185.351	14605.402	15159.386
3.7358	NaN	16066.08	15118.749	16257.403	14803.116	14612.569	NaN	17139.816	16631.773	15681.789	14993.102	NaN	NaN
3.8692	NaN	15606.856	15343.681	16092.344	14964.866	14493.106	NaN	16227.327	17317.865	14811.927	NaN	NaN	NaN
4.0027	NaN	16139.89	NaN	16995.443	NaN	NaN	NaN	15133.146	NaN	14480.495	NaN	NaN	NaN
4.1361	NaN	16134.373	NaN	17277.672	NaN	NaN	NaN	14601.526	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
