x	Y_20180224_15102_14_1g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_6g	Y_20180224_15102_17_6g	Y_20180224_15102_22_5g	Y_20180224_15102_25_14g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g
0	13838.077	13285.034	13873.448	12548.723	13023.719	12484.698	18326.449	14182.527
0.1334	15898.52	14141.689	17364.428	14813.159	13799.742	14414.212	19864.43	15283.091
0.2668	19589.986	17443.418	21158.498	18121.211	16647.824	17727.885	24351.162	17850.139
0.4003	22909.709	24994.861	24314.527	26976.709	21486.451	23099.664	28688.379	21715.758
0.5337	22438.18	36503.141	23964.982	32682.697	26664.986	23919.271	27253.234	23938.711
0.6671	20603.869	38200.484	22191.393	30567.039	27865.535	22611.629	22982.627	23384.697
0.8005	20402.844	32731.861	20845.043	24217.541	24281.611	21407.574	20427.787	21953.775
0.934	18497.105	30557.934	21007.375	22108.834	21637.328	19907.975	20864.607	20146.416
1.0674	18195.066	29673.223	21858.668	20985.086	18482.729	19380.07	19914.787	18057.518
1.2008	18852.734	28250.623	21526.318	19704.074	19402.295	19096.949	18758.047	17604.822
1.3342	18104.516	26435.256	22057.902	18243.148	21583.037	18230.82	17828.725	17363.049
1.4676	17804.215	24211.551	21051.469	17544.322	21349.297	18656.379	18183.066	16578.219
1.6011	17396.924	23831.709	20048.209	16756.182	21285.615	19517.211	18188.152	16925.293
1.7345	16909.275	22180.865	18689.252	17873.852	22701.586	19101.166	18787.521	18082.359
1.8679	16607.977	20242.189	17197.709	18170.73	21326.188	18840.613	18070.898	17760.686
2.0013	16990.736	18974.887	17211.613	16768.082	18821.057	18078.107	17438.721	19002.459
2.1348	17024.814	18257.611	16329.113	17056.678	16556.223	18344.068	15998.426	17952.432
2.2682	16474.346	17941.523	15851.983	16222.728	15614.893	19149.66	14866.48	17527.711
2.4016	15883.863	17883.311	14748.875	16194.96	15253.877	17625.85	14740.776	16772.197
2.535	15126.87	16659.625	15379.271	17036.17	14723.404	18150.221	13973.936	16817.764
2.6684	14611.401	16205.131	15448.181	16598.855	15345.658	17286.438	15212.574	16012.562
2.8019	14176.792	16342.967	15085.206	15919.291	15373.836	15311.742	15761.048	14759.801
2.9353	13303.971	16043.34	15093.806	15092.409	14871.295	14948.754	15274.201	14646.387
3.0687	12724.505	15518.209	16978.855	15792.692	13258.756	14924.525	15319.357	13727.276
3.2021	12912.623	15377.987	18992.842	14986.343	13370.309	14438.166	15095.992	13940.748
3.3356	NaN	16037.821	NaN	15870.98	12866.408	14423.154	14578.527	14110.152
3.469	NaN	16082.005	NaN	NaN	12952.19	13496.002	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.6064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.7398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.8732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
