x	Y_20180224_15102_13_3g	Y_20180224_15102_13_7g	Y_20180224_15102_15_11g	Y_20180224_15102_15_12g	Y_20180224_15102_15_8_S_g	Y_20180224_15102_16_6g	Y_20180224_15102_19_7g	Y_20180224_15102_20_12g	Y_20180224_15102_21_3g	Y_20180224_15102_21_4g	Y_20180224_15102_23_7g	Y_20180224_15102_25_10g	Y_20180224_15102_25_8g	Y_20180224_15102_27_12g	Y_20180224_15102_28_14g	Y_20180224_15102_3_1g	Y_20180224_15102_7_4g
0	16098.475	15639.617	15680.717	14869.142	15723.097	14316.466	16944.143	14688.953	14608.627	13584.722	12721.597	12512.2	15912.884	14143.183	15028.468	15667.52	18550.852
0.1334	18292.309	15831.901	18179.188	13821.019	16827.955	16391.852	18495.455	15113.454	15727.756	14430.881	14784.669	13794.278	15453.032	14124.627	15727.469	15945.896	19238.102
0.2668	21412.975	18302.887	23598.607	16306.594	19394.369	19423.508	20293.455	17900.436	18076.408	17400.488	16662.23	15346.524	15401.194	15524.386	18784.756	18373.027	22271.701
0.4003	28654.736	20892.951	28551.18	19472.516	25302.643	22646.592	26026.699	22291.357	21350.08	19870.469	20130.82	17614.865	16589.523	16562.791	24757.84	19352.289	22184.252
0.5337	31391.328	22627.15	27463.619	19180.057	33568.41	20680.076	26569.801	25057.434	22363.057	20468.566	20567.598	16923.256	17401.617	17002.098	31049.92	21344.18	21255.832
0.6671	27567.867	19850.42	23143.549	17221.557	36943.617	19418.211	25628.125	22237.936	19722.6	18769.861	20880.566	15499.38	17935.342	15219.066	32328.334	21725.732	21519.652
0.8005	24799.135	18500.619	21428.725	16097.893	32901.324	17766.818	22654.893	20121.906	17781.932	16716.045	19853.281	15819.372	17861.262	15196.049	26995.986	21151.355	20263.59
0.934	22769.516	17477.512	19920.906	15955.027	28246.527	17408.594	21184.553	19179.949	19275.982	16200.597	19649.258	15287.322	17843.176	14781.038	24618.117	19505.389	18828.777
1.0674	20515.986	16661.615	19278.268	16118.854	24543.969	17160.117	20021.857	17709.426	20428.088	15643.206	20783.033	15067.006	19261.676	14996.603	23182.178	18689.357	17664.359
1.2008	18734.824	16785.094	18534.592	16780.232	22694.447	16738.887	19456.709	15334.38	21771.918	14882.049	20437.871	14936.604	19157.234	14480.46	22894.416	18518.035	17236.432
1.3342	18511.729	16954.568	19082.016	16945.324	21332.043	17926.1	20984.424	14366.55	24177.379	14627.358	18786.609	14271.096	18507.525	14339.184	24363.834	17732.715	16817.17
1.4676	19331.291	17134.023	19734.016	16964.029	21202.418	17749.395	19679.316	14463.557	26850.18	14614.971	17538.656	14713.377	18069.729	14744.525	22649.334	15809.045	16132.242
1.6011	18158.164	16996.801	19371.076	17155.27	20340.029	16248.166	18500.85	14283.638	29141.389	14603.698	15616.174	13395.961	17760.604	14136.57	20491.578	16275.648	15506.741
1.7345	17049.271	15847.278	19725.246	18178.742	20539.633	16734.324	18000.936	14367.343	28470.191	13767.188	15803.43	13003.293	17361.414	13772.757	20940.643	16680.281	14226.256
1.8679	16350.837	15673.551	16900.363	17481.732	20270.451	16468.529	15835.442	13835.73	24528.102	14047.01	16146.272	13469.28	17056.762	14865.119	21360.873	16105.78	13605.752
2.0013	16935.512	15300.202	15029.281	17735.92	19770.383	16659.984	14745.351	13203.336	19660.328	14201.452	17221.467	14212.691	15383.662	14349.689	22044.771	15291.669	14513.833
2.1348	15103.816	15449.59	14972.496	16526.736	18536.6	16397.109	14315.551	13268.079	16159.042	13517.262	16575.988	14266.609	14090.652	15706.973	22563.639	16635.695	14570.518
2.2682	14759.473	15519.32	14114.608	15606.49	16116.635	NaN	14034.347	12594.452	15472.249	13053.362	15892.354	13376.519	13620.11	15200.988	20945.051	16480.533	13237.882
