x	Y_20180224_15102_1_4g	Y_20180224_15102_12_14g	Y_20180224_15102_13_4_2g	Y_20180224_15102_15_4g	Y_20180224_15102_21_5g	Y_20180224_15102_21_6g	Y_20180224_15102_22_3g	Y_20180224_15102_24_4g	Y_20180224_15102_24_6g	Y_20180224_15102_25_7_2g	Y_20180224_15102_29_5g	Y_20180224_15102_3_5g	Y_20180224_15102_6_4g
0	32112.66	39632.742	39970.844	39575.605	35923.492	35142.324	33549.312	39091.359	38066.383	38115.57	35575.289	39228.715	37515.223
0.1334	33707.977	38559.273	38987.645	40542.547	34310.934	34711.234	31753.973	39636.594	37743.012	38774.656	36725.43	39021.559	37711.383
0.2668	32817.621	38669.375	40183.637	37907.91	34601.547	36158.242	30802.674	38022.492	38348.195	37660.023	36591.953	40449.621	40124.777
0.4003	32939.785	36889.723	38676.664	38337.875	35098.668	35865.637	31652.27	38063.918	37544.316	40069.391	39032.934	38570.773	39294.613
0.5337	33476.707	36474.75	39381.973	38405.23	35468.602	34857.141	31618.248	39134.055	37778.082	39733.516	37398.922	39537.23	38857.324
0.6671	33220.703	36604.23	39810.762	38150.328	34426.156	35665.934	31967.432	37850.09	35853.398	38509.594	37692.273	38756.281	38767.945
0.8005	32754.117	35815.172	39953.852	38747.672	35794.125	35492.879	33714.539	38565.492	36524.797	39951.465	39649.32	37338.762	39839.438
0.934	33198.723	35855.816	39274.789	38467.469	39285.57	34696.121	35646.883	38741.379	36080.891	39876.73	39103.539	38956.551	39242.613
1.0674	33081.93	36183.156	42917.59	39827.258	38585.652	36649.004	38012.734	38210.18	35191.195	39792.738	38798.699	37985.113	38739.309
1.2008	33280.465	34465.75	45003.496	39031.234	39778.414	34903.656	35783.16	40084.27	34915.848	41306.703	40235.047	37686.074	40776.582
1.3342	35651.5	34300.832	48333.809	38436.438	42295.391	37073.734	37569.895	41184.129	35277.66	43145.922	40451.246	38772.547	43190.902
1.4676	38118.824	38328.984	60367.266	41215.109	51335.008	41879.652	41627.629	43692.816	38655.113	55156.551	45931.602	43472.832	49499.16
1.6011	46469.859	41075.129	95482.422	45810.23	71500.773	46149.016	52340.141	49540.031	44139.102	79754.914	57742.344	52835.863	65602.391
1.7345	53465.34	51223.559	143551.734	65237.348	85433.672	61307.223	81355.547	65624.359	56005.629	108487.227	88645.438	79109.086	105006.93
1.8679	51371.434	72093.586	149628.75	94673.672	77578.414	84482.031	116992.18	89825.344	74881.734	98967.438	113216.367	103042.055	166645.141
2.0013	45151.027	92510.141	101614.812	101288.93	58812.605	84282.359	121233.648	90617.094	74740.031	64923.555	92966.109	91519.359	169611.75
2.1348	43613.422	80628.969	64985.344	74772.461	48207.117	60963.305	79794.609	67453.375	56964.547	46022.43	61360.969	62983.656	114433.609
2.2682	41330.18	53745.301	NaN	49336.762	41779.988	45604.656	52359.156	52046.469	42993.094	41035.086	48429.48	47329.078	69131.578
2.4016	NaN	44171.484	NaN	41247.477	NaN	40230.531	44680.328	48024.797	39990.027	38544.125	NaN	NaN	NaN
2.535	NaN	40337.383	NaN	37531.512	NaN	NaN	41376.02	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
