x	Y_20180224_15102_11_5g	Y_20180224_15102_12_1g	Y_20180224_15102_13_13g	Y_20180224_15102_13_9g	Y_20180224_15102_15_17g	Y_20180224_15102_15_1g	Y_20180224_15102_15_9g	Y_20180224_15102_16_4g	Y_20180224_15102_19_7g	Y_20180224_15102_25_11g	Y_20180224_15102_25_8g	Y_20180224_15102_27_11g	Y_20180224_15102_27_6g	Y_20180224_15102_28_12g	Y_20180224_15102_28_7g	Y_20180224_15102_4_6g	Y_20180224_15102_6_1g	Y_20180224_15102_7_2g	Y_20180224_15102_9_2_g	Y_20180224_15102_9_6_S_g
0	15252.301	13502.419	16632.717	14222.338	13760.947	12804.028	13051.686	15035.8	13259.783	15344.771	17854.592	16063.971	14289.22	14153.935	16030.64	16901.336	15994.5	13784.562	15350.246	14112.738
0.1334	17002.787	15356.414	16968.148	15254.445	14646.049	14984.986	13710.356	16867.779	14625.742	17356.318	18466.832	16977.703	13560.125	15636.569	18696.832	17533.74	15491.516	15287.941	16813.822	15541.896
0.2668	23084.205	16557.049	19325.629	19312.02	17968.473	18589.428	15484.038	20878.621	15279.678	21648.291	20076.344	18494.309	14611.586	18982.568	23406.793	22317.461	16698.354	18283.371	20531.479	19914.008
0.4003	32977.555	22437.596	24210.902	24180.529	25820.877	26196.791	17717.357	30891.08	20720.785	33499.793	26494.439	23281.199	16758.883	24763.652	29656.426	28189.031	19710.244	24139.428	28631.654	27833.518
0.5337	39163.918	27390.691	26268.893	26782.479	28616.713	32829.57	22266.748	37991.805	25279.146	51466.551	38086.41	35145.359	20134.367	30521.463	31168.736	29707.441	29427.725	25735.602	34086.105	30182.135
0.6671	32129.436	23274.566	25994.949	22288.045	22477.402	33273.973	21606.527	41076.48	26619.906	57730.777	43613.195	48947.809	19256.158	27689.527	26732.797	27593.775	38297.277	22573.387	32916.973	25914.625
0.8005	25982.998	21061.814	24915.521	18921.754	17347.77	27442.178	19898.299	34535.266	23624.553	43938.207	39198.941	48387.887	18453.91	23471.043	22154.471	23375.84	37440.531	19162.471	30209.605	20248.447
0.934	20924.473	19068.316	22749.035	17105.02	16789.984	25031.586	17129.031	30143.057	20091.279	33576.34	33573.973	35362.012	16243.168	20461.217	19795.035	23033.148	29721.965	18027.234	27019.504	17353.082
1.0674	18598.129	18011.039	21302.418	15600.185	15367.871	23689.977	15506.403	26221.885	18731.25	29095.732	30377.123	25202.084	15521.527	20415.891	20155.619	23646.316	26296.35	17704.043	22755.873	16789.883
1.2008	18841.58	17378.428	20076.846	14092.445	17024.545	23868.541	15333.81	24304.73	19329.895	26592.775	26583.963	20986.588	15424.301	21281.869	21100.213	22648.1	26600.42	15908.002	20965.908	17755.469
1.3342	19788.6	17516.883	18929.383	13543.656	17501.744	22806.787	16130.911	22528.986	18757.252	25175.908	24315.445	19472.047	15317.68	21458.895	20658.215	19960.898	25099.389	14725.168	21218.084	17967.67
1.4676	19569.303	17865.756	18533.729	13373.693	17873.717	20801.064	15796.063	22392.012	20638.404	26979.49	27288.93	19876.412	15611.779	20060.789	19451.041	17400.658	23704.711	14229.543	19944.277	17584.035
1.6011	19682.557	20019.576	20009.834	13731.823	17625.801	19584.979	15271.48	22153.693	20675.494	26294.434	25706.908	19226.559	17095.371	18583.398	19614.398	17183.824	21127.049	14419.888	19096.086	15428.447
1.7345	19514.197	18876.203	23232.951	14551.063	17132.078	18535.994	15127.227	24268.729	19508.307	24455.412	24252.045	18432.67	15135.878	17781.502	17107.76	17643.139	18585.463	15277.315	17975.158	14599.219
1.8679	20484.543	19653.072	22026.449	15494.363	16164.111	17924.672	14125.203	26596.574	20076.551	22653.486	23020.951	17763.828	14597.749	16718.338	16390.621	18296.785	19217.84	14836.887	16387.316	14706.646
2.0013	22176.01	18976.684	21247.812	16151.6	16978.172	17144.648	14316.951	25868.043	19176.445	21885.756	22238.359	16781.715	14013.594	17776.467	16070.901	17834.502	22211.119	15336.571	16611.688	14663.444
2.1348	22012.584	16861.654	22430.857	18284.197	16434.473	17229.035	13704.381	23871.074	17728.533	21745.471	25850.832	15680.016	14107.254	19003.945	14737.333	17930.184	25919.064	15637.054	16445.527	15632.868
2.2682	20219.998	16937.152	19977.826	16907.641	15516.64	16694.049	13696.552	22359.57	16595.953	21294.332	27224.035	16463.109	13965.304	19427.27	15118.649	18814.658	28077.857	15794.158	16484.52	15412.305
2.4016	18418.785	16348.691	18752.584	15649.306	14996.189	16053.185	13467.453	20022.725	15039.187	20502.963	24895.115	16473.035	13697.757	19639.529	16071.807	17736.934	28189.754	15596.269	19121.877	15107.559
2.535	16969.576	15763.86	17953.711	15721.094	14592.748	16836.775	13635.937	18459.297	15598.816	21734.094	21796.506	16118.077	13760.676	17803.465	14706.872	17594.727	28610.904	15169.143	21100.246	15646.432
2.6684	16006.534	16797.154	19292.529	15050.985	14091.363	16185.188	13175.044	15977.285	15023.493	21896.264	18679.641	15671.967	13775.063	16207.911	14691.646	16551.953	23596.402	14845.545	21640.133	15170.124
2.8019	15349.051	15977.177	19112.271	14188.811	14864.61	16688.129	12852.272	15243.966	15391.895	20747.102	15830.972	17391.852	13455.781	15182.391	14022.628	16209.372	19246.543	14747.955	20391.174	14955.675
2.9353	15599.137	16261.021	17252.768	13820.018	15021.879	15746.5	12822.17	14371.667	14898.269	17709.266	15365.332	17145.318	13848.399	14277.173	14050.728	15424.987	16861.57	14437.966	18695.637	15929.431
3.0687	15069.36	17430.414	15873.621	13412.019	15271.697	14477.651	12464.214	15026.674	15692.574	16431.338	14729.312	17534.051	13517.782	14604.541	13783.558	16039.783	16882.268	14579.286	17040.787	16563.387
3.2021	NaN	15436.185	15220.062	13645.579	15276.503	13994.81	NaN	14921.043	15708	15655.296	13565.554	18172.143	14028.481	NaN	14482.995	15107.355	15603.773	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	15330.039	NaN	NaN	15113.986	15427.452	15728.166	13662.729	18187.379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16936.098	15721.725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17039.844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
