x	Y_20181208_15694_1_14g	Y_20181208_15694_1_16g	Y_20181208_15694_1_18g	Y_20181208_15694_1_1g	Y_20181208_15694_1_20g	Y_20181208_15694_1_21g	Y_20181208_15694_1_5g	Y_20181208_15694_10_10g	Y_20181208_15694_10_15g	Y_20181208_15694_10_17g	Y_20181208_15694_10_5g	Y_20181208_15694_10_6g	Y_20181208_15694_11_2g	Y_20181208_15694_11_6g	Y_20181208_15694_12_10g	Y_20181208_15694_12_13g	Y_20181208_15694_12_3g	Y_20181208_15694_12_9g	Y_20181208_15694_14_2g	Y_20181208_15694_14_3g	Y_20181208_15694_14_5g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_15_1g	Y_20181208_15694_15_3g	Y_20181208_15694_15_5g	Y_20181208_15694_15_6g	Y_20181208_15694_15_8g	Y_20181208_15694_16_16g	Y_20181208_15694_16_5g	Y_20181208_15694_16_8g	Y_20181208_15694_17_1g	Y_20181208_15694_19_5g	Y_20181208_15694_20_4g	Y_20181208_15694_20_7g	Y_20181208_15694_20_8g	Y_20181208_15694_21_10g	Y_20181208_15694_21_11g	Y_20181208_15694_21_12g	Y_20181208_15694_21_3g	Y_20181208_15694_21_5g	Y_20181208_15694_21_7g	Y_20181208_15694_21_8g	Y_20181208_15694_22_3g	Y_20181208_15694_23_10g	Y_20181208_15694_23_14g	Y_20181208_15694_23_19g	Y_20181208_15694_23_6g	Y_20181208_15694_24_8g	Y_20181208_15694_25_5g	Y_20181208_15694_26_14g	Y_20181208_15694_26_16g	Y_20181208_15694_26_1g	Y_20181208_15694_26_20g	Y_20181208_15694_26_21g	Y_20181208_15694_27_10g	Y_20181208_15694_27_4g	Y_20181208_15694_27_7g	Y_20181208_15694_28_11g	Y_20181208_15694_28_12g	Y_20181208_15694_29_2g	Y_20181208_15694_30_3g	Y_20181208_15694_4_3g	Y_20181208_15694_4_5g	Y_20181208_15694_4_7g	Y_20181208_15694_5_14g	Y_20181208_15694_5_17g	Y_20181208_15694_5_1g	Y_20181208_15694_5_21g	Y_20181208_15694_5_8g	Y_20181208_15694_6_13g	Y_20181208_15694_6_15g	Y_20181208_15694_6_19g	Y_20181208_15694_6_21g	Y_20181208_15694_6_8g	Y_20181208_15694_7_13g	Y_20181208_15694_7_17g	Y_20181208_15694_7_5g	Y_20181208_15694_8_12g	Y_20181208_15694_8_13g	Y_20181208_15694_8_1g	Y_20181208_15694_8_6g	Y_20181208_15694_9_15g	Y_20181208_15694_9_2g	Y_20181208_15694_9_5g	Y_20181208_15694_9_9g	Y_20181208_15694b_1_6g_left	Y_20181208_15694b_3_5g_left	Y_20181208_15694b_6_6g_left
0	10397.6758	10837.207	14630.3125	11913.4717	11366.7939	11908.3916	11291.5244	11559.792	10980.2344	13527.127	13784.0518	12586.7637	10264.8604	10436.293	10871.1006	10503.9033	11460.8281	11751.3633	12491.0273	10864.5049	12924.2129	10422.2969	11971.2354	10548.2441	9514.0137	10939.084	12642.4521	10532.6426	11401.0977	10456.4717	12020.0322	10924.1475	12718.9541	10379.4883	11413.0098	12152.2607	11462.6406	11563.9473	12381.0156	12328.791	11794.0186	12765.6074	12581.0742	11960.8721	13415.1182	12692.6836	13196.9951	12590.7402	12404.623	13959.4805	11127.0811	11297.1152	11087.127	12007.7559	11553.6191	14700.79	11320.1973	11384.3975	10717.4121	12395.2363	12309.3359	11247.3867	11456.1787	12553.9102	11472.6377	12683.3496	10769.0479	12281.0391	11095.3398	11828.6768	13351.7422	10679.9658	9977.8994	10213.8555	10014.5361	11189.3408	14109.375	11669.7168	10885.5459	10824.9502	15307.5586	11906.252	11295.0273	11181.8662	9882.5791	12017.1445	11464.6504	9897.7725	12409.2539
0.1334	10170.6309	11289.6787	18287.1504	13165.1973	11300.5381	13140.8232	12125.2812	11388.3105	12276.7295	12815.0654	14209.2344	12624.3711	10548.999	10404.9336	11105.9004	12942.3965	11938.4512	12912.2881	12553.0234	11216.6729	13110.0703	10470.1807	12510.7842	10081.8848	10247.5645	10622.3311	12339.5215	10093.1953	11973.1514	11694.5889	14025.5488	12057.8213	13727.9531	9656.5117	11657.5605	12146.8926	13165.5195	12581.4346	12750.2607	14370.5537	12461.6592	14605.9736	14682.7041	11962.8555	14308.4023	13880.8262	13040.4102	12709.6484	12751.8096	14500.4727	11860.1221	11988.0225	11612.7734	11887.2578	12200.4775	14723.7588	11711.668	11244.2354	10054.4053	13835.5801	13749.9434	11820.3984	12239.2256	14275.7227	11643.0391	12989.7217	10952.4805	12225.3809	11393.7646	11488.7588	13483.7393	11064.7168	10377.0947	10073.4795	10693.5645	11139.042	14198.7217	12002.2217	10626.2305	11633.0244	16391.5332	13205.7578	11007.6357	11077.0117	11374.3193	12517.25	12487.2021	11006.0811	13514.7363
0.2668	9926.2529	12535.752	19205.6445	14418.0957	12865.3799	14444.5029	14484.0938	11587.1934	15077.2891	12910.9727	13207.4824	12843.1904	10581.8721	11108.7295	11329.5742	15253.7383	12931.7305	15863.7695	12746.4639	11876.5078	13072.3047	11432.3203	12531.0449	10804.5273	11300.3779	11395.6416	12242.792	10921.0361	13207.2285	13646.6309	16237.4541	13379.9014	14940.0586	9789.958	11824.9551	12331.8945	15976.5859	13906.2227	13808.1367	15879.1953	15522.9717	14970.9688	17163.2285	12028.6426	15555.3828	15678.4775	14782.8887	13494.3906	14069.9492	16853.3711	13274.041	12927.1904	12511.2295	14376.2109	12647.6299	17698.6855	11862.8486	11200.6279	10968.9717	15880.0342	14754.6855	12241.7715	14509.7305	16252.9121	12745.1133	12826.6367	11033.3906	12854.9365	14041.8359	11925.7549	13732.3857	11595.5039	10316.9863	10311.3857	11186.9033	11745.6533	15922.0273	13165.6777	11841.6182	15377.3838	20273.4102	14370.377	10759.5322	11513.626	14089.6797	14775.6055	15426.5732	12360.1357	16742.7461
0.4003	11277.7969	15318.3154	17767.6211	16996.1406	15185.6143	13856.6182	15546.291	12717.4326	17442.6367	12818.5078	13102.0566	13175.127	11010.5566	11603.4453	12781.21	17102.9922	14828.8369	17784.8965	13054.8037	13289.6221	13859.5811	12033.3516	14020.2607	11779.0527	11984.2764	12667.8525	12961.7158	12372.3037	15358.7266	16121.2734	16327.9883	15728.3721	16013.8896	10102.1172	12889.8975	11828.9531	16325.1406	13381.2041	16482.248	15797.8008	20045.3184	14620.543	16007.2617	13509.4775	13907.7812	18412.9824	18487.3535	14533.1602	15321.6797	18995.748	13034.7119	15493.6221	13304.2363	15639.4238	15837.1826	21750.3711	12654.4502	11893.543	12033.6338	14770.2119	15986.9307	12529.4014	15096.0371	14975.332	13620.9297	14514.6689	11628.8428	12993.8857	15914.5342	11832.9277	15805.543	12595.5215	11875.3096	10977.2979	12118.4805	12793.585	19705.7715	15300.5078	11928.9648	17258.4473	20744.2188	13668.959	11192.5596	12452.3379	15713.7061	15514.3389	18500.584	12946.5615	15749.2725
0.5337	13267.0039	19230.7422	15756.8984	16229.1553	17296.6504	13103.1895	13826.2256	14830.0361	17088.3203	13717.5508	13923.876	15526.3975	12049.96	12427.2197	15805.8438	16595.3574	17133.3516	17349.5918	14512.627	17084.2891	13683.1807	13420.418	13651.0684	13203.6211	14860.3545	13245.9141	15514.7129	14176.8525	17188.3164	17809.6523	16070.2529	19284.5762	18530.2832	10653.6094	14600.4668	12293.1436	14316.583	13080.5605	17567.2891	13996.1182	20934.2031	15305.709	14873.6963	17225.0312	12361.835	17403.0742	20394.7891	17014.957	15825.2764	17848.6914	13296.9863	16788.168	15811.2441	16150.4385	17692.7109	22707.0137	13215.7363	13137.1064	14170.5527	13669.7129	16328.1143	13978.4697	13952.082	13597.124	13629.3252	15224.5625	13456.459	13429.5908	16776.4531	13155.0693	18403.7148	13783.0996	13622.1289	11744.1016	13639.9766	15630.3984	24488.6055	15590.5312	13928.79	18446.7305	16384.0449	12529.5381	13337.2383	14229.4492	14234.7266	13503.5752	18139.9434	12778.7031	16219.249
0.6671	14051.1973	21832.1992	14642.918	14508.9707	16151.8643	12241.5596	13513.6475	15179.5322	15068.5713	13600.3242	14876.4414	17309.9824	14849.9717	13937.2188	15956.4521	14498.6641	17373.9336	16081.9355	16237.3369	18776.8008	15803.9736	15349.0586	14506.7158	15628.8926	17966.4961	13000.8291	18660.877	13465.835	14986.1855	16367.7676	16142.2432	20745.1211	19098.416	12270.4834	16633.3086	13494.1533	12824.1309	13395.2646	15666.1357	13145.8184	18155.502	15770.0049	13438.8359	18845.1328	11476.8301	15136.8555	18830.6562	19512.8047	14194.6826	15205.2607	13839.1113	17572.1582	15657.2773	14997.0596	16573.8105	19022.502	14923.8252	13116.4189	16900.3535	12700.876	16573.6992	13422.9775	13342.2168	12932.0781	12541.8311	17738.666	14717.9756	15461.3867	16257.5332	15247.4023	20361.1172	13549.7109	15265.8271	13686.124	14823.1562	18813.5312	21980.9062	14207.667	14558.6279	16168.0479	14290.001	12241.4346	16183.3779	16242.9062	13951.7354	12524.3193	18041.0918	11388.5791	17519.959
0.8005	13018.3516	20225.8262	13849.3877	14571.1104	14163.5264	12124.5381	12762.8779	14076.875	13727.8232	14175.8115	17106.0625	15624.6826	17858.1562	15342.1992	14247.7422	14904.8662	16159.209	16255.2607	16858.9961	16942.5527	18894.2305	14990.2012	15138.8574	16231.3359	20075.8809	12317.8906	17815.0332	13670.9844	13069.4336	15280.6123	15829.6895	18314.3008	17098.1348	13829.1719	15132.3428	15703.8994	12303.0557	12876.1357	13738.7041	13487.3262	15673.1807	15627.334	13248.1582	17534.5059	11376.3066	14187.4209	16005.6475	20424.1816	13838.3574	14942.3486	13879.4014	14310.8447	14748.874	14017.2266	15764.667	16455.9844	16612.5078	12041.6426	18004.2188	12691.1777	16019.5889	12762.4561	13231.3076	13303.6943	12705.8203	18927.2461	13992.29	13946.2246	15229.4785	18385.5176	18455.709	13084.9707	15498.998	15860.3682	14802.7686	17852.5234	19342.2031	13544.5566	14416.4717	15888.2959	13429.1768	12435.5547	17297.3555	16437.7129	13140.374	12882.5322	16174.4375	11154.2031	15957.3711
0.934	12367.7656	18069.5898	13622.4287	15188.21	12413.584	12609.0654	12931.585	12850.8486	13210.3408	12767.9512	17145.8457	15882.1436	18159.1719	15633.6699	14040.8799	14639.0225	13261.957	15271.5449	15125.333	15067.6406	17260.0156	14133.7314	17523.4062	15357.667	17101.2559	12258.4844	18134.5527	14220.0996	12225.1143	13374.4619	14779.2842	16798.5273	15568.1514	14840.0303	13111.4209	14188.5225	12117.0264	13056.6934	14494.1865	12486.7422	14032.6719	14256.7031	13240.7275	16976.582	11185.0723	13959.6641	13771.7334	19215.4023	13281.9629	14518.249	13829.6943	11603.043	13433.8828	14456.1465	14391.8643	14813.6475	14285.5049	12213.6465	17553.8828	12966.1875	17367.1328	12415.8213	12370.0781	13097.9395	12869.4971	17359.5176	14307.1113	13515.1084	14104.9258	19146.9863	16664.8027	12995.0107	15552.9443	16491.8086	14123.6172	15737.7432	17124.0625	14004.8164	14215.9844	14904.4902	12698.5615	12566.5215	14342.4033	15413.9941	13557.1846	13295.8086	15417.0615	11517.6875	15446.207
1.0674	12059.5244	16735.6484	13725.4121	13966.1367	12074.6592	12660.4424	13486.666	13183.8828	13569.7666	12170.3145	16004.418	17246.8203	17276.9434	15142.9707	13900.0459	13951.9229	11869.9971	15274.2578	13191.374	14635.6416	15137.2275	13992.3389	18904.0703	14563.2461	14686.498	13143.7979	18072.4414	15041.8193	12577.502	12914.4697	13647.7139	16648.1172	14921.0527	14357.1035	11551.6104	13309.3613	12239.9834	12482.96	13769.5039	13304.8301	12432.2783	13493.7402	14039.7383	17086.6367	11654.8105	15086.6309	12917.8184	17690.1016	13197.6982	14282.6035	13865.4023	13164.7617	13036.9717	14562.2275	13713.6572	14387.2656	12554.54	12871.3672	17727.873	13027.6211	16275.2412	11941.7256	12518.2061	13907.1025	12658.5684	15062.3691	13989.4424	12353.2695	13984.498	16806.8066	16071.7871	13714.0498	15628.8408	14403.3779	15042.46	13980.0781	15730.3359	12975.2607	14237.0977	13638.7891	13423.3887	12599.0039	13104.252	14163.1182	13269.9863	13599.334	15147.9824	10920.3486	14985.0283
1.2008	11591.9229	15421.5068	13334.7373	13980.9912	12193.0713	12333.8398	12828.5059	13563.625	13918.46	11561.2656	14913.4844	16366.3242	15256.2734	14633.9258	13230.5576	13107.7539	10818.459	14822.6055	12941.0508	14262.5039	13166.4121	13876.2881	16672.4648	13565.998	13599.752	13067.1045	17466.9062	17855.7949	12708.0059	11772.0508	13049.8799	15053.0039	14376.959	12851.1387	11756.7412	13021.7832	11551.4375	12870.2803	13791.2764	12685.0723	11604.5498	12306.9541	13826.3936	16389.0059	12272.6992	15185.3037	12436.4473	15386.2949	12106.9277	14889.5117	14186.8398	12648.4209	12718.208	13762.7324	14406.6016	13770.6602	11296.9043	13526.4932	17237.25	13423.8291	14405.7695	11274.4639	12850.542	14117.7607	13182.5381	13406.2822	13328.7617	12554.3105	13497.6973	16022.3965	14771.4434	14350.8232	16028.5664	13128.21	15053.0703	13993.3398	15256.0811	13597.9404	14700.6621	12772.3604	14680.4336	12366.5703	11836.623	13478.3057	12858.0801	14561.6689	14808.9951	10352.3008	13533.0391
