x	Y_20181208_15794_1_18g	Y_20181208_15794_1_1g	Y_20181208_15794_1_20g	Y_20181208_15794_1_21g	Y_20181208_15794_12_3g	Y_20181208_15794_12_9g	Y_20181208_15794_14_2g	Y_20181208_15794_14_7g	Y_20181208_15794_15_1g	Y_20181208_15794_15_3g	Y_20181208_15794_15_6g	Y_20181208_15794_20_7g	Y_20181208_15794_21_11g	Y_20181208_15794_21_8g	Y_20181208_15794_23_14g	Y_20181208_15794_24_8g	Y_20181208_15794_25_5g	Y_20181208_15794_26_14g	Y_20181208_15794_26_1g	Y_20181208_15794_27_10g	Y_20181208_15794_27_7g	Y_20181208_15794_5_17g	Y_20181208_15794_5_8g	Y_20181208_15794_6_8g	Y_20181208_15794_7_17g	Y_20181208_15794_8_12g	Y_20181208_15794_8_1g	Y_20181208_15794_9_5g	Y_20181208_15794_9_9g	Y_20181208_15794b_1_6g	Y_20181208_15794b_6_6g
0	31959.2363	30919.6211	31105.5762	29150.6523	30198.2812	29494.1738	28891.3711	28625.3262	27559.4434	29763.5332	31882.3633	28480.2461	29094.0762	31459.0547	29846.8125	25328.9824	31579.082	32531.9609	26882.707	31786.1152	30593.4609	29275.8652	30370.3496	26283.2754	32025.3242	30455.3594	31074.2246	26800.6074	27755.4551	32140.9355	30927.2773
0.1334	32182.1699	29284.5566	31348.4395	29097.3555	31494.9648	30279.7266	28999.457	29498.5234	27178.998	31558.6309	32305.9043	27568.6387	28796.9219	29962.2109	30249.4902	24873.4473	30280.4922	32093.8887	27154.082	32494.9668	31205.209	28620.8477	29895.9766	25282.7305	30145.5742	28897.3223	30924.0645	26456.9512	27535.1426	31168.4941	30612.7383
0.2668	32877.3125	30099.3262	29983.3906	28753.7773	31533.9492	28309.4688	29328.1719	28476.8086	27220.0039	30596.1992	32616.1543	28260.6055	28707.0469	29956.3672	29921.1719	25676.6582	30748.8164	32093.5938	27672.1484	32121.7598	31073.8301	29518.9629	31001.377	25904.3613	30703.5137	30430.7363	31366.6309	27598.5938	26825.5098	31019.8633	30699.4805
0.4003	32395.6172	29787.9199	30666.334	29758.125	33122.9414	29805.043	29953.3457	29738.8594	26358.2656	29864.8281	31655.5195	25794.332	29324.7949	29989.3613	30123.8008	25922.8711	31761.3418	32016.2148	26540.1074	31258.6133	30162.2871	27985.0957	31041.2715	24736.8457	31693.4727	30075.0508	31330.3457	28883.5547	28447.8574	31089.2734	29686.959
0.5337	32998.8086	30422.4961	32003.5625	29786.6523	31395.5293	30153.1465	30565.625	29171.0098	27177.1055	31033.7578	32105.6699	26865.0801	30550.6895	31135.2422	30643.1133	26839.4375	31343.4746	31074.375	26720.7129	32279.8535	32233.2754	28062.9805	32712.1836	25881.584	32255.2773	30889.1973	32279.9258	27726.9062	27686.6855	32324.5332	32123.3711
0.6671	32919.125	29749.8223	31640.0215	30942.5234	30496.6309	30680.6191	28478.4766	29405.0508	29201.1309	30557.2188	30418.9668	27139.8359	31316.0879	31694.9668	30415.3398	26368.3047	31921.1152	32021.5918	26790.2578	31901.6543	32420.457	29106.4629	32046.5859	26533.4863	32777.6211	32200.168	31508.3672	28362.3848	27992.6211	33067.0078	32011.7012
0.8005	34738.582	30834.1074	31522.8457	32676.334	31915.1699	30452.6016	29566.9141	30257.0078	27656.1328	30557.1836	31091.7969	28045.4844	34228.3203	30386.6973	31577.5469	27332.2695	33585.9883	32238.0898	25991.1602	33522.2383	34266.5781	27546.2578	31095.8398	27073.6602	32537.4824	30939.5898	33323.6523	30047.2031	27343.334	33475.7812	34409.4492
0.934	36537.3203	32103.1191	33982.5781	36328.1094	32906.8438	30645.957	29311.6152	30193.9785	27679.5215	31842.8086	31725.7051	28622.6562	38343.2383	31445.8496	32994.5	26772.3418	36234.375	32106.4434	25935.3965	33467.5664	33160.5859	27832.748	31951.2852	26573.0898	35164.332	31782.5371	32719.3672	32741.4883	28177.7715	34737.2812	39184.957
1.0674	39785.5352	34148.3008	36345.4258	47559.8516	35189.2734	33232.1562	28906.5605	32726.7305	27670.623	31077.0879	32938.3633	29747.3574	46077.2109	34833.6055	39551.5234	27842.7617	39927.9922	32350.5391	27092.123	35633.1602	35211.293	28094.6895	31376.0234	28765.9531	38132.9492	32693.9258	35403.1641	39235.1758	32739.5605	40565.5938	51165.6875
1.2008	49616.4258	43048.832	40205.957	69626.8438	37094.1484	37602.7148	31243.4883	31505.6855	28338.2207	31977.9062	35288.5625	30143.3477	63659.4258	45091.1875	51057.1992	28575.4492	48499.3828	32501.2793	28507.3105	37893.2617	38569.6328	29073.3086	32149.9629	30018.0469	45770.043	34612.6172	42073.7812	54442.5234	39247.5938	55479.4805	71995.0625
