x	Y_20181208_15794_1_13g	Y_20181208_15794_1_17g	Y_20181208_15794_1_19g	Y_20181208_15794_10_14g	Y_20181208_15794_10_2g	Y_20181208_15794_10_4g	Y_20181208_15794_10_7g	Y_20181208_15794_11_10g	Y_20181208_15794_11_11g	Y_20181208_15794_11_7g	Y_20181208_15794_11_8g	Y_20181208_15794_11_9g	Y_20181208_15794_12_12g	Y_20181208_15794_13_10g	Y_20181208_15794_13_11g	Y_20181208_15794_13_12g	Y_20181208_15794_13_15g	Y_20181208_15794_13_2g	Y_20181208_15794_13_7g	Y_20181208_15794_14_1g	Y_20181208_15794_15_4g	Y_20181208_15794_15_7g	Y_20181208_15794_15_9g	Y_20181208_15794_16_12g	Y_20181208_15794_16_15g	Y_20181208_15794_18_5g	Y_20181208_15794_19_11g	Y_20181208_15794_19_20g	Y_20181208_15794_2_1g	Y_20181208_15794_2_3g	Y_20181208_15794_20_11g	Y_20181208_15794_20_2g	Y_20181208_15794_20_6g	Y_20181208_15794_21_4g	Y_20181208_15794_22_13g	Y_20181208_15794_22_1g	Y_20181208_15794_22_7g	Y_20181208_15794_22_8g	Y_20181208_15794_23_11g	Y_20181208_15794_23_15g	Y_20181208_15794_23_18g	Y_20181208_15794_24_11g	Y_20181208_15794_24_12g	Y_20181208_15794_24_3g	Y_20181208_15794_24_4g	Y_20181208_15794_26_10g	Y_20181208_15794_26_17g	Y_20181208_15794_26_5g	Y_20181208_15794_26_8g	Y_20181208_15794_27_14g	Y_20181208_15794_27_1g	Y_20181208_15794_29_4g	Y_20181208_15794_29_7g	Y_20181208_15794_3_10g	Y_20181208_15794_3_16g	Y_20181208_15794_3_17g	Y_20181208_15794_3_4g	Y_20181208_15794_3_6g	Y_20181208_15794_3_9g	Y_20181208_15794_30_5g	Y_20181208_15794_30_6g	Y_20181208_15794_30_7g	Y_20181208_15794_30_9g	Y_20181208_15794_4_1g	Y_20181208_15794_5_10g	Y_20181208_15794_5_16g	Y_20181208_15794_5_9g	Y_20181208_15794_6_14g	Y_20181208_15794_6_1g	Y_20181208_15794_7_15g	Y_20181208_15794_7_16g	Y_20181208_15794_7_2g	Y_20181208_15794_7_6g	Y_20181208_15794_7_9g	Y_20181208_15794_8_15g	Y_20181208_15794_8_7g	Y_20181208_15794_9_4g	Y_20181208_15794_9_6g	Y_20181208_15794b_1_4g	Y_20181208_15794b_10_3g	Y_20181208_15794b_2_7g	Y_20181208_15794b_2_8g	Y_20181208_15794b_3_4g	Y_20181208_15794b_3_6g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_5g
0	12089.3506	14981.8252	13105.9971	13314.3477	9923.2793	13787.4424	14782.8887	11435.6709	10881.1426	11299.5693	11052.1982	10978.2646	12039.0078	12273.1201	11819.6387	14570.7988	12262.1279	10476.5869	14263.1084	11090.1104	12767.6016	12066.4385	10681.874	11854.7471	11612.4482	11138.5566	10225.998	10707.0771	10882.1074	10644.1836	11213.5352	12064.7822	10151.3828	11745.7373	12497.2568	12899.1143	11308.4844	11971.3496	12466.7197	11605.4629	13944.0869	12957.6582	10142.4463	11537.5645	16786.4492	10368.1523	12460.6084	13534.8955	11648.0205	12799.9824	11934.7383	12560.0127	10302.9141	16301.1045	12065.7119	13996.9199	10927.7188	12667.5693	12369.5449	10833.2051	12427.7168	11358.5049	12909.4521	11539.4678	11905.4697	11586.7998	12366	11772.8174	11743.4521	12239.1982	11641.8906	14552.7998	11207.1836	13437.8105	12728.624	12185.1143	10791.6934	10432.0293	14025.334	11719.168	10866.5352	12241.665	12741.0859	10861.6367	10293.2861	10457.9238	10414.8447
0.1334	12118.6416	18345.7773	14600.043	13486.3652	10904.8906	15501.1348	17610.1152	12282.8652	11138.5029	11394.7734	10579.0518	12011.9453	11963.9482	12392.3193	11644.5986	16742.4922	12465.5117	11497.2871	16028.9795	11249.2461	13032.2949	12292.6006	11591.0713	11573.8018	12108.4453	12114.6025	10864.6338	10467.5996	12481.0146	12237.041	11328.3164	11780.1807	10488.5596	12839.6123	13665.6748	15716.0234	12727.8818	11495.1885	16463.752	12717.1992	16031.6699	14352.75	10966.7109	12021.002	18388.7559	11376.1631	13373.6953	13765.0488	11797.2002	13510.8213	13031.3955	14199.8818	11181.4062	21006.7695	14183.7275	17525.416	12063.0723	15417.1455	12651.4873	11940.1152	13212.46	11559.9717	14675.5508	12971.2373	11824.6777	11451.5752	12528.335	12343.2256	12371.4023	12506.5586	12837.6309	14642.0361	11494.0547	13952.96	15219.1865	12549.4346	11526.7881	12640.6729	14811.126	12450.9658	11425.0293	13851.8672	15441.4326	12122.2002	10598.9844	11528.1621	10262.9561
0.2668	12307.2861	19837.0352	15952.4453	14859.5225	12150.5654	18281.7441	20593.1406	15151.6719	12399.7617	12600.3535	10203.7227	14615.21	12245.3906	12226.5547	12188.4111	18560.9531	12144.9795	12610.7314	16922.416	11546.251	13336.5674	12434.6445	12590.8359	12942.0752	13484.918	14856.1982	11046.8223	10380.5176	14723.1533	12499.5684	11900.498	11624.8066	11674.2871	14157.5459	14894.4404	17876.9688	14539.4121	13120.2119	19407.9766	13446.5557	16820.627	15798.2529	12060.5771	13464.6963	17360.7773	12907.0215	15321.8008	16250.0469	13432.4453	15042.3281	15670.8252	17610.4766	12249.8213	24592.3672	16245.6445	20072.9316	14085.7188	18296.2012	13175.2959	14085.9844	14857.2793	11620.3525	17808.5781	15792.458	11680.1016	11972.0957	14831.6846	13634.4844	12697.665	12549.7373	14885.3428	14493.7412	12423.2637	17246.668	16644.2285	12149.7256	11580.6445	14037.3252	15548.3242	16295.1426	11019.2793	16655.7344	20500.375	14463.7217	12151.2568	11955.0693	11906.8691
0.4003	13468.2666	17884.8223	17620.8105	17405.4141	14822.5977	18434.9941	19684.0664	16766.7969	14064.2461	13283.0264	9860.5605	16135.8486	12550.4473	14247.5039	14351.9717	19847.2695	12344.6504	13195.2637	15321.7266	12172.6719	13379.3711	13374.3672	13950.3203	14609.7617	15768.8242	17067.498	11678.1787	11217.874	16419.7754	13477.7842	13313.9658	11453.2324	13676.6494	14935.333	18824.5469	16707.4414	14108.6016	14137.9883	16920.1582	14956.0869	15454.5293	17249.1367	16596.3809	14573.7891	15104.2812	15143.9375	16503.8496	17184.4941	14569.6807	17411.9453	17673.5781	19794.4434	14831.7764	22886.2637	17089.416	19442.8594	17032.6016	19133.582	15365.6924	17942.6758	16743.5312	12311.6172	20359.6289	18397.5332	12162.3223	13147.5908	16782.8809	15114.5508	12581.001	13246.4268	14999.8945	15476.7393	14444.4287	20054.6777	15357.6865	13479.9453	13336.1104	17123.6367	14521.7656	17526.0078	11098.9219	16895.4453	23665.6328	16164.5596	13842.999	11899.7725	14920.2412
0.5337	15133.4844	15617.2969	17001.6465	21522.5684	17213.5879	17291.1562	16857.7773	17007.5762	14958.5703	12776.5498	10262.3047	14954.7598	15794.1484	14938.2627	16713.7793	19051.584	13820.6426	14027.1826	14062.6279	12799.6865	14452.4951	14123.2695	15756.998	16478.9727	16346.3135	15465.2236	13008.624	12854.8281	16591.373	15068.8105	14343.0967	11432.0986	14974.0391	14191.3232	21642.9141	14192.8398	12891.8984	15044.5381	15292.3828	16432.4219	13697.3457	14637.6699	24386.1406	14913.0264	14852.7783	16108.6875	15020.0986	15987.8457	16722.9102	19283.0625	15511.5527	18632.7773	16596.7969	20680.6738	21522.7969	18490.3418	17450.4199	19214.9336	18046.1641	22657.7168	16273.8213	13981.6074	19857.0957	18995.7148	12664.043	14838.5967	16428.291	17075.6992	12863.5693	14000.7207	13607.1846	17796.9941	17524.7266	21079.8574	13663.6826	16536.8496	16188.708	17065.0859	13443.4609	16471.0977	11690.7734	14205.5576	23093.3262	15961.8555	15842.0146	13115.0498	18461.0332
0.6671	14751.8887	14143.0439	16179.5078	21790.7305	16140.166	15916.3213	15301.6309	15582.2178	13684.6357	12851.5684	9781.7275	14224.5586	18138.582	15036.4619	16432.0566	17124.1582	14325.1641	14494.6025	11912.3193	15656.8262	15660.5557	15716.7881	15483.6113	16408.7324	15214.4248	14589.0732	14242.8213	16578.7695	16300.1787	15741.4648	15619.6055	13548.7197	13347.498	12848.4043	21659.6035	12756.5332	11482.2402	14560.3447	14647.1836	14876.5723	15218.0713	13642.9014	28031.4746	14594.3652	14115.2939	16056.2812	14497.625	15181.9922	15990.2832	18518.4004	13841.6748	16774.2402	16182.1719	21011.3398	21442.4785	17788.1328	15397.4717	16492.0156	19689.5078	22101.334	15584.4424	14022.2725	17545.791	15837.6699	13295.3418	18966.8906	14844.4746	15571.0898	14779.6777	13802.0518	13599.0498	20627.7246	20875.4746	17930.4609	13117.6836	18540.793	18617.3535	13864.1045	13021.8057	15143.4951	12341.0576	11760.335	21509.3105	13890.792	18463.5938	13922.502	19347.7031
0.8005	12878.8359	13733.8057	13969.5146	20766.9551	14149.1934	14271.0664	14395.5146	13952.8965	12589.708	12960.7393	9850.0137	14418.9326	17827.2383	14417.7334	14914.1943	17006.2363	13753.5254	15204.4082	12049.1709	16137.2979	15621.0361	18726.6406	14462.5059	14895.1377	12828.749	14049.7588	15783.4082	19992.8535	16248.2627	15967.3672	15740.624	15600.1758	11764.0732	11902.4033	17961.8027	12146.3359	11129.876	13193.6064	14877.3486	13276.2158	14509.8818	12955.1768	24390.1133	13219.5586	13291.0264	15017.043	13718.123	14630.041	14755.4229	17267.7402	12740.4219	15118.0293	15511.2773	20897.0859	16674.7012	17313.0527	13650.248	15146.5684	17634.6445	17673.1191	14746.4707	12831.1016	15777.9717	13782.7803	15195.791	20884.7812	14817.6865	13296.3486	15313.2705	12493.2373	13833.9746	20464.2676	20680.9141	14609.7998	13987.665	18884.6172	19357.5586	12284.2344	12410.4297	14649.0244	12561.665	12020.4717	18620.4219	11853.0342	17208.1816	12346.8252	17387.6738
0.934	12883.7168	13619.7725	13834.21	19339.4355	12959.0371	13635.5488	13925.4756	13612.3721	13026.9385	13143.0146	9569.9756	13872.2363	14703.4619	13739.0918	13823.6826	14808.7217	12929.835	13829.5518	11789.7939	14846.0898	15439.6445	20653.3047	14104.4746	13205.1064	11558.2939	14360.123	15744.6885	17647.6797	15167.0869	16761.4297	15952.1582	14005.2734	11225.9658	11480.6543	16135.7236	12215.8359	11257.7383	12005.8564	14073.9268	12183.3975	14447.8828	13622.6465	19965.334	12830.334	12995.9658	13886.1406	13480.377	14995.0234	13721.0059	15982.3496	12360.8145	14798.9619	14770.0361	21016.1094	13969.7217	17469.1719	14274.5107	14758.5254	16252.3477	16058.5107	13986.2393	12716.6377	15745.7725	13113.5547	14680.001	20844.6953	15453.291	13025.7998	14589.8545	11312.4307	13932.4043	17830.502	18850.5254	13620.043	13316.2588	17020.248	18303.3145	12184.6982	13157.5459	12901.5908	12489.8945	12062.0205	16702.9805	12238.3574	14827.0322	11565.9121	14565.9893
1.0674	12103.96	12870.4209	14524.4756	17384.0098	12487.5723	12694.2568	13961.8145	13789.6934	13189.46	12940.8447	10248.8486	13664.2461	12480.2783	13681.6436	13735.0176	14360.4033	12567.79	14460.458	12577.583	13143.9707	14471.7734	19124.9766	12755.0615	12745.9561	11601.3652	14336.7793	13477.8936	14468.7852	14851.877	15987.9883	16180.4941	12488.6719	10837.1777	11544.9443	15261.3057	12036.9551	11410.9912	11398.7266	13178.2822	12273.8496	14521.4102	14918.6484	17739.668	14181.1348	12670.9072	14095.9385	12476.8662	14176.1992	12655.4541	16266.9922	13215.4883	15504.4746	14130.3291	19669.6191	14073.1943	16439.5723	14061.6348	13669.4951	15931.5068	15493.5332	14108.4004	13983.4297	15180.667	13049.5801	13197.9473	19328.4258	15418.0195	11773.5195	13577.7549	11537.457	13589.9746	15838.8398	17376.9863	12931.6758	13006.8975	15205.8066	17073.8105	12649.0303	13042.3096	12649.6816	13313.1729	12033.2979	15430.8906	11688.8535	13810.1543	12059.5039	12210.2383
1.2008	11799.3809	12584.0674	15956.1592	16499.457	11090.3457	12915.6494	12718.793	14082.9717	13323.6484	11913.3066	11041.1465	13753.6504	11697.7178	13951.8438	12613.3193	14023.2979	12114.3555	14341.8105	13936.3076	12268.7041	12881.0518	18397.6602	12912.0645	13423.54	12067.833	14368.4434	12123.2148	12606.9326	14614.6514	14946.209	16473.1855	11981.1494	10761.0527	10851.9004	13952.3438	11949.1211	11302.0303	12054.8037	12926.1309	12349.8408	13069.3555	15865.0195	16848.7012	13766.4922	12945.3506	13435.8691	11992.5332	13289.082	12571.1338	16114.6328	15180.9053	16383.4043	13434.8896	17958.4844	13576.3564	15544.2012	12978.5029	13146.7197	16271.8438	14557.4609	14518.1523	13554.459	15907.1016	13091.6758	12182.2607	17136.2148	13549.6006	11281.8633	13827.4287	12047.376	13129.3252	14393.916	15797.7979	12204.4531	12508.2686	15438.2871	16137.9297	11597.6338	12553.5938	12719.5039	13195.124	12998.6201	13727.4297	12306.6768	14685.0977	11593.2256	12165.2764
