x	Y_20181208_15694_1_17g	Y_20181208_15694_10_2g	Y_20181208_15694_11_9g	Y_20181208_15694_13_15g	Y_20181208_15694_19_11g	Y_20181208_15694_2_1g	Y_20181208_15694_2_3g	Y_20181208_15694_21_4g	Y_20181208_15694_22_7g	Y_20181208_15694_23_18g	Y_20181208_15694_24_3g	Y_20181208_15694_26_17g	Y_20181208_15694_3_4g	Y_20181208_15694_5_9g	Y_20181208_15694_9_4g	Y_20181208_15694b_1_4g_left	Y_20181208_15694b_6_10g_left
0	28991.8066	22573.3906	29229.5566	28832.6973	25860.3633	25427.5234	31028.9062	31937.9863	29683.9648	28074.0312	27572.3516	28308.2305	30641.5918	30378.3516	29814.7305	30080.6191	25938.5742
0.1334	30006.1855	23550.4902	27301.9902	28505.2422	25934.2344	25178.6094	30882.7949	32295.6504	31013.3438	27124.6855	27063.4043	27758.6562	30602.748	31541.3477	29888.9824	31557.3281	24964.3398
0.2668	29341.1875	24032.3242	29651.2383	29465.8203	26712.4316	25956.0566	31766.4492	32077.8945	30551.4707	27428.7852	26502.4766	27624.2812	28734.0605	31376.5254	29480.1484	30502.3047	26190.9922
0.4003	29960.8125	23208.3105	29917.7402	28240.0234	25754.0332	25397.4512	31163.8301	31978.4746	30509.2363	28691.8047	26851.9941	28605.875	28591.8027	31617.9844	29822.0156	29346.3633	25321.4883
0.5337	28043.4219	23962.6504	31178.2949	29094.5566	26262.627	25332.6152	32109.5312	31069.2227	30781.627	28176.2188	25661.4316	26321.3379	28395.7461	33492.2266	30524.6914	30572.9375	27520.5391
0.6671	29116.0781	24184.0098	29797.5625	28751.0293	26099.8418	26031.084	31956.127	31754.8379	30326.5293	28103.7051	25576.6816	26088.7832	27377.4785	33048.5508	30488.7598	31158.5625	27270.3047
0.8005	29023.8848	24189.1875	29846.4238	28929.9355	26512.5586	26153.9453	31207.7656	31068.1504	29885.0605	28744.5996	25608.9141	26910.0391	27218.5898	34222.0898	30313.9414	30467.2637	26060.4961
0.934	28841.2031	23864.7188	30868.9473	28335.9785	27982.6465	25609.5859	31455.9805	31287.0137	30156.1211	28829.9219	25834.1445	26995.541	27575.3359	34626.5312	30947.6348	31916.8086	26076.1289
1.0674	28717.5664	23326.4766	32555.6309	28969.707	29483.498	25593.3789	35030.8555	29886.2031	29686.0273	28125.7051	27032.4453	25794.5195	28484.6953	31570.0332	29988.1133	32251.2031	25461.707
1.2008	28840.8496	24418.5059	30933.5938	28732.0371	29501.7168	24915.748	33389.5664	30492.5801	31011.7285	27823.4375	27347.7363	25514.502	28104.7754	33719.6367	30372.0195	32423.5645	27039.1953
1.3342	30654.9434	25025.9883	32085.0898	29942.7188	29479.9648	25228.0742	33396.0859	29857.4824	31441.7441	29520.6875	26323.793	25450.4277	29012.8477	32308.8633	31114.8086	31564.3457	26053.25
1.4676	31782.3633	25597.0332	31377.9922	29346.6289	29498.6719	25940.9102	32125.416	30010.248	32440.4941	29728.3203	27879.875	26425.9922	28923.2559	32483.1094	29394.0469	31971.1348	24906.0508
1.6011	30537.9922	24712.1348	30283.9297	30551.7852	28462.9629	25676.1328	34873.5	30936.4043	31373.9121	29383.9004	26650.3066	26236.4551	27358.2598	32818.0625	29870.8145	32430.7773	27597.5723
1.7345	31531.2773	23983.9316	31347.8828	34478.293	28116.8438	26291.3848	33156.5469	31536.0879	32495.7441	29031.2793	26092.2559	25697.1777	28718.4023	32770.8633	31040.7715	34633.7812	27650.207
1.8679	33390.4531	24368.9121	34273.5703	40232.8711	27871.4277	26321.0586	30720.1973	31840.7988	34946.6641	28334.5352	26068.084	27818.9902	30027.2109	32581.3613	29369.709	34471.7031	25990.8828
2.0013	37639.6797	26931.5156	35213.4922	57292.9922	28761.7598	26373.2812	31357.5254	33192.5938	39939.2383	29277.3086	25902.1758	30072.5918	30985.3496	33195	31276.2051	37666.0664	28268.4902
2.1347	46558.4883	26236.3105	33943.4688	85649.3594	29137.5957	27008.8086	30131.1152	35061.543	53686.1602	31150.9355	28471.3164	33401.4102	31113.752	37404.8945	31972.0078	44430.9648	27989.7207
2.2682	62315.3555	31022.5859	34849.4844	91358.5078	29840.7734	28342.6289	31171.125	40489.0352	75974.0469	36506.3945	31488.5957	39614.3906	36273.9805	46948.1094	31755.8184	58872.1992	30570.2207
2.4016	71265.7344	39036.2227	40784.7305	73918.5781	31040.2734	30434.8848	32410.1523	53640.9648	86772.2031	46398.6094	36166.125	53399.2344	49540.4062	75116.6953	33908.1367	62971.3594	36700.3984
2.535	58607.2109	48367.6055	47195.8125	55884.2812	35886.4062	36185.6562	32698.2461	66985.4297	68662.6797	43535.5156	48682.7812	62678.7148	78240.2031	106956.0781	39201.6289	54153.6367	46721.9727
2.6684	42274.832	48391.5312	44785.5547	43648.6797	48464.8203	40787.2188	33449.0938	62954.1953	46343.625	37792.5938	53162.9805	50902.3828	94700.2031	96385.0469	50372.0977	42379.7969	74600.5312
2.8019	35872.7227	36255.9766	37100.3242	38236.9922	66575.5781	38606.1484	40155.3086	48057.293	38466.3828	33291.2109	43797.2383	36590.9336	80750.8906	66609.5312	67392.7109	36841.9922	88860.7422
2.9353	32806.9492	29918.6562	32642.4492	36014.1133	76084	34611.5938	50182.0781	38420.1719	34427.1719	30741.8828	33743.2422	29254.6055	53602.8047	49571.1328	68232.0078	34372.3711	66772.5469
3.0687	32367.959	25997.7617	31303.3418	NaN	70986.4141	35087.4961	64446.832	35913.2305	33749.2656	28973.7969	30542.0801	27928.2754	38776.0312	39673.0781	49955.8945	34906.5273	44896.1758
3.2021	31120.8672	25695.0977	29422.4473	NaN	61493.0938	38798.9531	60622.918	33186.9062	33036.3203	30343.1387	30585.9512	26095.6875	33824.8203	34684.5938	35570.4336	NaN	39384.4766
3.3355	NaN	24252.457	NaN	NaN	47037.3398	NaN	47397.5938	34110.9688	32317.75	NaN	NaN	27355.0391	32597.1602	34423.918	31460.2676	NaN	35061.4297
3.469	NaN	NaN	NaN	NaN	35419.8594	NaN	39215.1094	32320.5566	NaN	NaN	NaN	NaN	31632.3828	NaN	31907.459	NaN	30735.0195
3.6024	NaN	NaN	NaN	NaN	31367.834	NaN	35936.2617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31381.8379	NaN	31366.9512
3.7358	NaN	NaN	NaN	NaN	29463.4551	NaN	34033.2656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31721.2871	NaN	31857.6992
3.8692	NaN	NaN	NaN	NaN	29718.1973	NaN	33435.4531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	30349.2969	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	30183.2129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	30804.2246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
