x	Y_20181208_15694_19_2g	Y_20181208_15694_19_7g	Y_20181208_15694_3_12g	Y_20181208_15694_4_20g
0	10808.4531	10300.0781	10214.1982	11412.9531
0.1334	11135.166	10588.0703	11310.3096	11956.7852
0.2668	12286.5791	11859.9062	13709.333	14810.3857
0.4003	14140.9697	13576.7686	17346.5488	16421.7559
0.5337	15008.3174	15907.418	18098.8672	17119.5938
0.6671	16071.8008	14800.8271	17584.5469	15748.1357
0.8005	14521.2266	13873.9775	15678.8242	15102.7598
0.934	13218.1182	14366.125	16142.0938	14292.4766
1.0674	12736.8799	13893.5977	15644.9131	14437.4473
1.2008	12532.2725	13491.3965	15558.6348	12658.4893
1.3342	12014.4111	13015.1572	16314.1807	12975.0732
1.4676	11635.5596	12900.2236	15921.1777	13910.6885
1.6011	11226.1377	13288.8086	16099.1572	12997.6807
1.7345	11056.3838	13826.9629	15781.6709	13549.4961
1.8679	11204.1641	12145.7725	14047.2471	13927.4277
2.0013	11598.3398	12667.7812	15148.3486	13981.2656
2.1347	10542.6729	12527.1436	14450.709	13892.0059
2.2682	10369.3965	12940.5273	14069.4766	12700.958
2.4016	10262.9023	11475.6309	13781.7832	11893.0605
2.535	10643.3047	11706.2227	13136.5693	11607.4941
2.6684	10983.5605	10351.5859	13535.0186	11740.4287
2.8019	11235.2402	11704.4062	12932.457	11745.2852
2.9353	11921.9326	10788.0508	12217.167	11339.916
3.0687	12378.7773	10067.8691	12075.5176	11913.291
3.2021	13422.4746	10131.1641	12280.6787	12162.0723
3.3355	13895.5791	10378.4365	11559.3564	12592.6299
3.469	14504.6709	10219.3486	11399.9277	12720.0859
3.6024	14285.1553	10177.417	11062.6484	12824.9443
3.7358	13129.4521	10602.5322	11335.4131	12184.1807
3.8692	12247.7637	10004.2744	11346.9951	11510.7188
4.0027	12733.6465	10404.1689	11012.3369	11610.8955
4.1361	12989.4424	10047.5615	11656.8242	11261.0127
4.2695	12491.04	10365.1426	NaN	NaN
4.4029	12229.1055	10210.0605	NaN	NaN
4.5363	11566.375	10486.2998	NaN	NaN
4.6698	11338.8096	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
