x	Y_20181208_15694_1_10g	Y_20181208_15694_1_2g	Y_20181208_15694_10_10g	Y_20181208_15694_12_14g	Y_20181208_15694_12_5g	Y_20181208_15694_12_7g	Y_20181208_15694_13_11g	Y_20181208_15694_13_6g	Y_20181208_15694_14_1g	Y_20181208_15694_16_2g	Y_20181208_15694_16_5g	Y_20181208_15694_16_7g	Y_20181208_15694_17_1g	Y_20181208_15694_19_10g	Y_20181208_15694_19_12g	Y_20181208_15694_19_1g	Y_20181208_15694_19_9g	Y_20181208_15694_2_9g	Y_20181208_15694_21_6g	Y_20181208_15694_22_1g	Y_20181208_15694_23_4g	Y_20181208_15694_23_8g	Y_20181208_15694_24_14g	Y_20181208_15694_25_2g	Y_20181208_15694_26_12g	Y_20181208_15694_26_1g	Y_20181208_15694_26_3g	Y_20181208_15694_27_8g	Y_20181208_15694_28_1g	Y_20181208_15694_28_2g	Y_20181208_15694_3_10g	Y_20181208_15694_3_12g	Y_20181208_15694_3_14g	Y_20181208_15694_3_9g	Y_20181208_15694_4_6g	Y_20181208_15694_4_9g	Y_20181208_15694_5_8g	Y_20181208_15694_6_11g	Y_20181208_15694_6_15g	Y_20181208_15694_6_19g	Y_20181208_15694_6_5g	Y_20181208_15694_7_8g	Y_20181208_15694_7_9g	Y_20181208_15694_8_12g	Y_20181208_15694_8_1g	Y_20181208_15694_8_7g	Y_20181208_15694_8_9g	Y_20181208_15694_9_7g	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_4g	Y_20181208_15694b_2_5g	Y_20181208_15694b_3_1g	Y_20181208_15694b_6_6g
0	11056.1289	11816.4092	12173.3936	10945.2725	13478.3486	11295.7607	9634.5801	11223.6895	12040.6494	10157.7119	11342.4697	11207.2393	10677.168	12618.4209	12946.085	10540.9023	13496.4854	13421.7539	14571.5771	10303.3643	12720.8545	11826.6523	12353.4287	10441.1191	10547.2285	14253.7275	12363.5566	11229.7764	10398.7236	14731.0928	11864.7588	11197.8887	12737.9893	13332.3564	12174.6436	10698.3027	11283.2109	10727.3389	11760.999	13266.6641	11389.9775	10935.7529	11767.8916	10912.8154	12687.4688	10643.8076	12007.5557	11112.8994	9050.8965	13517.3838	10731.2188	12322.251	10460.4297
0.1334	11296.5723	12682.4355	12429.2383	11641.7637	16236.2939	13177.4043	10453.8008	11811.4756	12288.959	10772.6738	12471.666	12771.9395	10733.6104	13221.8848	13781.0078	11604.1318	13366.0908	14221.5928	14720.9268	11346.6025	13774.0439	12681.4854	11923.6846	10666.2178	10915.1768	15616.0039	12053.8428	12102.5645	11561.4434	15299.3535	11836.0713	11822.6582	13548.498	13610.4482	13459.665	12032.6436	11686.3838	10838.8564	13114.2168	14361.0664	11658.3848	10629.124	12431.4473	10715.8877	14413.0898	11567.3066	12020.6123	11050.4336	9445.0576	13597.1035	12063.5234	12718.0752	10960.1904
0.2668	13032.0371	14210.5674	13280.9033	11472.1895	16942.0371	15699.085	12206.7979	12523.5947	12843.668	10974.9658	13642.1494	13120.8633	10980.2275	14191.7695	16236.1436	12698.8994	13259.7051	15640.6826	16040.7021	11533.2998	14175.6475	13977.3604	11991.917	12500.7725	11537.7061	17991.3066	13562.5361	11782.9307	13895.4463	16952.8086	12317.3857	13565.0352	14751.2139	14954.6729	14414.5391	14790.8945	13397.0439	11572.4873	14862.9043	15935.8174	14126.6416	11311.7715	14867.6689	11202.6152	16199.5508	12513.2129	12707.5225	11441.5908	9512.208	13888.8311	12250.3496	13396.9561	11699.1465
0.4003	14857.1084	15862.0703	14038.1387	12463.2949	16370.7852	17073.5879	13872.2598	15874.9971	15756.9912	12403.165	14547.1807	14749.4561	12524.54	14526.0977	16050.0439	14383.7168	14411.1631	16937.9844	15986.6133	11692.1494	15623.876	13562.1826	13549.7656	13905.5898	11803.9434	17767.6738	16131.3184	11589.1533	14749.6143	17472.7695	13872.5957	14941.834	15943.541	18763.707	17171.5918	17523.8145	15950.5869	11465.7939	15245.1377	18017.3398	16231.541	12980.1621	17286.0684	12274.6357	18910.0664	14826.7607	14002.5283	11996.9551	10690.0264	17219.373	11929.4297	15251.1191	12692.1699
0.5337	16249.1846	20805.9375	15385.835	14840.041	15530.4639	15671.6172	14333.3789	18549.0391	18176.7754	13932.8145	16485.8516	17867.3594	14403.6309	15938.7217	15181.1904	14810.1211	15792.2041	16207.9307	16896.9512	12705.4717	16295.5234	13934.2109	14528.6172	13586.0469	13303.416	15977.0078	17506.0234	12405.1426	14951.9746	16719.3301	16204.1084	18234.3281	16150.5947	21300.4043	18136.707	16654.6934	17885.0664	12302.1816	14178.3037	16907.2852	17647.0781	15358.1768	18110.0938	14497.7598	18945.4219	14343.4014	14968.5068	13217.7754	12158.7568	17573.832	11784.5791	17012.7461	14283.6299
0.6671	15427.2939	21572.5273	16016.5205	16469.0117	14384.6104	13636.2568	13627.1475	16968.1445	17601.5117	13813.167	16728.7324	20431.7852	18206.5977	18252.7109	15162.3135	15278.7139	17965.2383	15316.8887	15859.4404	13781.832	16963.4531	13761.8359	17009.0449	13372.9229	14267.2637	15716.2246	16241.3291	14619.3086	14252.1621	16731.5078	18672.9863	19376.7344	16024.0977	21555.2617	17329.7949	15881.373	15490.6387	14425.7451	13034.1934	15897.0547	15902.1094	16196.8262	16055.9355	15113.3701	18432.0957	14712.9941	14998.8447	14573.9277	15474.2217	15181.1641	11071.2598	15805.5039	14443.4023
0.8005	15149.3418	21408.2793	15044.6621	15627.4238	14304.7783	13638.9863	13872.2324	14853.6074	16729.8652	13110.1982	15885.7061	20426.666	18635.7266	18678.6562	14309.9824	14903.459	18508.9355	14473.0742	16134.8584	12656.6064	16389.9434	13410.8008	16298.2812	12507.8184	15959.0801	15197.2559	14339.2686	15408.9111	14522.1436	16898.0625	18692.4766	18219.5977	14837.3027	19877.875	16102.6504	15506.6201	13900.793	16598.1445	12863.2109	15067.1836	14393.21	15034.9141	15307.625	15096.7402	16794.3672	15317.9238	13902.0498	15033.668	18004.8691	15038.4668	11061.9658	14787.1162	14516.1621
0.934	14667.4854	22550.4609	14902.5898	15736.2295	14880.8467	12242.2148	14121.6123	13712.5811	17291.1133	13171.917	13485.0264	20060.0195	16828.4102	17575.9258	13328.7998	14898.8125	17864.832	14560.123	14792.9736	11678.3584	14897.5312	12830.0625	14596.04	12513.4238	17202.916	14809.5293	14103.042	14628.501	14769.7627	15822.0264	16648.2988	17092.9121	13715.084	18475.9688	14788.6367	14514.042	13198.4326	17679.4199	12539.4365	15678.7422	14025.9707	14324.458	14945.2881	16339.6621	14733.584	15703.2383	13781.2822	16340.6787	17518.8047	14438.916	11435.0166	13194.3779	14332.5459
1.0674	13854.2734	21679.4531	14716.9473	14985.3701	16025.8789	12806.2549	14951.5439	14326.5518	16531.6602	12655.1064	13757.3271	19093.7773	15883.9238	16676.2676	13291.0781	15396.0732	17758.3398	14465.252	14958.251	12147.4521	15280.7695	13883.168	14174.0479	12306.7754	17093.0469	14885.8457	14098.4961	13791.9043	15254.8828	14476.1914	16123.0557	16073.499	14317.6602	17074.5176	13592.0986	14301.8789	14036.7061	18310.4844	12767.6865	15078.9043	14218.7871	14305.2422	14664.1064	15003.3535	14832.5977	15949.1895	13530.5146	15024.626	16669.4375	13048.4307	11268.6133	13396.3408	14334.0391
1.2008	13621.4873	19903.9922	15443.082	14323.8252	15785.0771	13322.6797	15048.7686	14619.4775	15231.6748	12756.0791	12835.7031	17539.8184	15707.1348	15579.6318	12497.1143	15026.999	17637.1875	14453.166	13798.8174	12434.3828	14671.7451	13748.2256	12744.2764	12805.1016	15006.0781	14681.4922	14337.25	14564.002	14303.876	14451.8184	15685.5742	15920.1348	13381.7715	16312.3701	13595.6777	13298.7256	13877.0967	18207.6543	13828.5508	15177.9053	13714.4521	14289.9502	15951.5547	15020.8428	14108.3584	15022.6855	13142.6465	14336.1572	16704.8945	13290.665	11439.8457	13596.5352	14007.2764
