x	Y_20181208_15794_20_1g	Y_20181208_15794_7_4g	Y_20181208_15794b_1_3g
0	27927.4727	28597.5527	27847.4082
0.1334	27505.5312	28064.1523	26401.9844
0.2668	27978.2578	28010.1719	26621.4043
0.4003	28258.8477	29060.0762	27398.5566
0.5337	29150.916	29705.8613	25925.3516
0.6671	29435.0059	29202.6719	26035.5859
0.8005	28198.7207	30872.8594	26929.5684
0.934	29687.5098	28700.9766	27893.5723
1.0674	30428.6328	29876.0176	27685.1328
1.2008	30073.9336	30815.0176	27036.5566
1.3342	30045.3926	30525.3848	27169.2441
1.4676	29795.3633	30424.0039	28894.1113
1.6011	31645.4785	30694.0723	29256.1738
1.7345	29935.6387	30626.0762	28964.2324
1.8679	30357.0625	31922.9844	28808.291
2.0013	30918.5293	30255.6289	29693.2246
2.1347	29511.3086	32793.0117	29510.4082
2.2682	29854.248	34662.7812	27833.4316
2.4016	30366.8848	38192.2148	28615.9043
2.535	31210.3516	44212.5312	29288.8086
2.6684	29608.7422	43017.8438	30815.4922
2.8019	29657.4727	37452.9062	31280.3477
2.9353	32433.8555	33856.5234	30173.9004
3.0687	35230.3438	29955.2246	31844.6758
3.2021	46299.5977	28767.1387	36003.6719
3.3355	64593.1055	29139.6289	42011.1367
3.469	74880.5547	29804.8242	44048.3516
3.6024	57599.6484	28557.2637	37413.0352
3.7358	40220.0195	NaN	32370.4902
3.8692	33295.7773	NaN	29332
4.0027	31127.3438	NaN	NaN
4.1361	NaN	NaN	NaN
4.2695	NaN	NaN	NaN
4.4029	NaN	NaN	NaN
4.5363	NaN	NaN	NaN
4.6698	NaN	NaN	NaN
4.8032	NaN	NaN	NaN
4.9366	NaN	NaN	NaN
5.07	NaN	NaN	NaN
