x	Y_20181208_15692_30_12g	Y_20181208_15692_30_1g	Y_20181208_15692_30_4g	Y_20181208_15692_30_5g	Y_20181208_15692_31_13g	Y_20181208_15692_31_16g	Y_20181208_15692_31_18g	Y_20181208_15692_31_9g	Y_20181208_15692_32_11g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_34_7g	Y_20181208_15692_34_8g	Y_20181208_15692_34_9g	Y_20181208_15692_36_10g	Y_20181208_15692_36_5g	Y_20181208_15692_37_9g	Y_20181208_15692_38_14g	Y_20181208_15692_38_15g	Y_20181208_15692_38_1g	Y_20181208_15692_38_3g	Y_20181208_15692_38_4g	Y_20181208_15692_38_7g	Y_20181208_15692_38_8g	Y_20181208_15692_39_12g	Y_20181208_15692_39_13g	Y_20181208_15692_39_4g	Y_20181208_15692_39_5g	Y_20181208_15692_40_15g	Y_20181208_15692_40_5g	Y_20181208_15692_40_7g	Y_20181208_15692_41_8g	Y_20181208_15692_42_12g	Y_20181208_15692_42_15g	Y_20181208_15692_42_4g	Y_20181208_15692_42_6g	Y_20181208_15692_43_11g	Y_20181208_15692_43_14g	Y_20181208_15692_43_19g	Y_20181208_15692_43_5g	Y_20181208_15692_44_12g	Y_20181208_15692_44_8g	Y_20181208_15692_45_14g	Y_20181208_15692_45_4g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_46_12g	Y_20181208_15692_47_3g	Y_20181208_15692_47_4g	Y_20181208_15692_6_12g	Y_20181208_15692_6_1g	Y_20181208_15692_6_2g	Y_20181208_15692_7_13g	Y_20181208_15692_7_8g	Y_20181208_15692_8_5g	Y_20181208_15692b_1_2g	Y_20181208_15692b_1_5g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_24g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_9g	Y_20181208_15692b_14_3g	Y_20181208_15692b_15_3g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_2g	Y_20181208_15692b_16_9g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_3g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_7g	Y_20181208_15692b_7_3g	Y_20181208_15692b_8_8g
0	12260.6133	11531.6875	14333.5654	12955.3682	11436.1172	11602.4121	11938.7373	11732.7646	11507.6895	11982.4707	11288.1816	9635.3594	12219.8857	13515.8115	12845.3789	11894.666	12837.1475	10915.8555	12302.6816	12715.3496	11444.1338	14359.9395	12919.8379	10935.4951	10767.1885	11283.8838	12587.5918	10698.2803	10220.7754	13192.0693	12052.6387	14108.416	10862.8633	12039.748	12532.4082	11906.8545	11784.0488	11296.9111	10136.1494	12264.8711	10569.4443	12206.4434	12215.7227	14555.4629	10912.5977	11222.333	12084.6201	12494.6738	12923.6143	11380.7471	10671.9707	12311.4883	11438.916	11085.7314	14659.5488	10255.5361	10688.0186	11381.6279	10623.7451	11333.249	10856.2793	15081.4756	12843.3936	12878.4492	12073.168	11381.5889	12725.7822	12497.2197	12068.7148	14491.2061	10286.8564	11680.3926	9091.2256	11216.0195	11484.2051	12954.2676	11497.582	13860.7959	12989.2559	11283.5166	12041.2373	13727.4873	12378.4658	13060.7598	9776.8799
0.1334	13594.3496	12101.1367	14074.7188	12867.3418	10844.4111	13136.7295	11718.9131	11285.3945	10669.2939	12279.0283	12998.3066	10695.0205	13496.6436	13616.0352	14522.5635	12522.4131	14983.3818	10590.333	13564.3418	13760.8311	11498.2734	15240.2383	13407.8193	10803.834	11433.6875	11863.8574	13143.8428	10696.4854	10663.8926	14036.7656	13285.6436	17218.1465	11956.5771	11985.1094	11681.0293	11967.1162	12271.2236	12099.8896	11392.001	12217.3506	11223.2617	12783.8799	12541.5566	15682.7812	11100.0293	11242.7871	12480.2959	12541.6475	12940.9268	12944.7432	10353.7393	13408.126	12026.9355	11513.5508	16399.3828	11081.1494	11437.3096	11352.9746	11592.2891	12442.9102	11294.2666	17310.1035	12730.9395	15201.1025	12660.1104	13078.4121	12573.1543	11466.1387	11982.6611	14121.4922	11301.9307	11708.3984	9628.7412	10585.3457	11478.6533	12946.4307	11356.7461	13793.793	14924.8711	11815.8379	11930.0908	15465.7568	11950.9619	14595.8369	11341.7402
0.2668	16741.3809	12438.3477	14255.1025	14569.6572	10759.0312	15858.4961	12460.7695	10964.9121	11356.8975	14171.2832	15521.5918	11927.4219	14462.6094	13454.5381	16181.7607	13700.5625	17849.3418	10924.5801	18079.6699	15304.2012	12639.9336	17297.1191	15033.0674	12592.7988	12444.3398	13739.9355	14609.9619	10927.8398	12403.502	14832.3242	15130.9277	20752.0352	14279.4375	11702.2881	11895.1797	11866.3057	13119.2881	14391.3838	13456.8857	13200.998	11799.8115	12777.2422	12705.9404	14524.3418	11853.5137	12037.0117	13460.2246	13143.2959	13818.5088	14583.4854	10815.4385	13697.667	13904.9307	11572.3486	19385.125	11533.9346	13058.9209	11633.707	13016.2305	14552.8076	12469.4443	17733.2051	14636.9678	18220.3379	15497.2275	15681.3408	12825.6895	12176.9326	13383.5605	15367.8496	12740.208	12164.3291	10607.4336	11400.2148	12060.4023	13276.1641	11525.8379	14621.374	17316.3906	12930.8486	11808.2852	16274.7881	12492.5273	15301.6699	13737.3105
0.4003	21197.5977	14101.8047	14038.4678	15813.1621	10934.9404	16448.0254	12585.8018	12202.0938	11342.4814	16828.0137	17155.1562	15036.6758	14873.8174	13376.3516	15832.4512	13738.1035	18213.4062	12771.7617	18652.1641	14542.7461	13627.4609	19997.9453	17612.9824	13935.3701	13458.0352	16696.9258	15805.1445	12319.9326	13456.4404	17215.6973	16769.7871	19397.1562	14663.2422	12839.4736	13183.5146	13146.6973	14605.5488	18164.2324	15380.6523	13985.8369	14225.2812	13369.2998	14321.3486	12964.7529	13291.2891	13014.582	18177.8926	13760.5986	15514.9668	16669.9863	11919.8164	16836.3223	16167.3691	11742.2578	21859.9727	12737.7227	17075.6855	13702.1104	14609.8877	20828.668	14129.249	15499.1279	16535.6289	16662.9512	19601.4883	16481.9863	14442.7822	12870.5918	16887.1426	15977.417	13990.6064	12763.6553	11356.251	11646.167	14547.7422	15266.8779	11749.5938	16190.0117	17556.9199	16817.8926	12801.6475	14878.9707	14295.8936	14678.7246	15571.0723
0.5337	22328.8438	17406.1582	13912.3721	16095.1016	12166.7402	15379.9717	13176.5674	13878.9805	12196.083	17854.4395	16022.1865	18360.2402	15823.6621	13815.582	14673.3125	12852.6318	16530.3809	14139.7832	19253.6211	13521.9473	13309.2568	17493.8281	19036.1562	15736.707	14322.1738	17002.3066	15473.4473	14193.001	13969.2119	17736.6445	17624.6719	16830.0234	13784.6572	14418.54	13816.7568	13401.085	16923.7969	22084.8711	15735.5127	16775.9277	18065.0664	14185.002	15030.4893	13945.3027	14271.3408	13641.667	17100.3613	15576.9551	16976.6504	15340.3096	13147.8359	20783.6133	16607.8633	13650.1895	19735.7188	13847.0098	23122.1016	14186.624	16413.9277	26268.9648	14843.5771	14587.7588	19483.8281	13465.2783	20218.9375	15363.0908	14398.3818	12256.1963	19222.4727	19569.3105	18520.7695	14105.2881	14782.71	14575.8984	15292.7031	17511.2246	13749.7529	21339.002	15652.2178	19584.4082	13988.1211	13599.2363	16059.0801	13617.8926	15445.9258
0.6671	20394.2676	16906.498	14078.4365	14524.3613	14152.4707	13327.6396	14092.916	14245.3408	15058.2715	15722.2002	14843.6904	17481.2578	16144.9883	15366.1611	13722.5674	12191.9229	14664.5312	13930.3594	15774.71	13744.6562	12088.3496	15111.79	16447.3945	15093.0762	13881.1787	16439.584	14692.7373	14606.4609	13518.3232	17709.9062	15460.0684	14355.3232	13396.5723	15572.5791	14405.5098	15925.6816	18993.2949	23391.5898	15164.1602	18081.7969	18977.0527	17597.1719	15258.9033	14147.6152	16265.3457	14188.8701	16346.4355	16842.2891	14745.0322	14424.2979	15214.0225	21878.4297	14096.7041	14282.2178	17305.2168	14788.3525	24198.2344	14162.8682	15514.2158	24366.4082	14070.6133	13735.5898	17302.918	12047.0254	15586.332	13888.7402	13401.3154	12807.5283	17870.082	21095.0781	20708.6875	16877.5215	18468.1738	16865.5117	14906.9238	17284.1504	15875.2744	21744.2441	14481.6543	19726.1328	13937.7168	12322.3984	17626.9473	14203.1484	14423.2422
0.8005	18166.0273	17076.7031	14225.7539	13871.4121	14579.1396	12191.6523	15128.8262	13967.2236	17624.9805	14015.1289	14680.3975	16374.3682	15461.043	18792.3066	13592.5723	12009.2471	15130.6982	13412.3525	15699.748	13752.1426	11960.2842	14831.5566	14565.54	14633.5576	13059.3379	16178.1602	12992.8193	13706.8975	13359.5654	16474.0547	14338.1113	13206.1445	12748.9141	15398.7686	13447.9795	19154.1992	17853.3105	21305.1328	16709.1562	16361.1553	17768.9668	19618.2188	14639.9199	13633.4971	16636.4863	14011.1426	15544.5664	17503.4492	13962.9033	15233.4277	15378.291	22127.4941	12189.7871	14170.2334	15626.04	15100.8564	22376.0234	14120.04	15094.6465	19932.5352	13449.5332	13733.5283	15173.2344	12485.2715	13607.7148	13751.4297	12776.4258	13907.4238	15307.2793	19492.0078	23041.6797	19755.8027	18373.293	19160.1348	13633.0576	15257.9619	16712.8105	21041.793	15045.3145	16620.5352	13160.0332	12231.1084	18338.7207	13045.5654	13417.1875
0.934	16467.5137	16575.1016	15293.7246	14489.9189	12821.4443	11857.4229	16102.5488	13432.0537	15023.9238	13363.75	14965.0459	15417.1162	14281.9668	21264.0527	14064.3428	12178.9844	14848.9287	13452.0078	15389.9443	12062.6904	12240.7637	14103.9131	13525.8682	14938.8691	13249.3369	16298.4277	12499.8457	13443.958	13074.9941	14237.2686	12173.874	11833.2031	11964.96	14322.248	13679.9395	17256.5625	15148.2275	19456.2676	17043.834	14393.9658	13651.7197	18893.6992	13181.9844	13705.6777	15489.3916	14719.5859	17078.8164	17705.4434	13054.7344	16968.0488	14950.123	19877.0898	11677.2842	14624.8857	14546.9238	15110.8184	19339.5723	14409.9258	15007.3887	18177.1914	12909.6904	13682.8154	14442.5391	12281.5674	13907.5381	14034.8506	12676.0459	14813.6426	15262.5039	16432.5371	22145.707	19907.3633	15763.3281	17763.5684	13207.8242	15016.9023	15160.4209	18830.6523	15034.3945	14452.6357	13324.5498	12263.4834	17110.2266	12858.626	12822.2793
1.0674	16121.1387	17273.1465	17244.418	14496.2344	12299.2227	11279.3438	16922.6621	13970.5957	12919.3789	12525.2061	14880.2754	14369.7979	13492.9277	20980.416	14593.5098	12320.3525	14722.8916	13608.3545	14385.1982	12727.7305	13392.1416	12971.3496	15049.0547	14347.4277	13456.2422	14316.6104	12386.2041	13042.0996	13160.4219	13403.5615	12123.8799	11279.5801	12347.2959	14654.5293	13337.001	16257.2041	14956.7148	17204.8516	16299.0986	12555.8262	13431.8564	17898.6484	12337.0928	12673.1211	14187.3652	14566.6201	15974.7266	15922.8018	12942.8223	17172.2012	14740.7158	18764.0195	11651.6348	14926.6475	14102.4336	15971.1914	18678.6094	14720.3252	14721.4492	15798.8604	13560.7451	12492.5215	14209.4775	11720.7227	14091.9551	13124.0244	12266.2158	17136.0742	15289.0283	14221.3516	19246.4043	16911.5957	14766.8457	15456.8955	12452.0059	14456.9814	13441.3262	17655.4062	13402.4473	14297.7031	14057.7842	11507.5244	16224.7002	12964.9121	12474.7334
1.2008	15194.6865	16292.3584	17149.9141	13396.8848	12019.1162	10414.4209	16500.0859	15736.625	13216.4355	12231.8721	15409.7744	14861.4639	13274.8799	18782.0547	14001.4844	12931.0371	14250.1406	13253.5596	13339.4316	13162.4238	13621.4795	12075.4727	17226.6426	14131.9062	12995.2646	13672.9365	12301.6709	13280.7783	12890.8311	13582.3525	12792.793	10769.1748	13349.6572	15477.5879	12431.041	16714.252	16083.4258	16019.7744	16061.5039	12027.165	13649.7158	15165.0488	11703.7744	12439.2275	14663.043	14214.9023	15904.0625	15966.4688	13096.7939	17053.207	14036.4326	16291.8096	12083.3057	15326.4951	13128.7871	17285.9062	18023.7559	14166.9482	14464.4033	14745.9531	13939.3184	11462.3105	14438.5088	11463.6914	15001.8125	12450.0625	12250.3877	16720.0469	14854.457	12565.2969	16757.5938	15723.6104	13752.7988	14998.1895	12482.9023	15340.8232	13139.0518	16812.1113	13130.292	14182.6211	14773.4658	11635.791	16458.373	12424.626	12428.1641
1.3342	14233.8594	14750.5859	16905.2188	13104.6699	11985.1924	10120.3887	15045.3906	15640.4492	12205.291	11899.3877	14966.3359	14634.7051	13357.0234	18096.3672	14030.3857	11442.2217	13282.6201	12121.2578	12583.0986	12989.2422	13669.0703	12800.5723	17123.168	14150.6201	12703.2119	12724.4629	11074.6533	12395.3428	11729.5273	12523.7051	11431.5596	10587.3652	12573.9678	15293.3828	11438.0654	16753.5625	16148.0801	15052.624	16012.6475	11404.5938	13667.3682	14450.5967	11542.6543	11999.6865	15202.3477	13346.4922	13487.3369	16254.1045	12714.6982	15495.7676	15433.5117	16100.4385	12774.6758	15024.0166	13660.1562	15709.7275	16577.9941	14583.1074	13862.7227	15211.4189	13313.3477	11099.9395	14063.2021	11631.1094	17340.1758	12483.0889	12188	16303.3096	14320.2822	12415.4746	14810.6943	15253.2129	12941.1689	14415.5664	13333.3828	15868.9316	13724.3604	16647.1738	12493.748	14087.4395	14494.7236	11681.0713	16781.7852	12906.8633	12102.8164
1.4676	13259.9287	13464.8281	16496.4766	13037.5488	11929.4805	10208.9873	14466.1816	15030.8633	13095.2363	12186.3389	14596.4033	13847.498	13672.5303	16855.7402	12693.4414	11540.3838	12616.2119	11816.2051	12580.1943	12597.1387	13907.7002	13039.6572	15481.7383	13418.1885	12367.9072	12453.5898	11118.8613	11759.5205	11486.2959	11472.8066	12091.7822	11708.584	12728.7861	14009.1475	10653.2373	15410.1025	17097.4102	14022.7041	14245.252	11386.748	14053.6855	13825.5898	11827.1699	12666.0146	14676.9609	12664.459	12987.6064	16426.6406	12831.1182	14251.1465	15218.124	15733.0371	11731.3672	13954.7383	13479.9307	16397.5996	14465.1357	14991.8223	13529.0166	15123.415	12008.7305	11214.8604	13309.2793	11283.8564	16545.3691	12630.1133	12295.0029	15423.6182	13053.3467	11852.0049	13652.3955	13949.0371	12973.4736	14585.6074	13657.748	13904.125	14011.3184	14222.6123	11958.418	14167.3467	13168.1211	11605.2334	15646.7705	12107.5107	12153.5127
