x	Y_20181208_15692_37_2g	Y_20181208_15692_43_15g
0	26105.6641	26687.7207
0.1334	27065.2637	26815.8418
0.2668	26128.4414	28221.3086
0.4003	26541.1699	28285.0938
0.5337	27665.5039	28555.0977
0.6671	26275.877	28895.9922
0.8005	27235.2207	29908.8633
0.934	27194.3457	28650.9375
1.0674	27326.2773	28582.6895
1.2008	27882.8223	29447.9453
1.3342	27966.0645	30262.3848
1.4676	28493.4082	29452.4102
1.6011	28569.7539	29656.4062
1.7345	29212.668	29885.3555
1.8679	28665.8945	29487.9297
2.0013	28766.3828	30260.6191
2.1347	28693.9629	30167.1992
2.2682	28222.8125	31679.0703
2.4016	27760.0977	30144.6973
2.535	28022.166	31895.6191
2.6684	27922.3184	31944.5215
2.8019	28593.4941	30393.6504
2.9353	28653.3887	29536.4121
3.0687	27388.0566	28992.793
3.2021	29049.9062	29055.2949
3.3355	32941.7734	30546.9062
3.469	40124.332	29712.4453
3.6024	47990.4609	32746.3906
3.7358	46266.5312	40094.1211
3.8692	38425.6914	42963.5117
4.0027	32540.7109	39253.8789
4.1361	28434.6406	33613.1172
4.2695	27346.1328	36761.043
4.4029	27253.0527	NaN
4.5363	26352.7949	NaN
4.6698	NaN	NaN
