x	Y_20181208_15693_1_1g	Y_20181208_15693_10_10g	Y_20181208_15693_13_5g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_2_1g	Y_20181208_15693_20_7g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_7g	Y_20181208_15693b_8_11g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
0	9312.2725	10400.3389	9954.3223	12379.3857	11347.2002	12160.6865	12521.2119	9600.667	12555.5254	11655.8682	10500.4502	9704.1729	10373.3994	10153.2744	12823.4824	9791.3066	9015.2578	11968.541	12088.6787	10962.0996	14368.8467	10527.0615	12064.8408	11014.9912	12222.1787
0.1334	9543.1865	10838.3691	10834.8369	12709.4521	11568.6191	12588.0439	13286.5439	9394.7969	12741.2363	11505.5264	11527.6025	10731.3711	11574.6484	10221.4521	14007.7607	9485.1318	10534.0293	13827.4922	12936.0615	11823.1611	14183.7227	12005.0576	11200.6348	11680.2139	12267.167
0.2668	10081.6816	11714.9365	11630.9814	13356.7363	11689.1201	13433.1104	13656.6729	10079.2959	14211.0586	12464.6924	12134.0068	12492.5312	12733.9844	10857.8164	15201.458	9795.29	11876.3242	15853.9395	14043.7881	12830.8604	15162.5391	14329.0088	12239.8633	12992.1152	12315.0635
0.4003	11939.9434	11853.7188	13086.7861	15722.6445	12680.6406	15966.2197	14552.3252	11022.5449	14292.7754	13548.7461	13206.8545	15021.125	16261.4121	12234.0869	17415.3281	10854.9814	13760.0977	17952.6641	16267.3721	15091.2422	16647.9023	16245.3369	12908.7139	14683.3701	13288.7207
0.5337	12945.9697	11911.0137	13251.5918	18837.4473	14559.1592	18414.0078	15667.3574	13710.2354	12792.7305	14281.3145	14979.542	17155.1055	20850.832	15250.6387	17915.4121	12894.9014	12307.541	17555.2637	14918.2939	15999.6074	16961.1836	15022.791	13281.1221	14400.8838	17180.3145
0.6671	12406.5615	13213.0264	12591.8164	19707.1094	17720.709	18662.709	15506.4639	15780.1934	12193.4463	14644.2646	14141.8887	18840.9082	21591.5645	17052.0996	16142.2822	14177.3955	11640.9512	15292.3457	14995.9004	16974.0312	14712.1338	14564.8867	15499.4609	13783.8086	20156.8418
0.8005	12058.0508	14311.4121	13128.127	16824.4062	16940.0312	16755.9414	16063.8027	16314.3242	12456.6172	13552.291	13222.418	17272.7422	20926.5312	17542.7891	16097.0547	16102.9316	11932.2031	13360.1748	15171.2871	16982.6562	13418.3799	14023.3037	14190.1592	12812.0518	21282.4102
0.934	11298.5439	15246.6367	13058.0615	14366.9941	15576.7197	14547.5723	15738.8848	14726.6787	12686.957	13798.0215	12309.1279	16180.834	20035.8828	15551.3594	15080.4424	16180.9482	11710.9043	13266.8555	13555.1621	16397.8047	12542.2871	13826.9287	12656.8867	12309.5654	18210.543
1.0674	11948.9443	16593.8789	13797.2998	13003.8086	13625.5117	12949.6738	14824.415	14434.9746	13197.29	13046.0557	11504.1943	14569.1465	22901.0234	15109.7158	14995.6523	16526.1719	12413.2666	13956.751	13926.8701	16958.2324	13072.8291	14612.623	11868.5938	12384.2803	16957.8281
1.2008	11044.1777	15960.3789	13401.4736	12360.1406	13049.7461	12996.5576	14568.248	14603.7412	14274.5352	13589.1533	11812.1064	14901.5234	23534.3008	15716.1396	13403.3584	16298.3418	11607.6934	12623.7422	13382.2383	15782.4336	12877.9854	14208.6748	12001.835	12424.7266	14515.9482
1.3342	11431.9062	16172.0215	13119.876	12751.3115	12961.7646	13115.582	15574.75	13621.1094	14189.8555	15326.3027	11149.4893	13588.3994	21434.0078	16938.7852	13504.2656	16836.6309	12948.832	13082.8125	12912.6055	15185.9219	13023.332	13689.2881	11845.2754	12892.5586	13831.543
1.4676	11238.1357	15109.9229	12607.6143	12179.3281	12677.25	13676.0049	14903.3184	13605.0811	14116.6484	15645.6484	11193.0088	13840.8486	19410.0723	16450.3887	12161.1543	16067.1973	13038.5625	12764.124	12688.2236	14287.6523	12534.4355	13299.5518	12323.9678	12196.5244	12972.3438
1.6011	10575.3457	15124.7451	12408.1377	11594.4766	12395.1523	14516.6523	15165.2256	11780.6416	13605.4434	12942.8516	11000.7197	13384.6895	17088.6445	14768.457	11486.4375	15462.7646	12983.0664	12593.5908	13167.4873	14131.2568	12540.79	12907.5439	11847.4912	11730.9219	12860.3672
1.7345	11160.6064	14265.4746	12845.6152	11326.0068	12090.458	13890.6992	13766.249	11712.2598	13775.6055	13882.7705	11078.7314	13025.2695	15417.2422	13130.8232	11352.9785	14326.9756	11943.7178	12708.3311	12883.8857	13282.7305	12902.8105	12804.0312	12014.6357	11632.3857	12614.9551
1.8679	10985.8447	13232.001	13216.4961	10890.2832	12713.9795	12962.3682	14262.2559	11896.584	13878.3174	13444.2656	10456.0322	12916.209	14704.6758	12450.4531	11499.4736	14262.0215	12623.1445	12539	12271.6426	13013.6826	12990.3574	12283.0674	12246.3359	11997.7217	12800.8057
2.0013	10504.3564	13621.1367	13943.582	10771.0283	12669.8145	11810.3936	13623.4766	11887.5098	13549.9131	13887.6416	10261.0938	12335.209	13764.291	12049.9521	11530.9951	13807.3594	12246.3193	NaN	11517.3691	12079.4473	12778.7852	12460.0723	12496.9072	NaN	11656.4502
2.1347	10351.2588	12714.4648	15180.9043	10529.9258	12421.1406	11754.2705	13871.373	11899.9365	NaN	13119.5703	10522.2969	11805.7393	13481.4521	11934.1689	11383.582	13081.1807	NaN	NaN	10818.1865	11656.4561	13224.5342	12733.5986	12077.4258	NaN	NaN
2.2682	10303.3955	13012.1709	14808.9199	9855.2871	12269.2422	NaN	14208.793	NaN	NaN	13675.3711	10916.9463	11495.9795	13473.2256	11714.3936	11703.0342	12082.874	NaN	NaN	NaN	11659.2705	NaN	NaN	12659.6787	NaN	NaN
2.4016	NaN	12714.043	13805.0967	10159.2393	11965.3467	NaN	13617.7578	NaN	NaN	13759.7207	NaN	NaN	NaN	11419.5322	11753.4229	11469.6865	NaN	NaN	NaN	12019.6357	NaN	NaN	12428.917	NaN	NaN
2.535	NaN	11988.1885	13072.7422	NaN	NaN	NaN	NaN	NaN	NaN	14313.8135	NaN	NaN	NaN	11153.374	11465.2998	11495.9297	NaN	NaN	NaN	12088.3555	NaN	NaN	12798.2002	NaN	NaN
2.6684	NaN	12139.2334	13244.5586	NaN	NaN	NaN	NaN	NaN	NaN	13550.3418	NaN	NaN	NaN	10892.9043	NaN	11664.8594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	11876.4893	12853.8525	NaN	NaN	NaN	NaN	NaN	NaN	13180.2314	NaN	NaN	NaN	11522.7959	NaN	11267.6963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	11865.7744	NaN	NaN	NaN	NaN	NaN	NaN	12529.8799	NaN	NaN	NaN	NaN	NaN	11546.6807	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	11573.3232	NaN	NaN	NaN	NaN	NaN	NaN	11713.3711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	11578.166	NaN	NaN	NaN	NaN	NaN	NaN	11174.4258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	12165.6982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	13003.291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	13172.6855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	12328.9648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	11830.959	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	11466.8994	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	10364.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	9995.8672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	9926.1416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
