x	Y_20181208_15693_1_1g	Y_20181208_15693_10_10g	Y_20181208_15693_13_5g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_2_1g	Y_20181208_15693_20_7g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_7g	Y_20181208_15693b_8_11g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
0	26770.8242	32972.1094	28536.7305	31948.4102	29836.4941	26535.6719	30960.8164	31991.248	31368.9043	26555.0918	27263.9297	29105.2969	28484.8906	30972.7598	28010.9551	25000.0488	28725.291	31116.1445	28209.9297	30285.123	33423.6641	28304.1133	31796.9512	30246.9629	28939.9746
0.1334	26752.9746	31276.2949	29069.3574	31380.7676	30309.7812	26291.3301	31907.3008	31974.5859	31104.2695	27422.25	28374.5547	29409.5273	29864.375	31185.3535	27268.2461	23914.0117	29367.7598	30189.3828	28646.6133	30486.2578	33720.3438	29888.3652	32128.8477	29666.8398	28003.0488
0.2668	25801.3047	33074.1953	28470.4648	30559.5645	30733.4688	26881.8105	32191.1367	31348.2598	31513.8652	27078.3496	28361.1172	30576.9727	31697.2305	31286.2559	27579.0391	23840.8828	30637.1094	30528.377	29072.6992	27941.9727	34781.2266	30175.1367	33083.9492	30114.2949	27497.1602
0.4003	27181.8828	32119.877	29602.4395	31735.627	31973.3496	25637.9238	30996.7441	31553.8086	31185.4805	27027.1133	28515.7324	30578.8848	29521.8438	29961.791	28156.1523	24732.7266	28197.7852	32750.6387	28905.7461	28609.459	33494.707	29093.1055	32897.8516	28664.3848	29313.7969
0.5337	26652.1016	32956.7188	31454.1133	32279.6309	31783.8027	26077.7676	32081.9727	32317.2266	30674.8066	26414.7559	29569.9395	32613.2891	30319.1367	31545.1348	29826.9453	25039.3574	31701.0469	32309.418	28086.459	28700.0254	33607.8438	30350.0586	32015.0684	29014.5859	29205.3652
0.6671	26080.7188	33295.8672	30506.9609	32804.5352	31435.8242	26716.2305	31652.5938	31709.4844	31257.7324	27325.834	28410.9766	30777.5898	29862.3789	31221.0449	29212.6133	24201.959	31151.7578	32245.4707	29707.498	30134.8164	33373.1836	29849.7695	31797.7656	29033.7812	29504.1406
0.8005	28311.3633	32959.2539	30736.3809	33395.3203	32228.7891	26617.4902	32178.6523	30240.0684	32146.3418	28198.3555	29450.6484	31756.752	30977.5938	31878.623	29926.4922	24161.1562	32510.0918	32996.7188	30990.8887	30844.8066	33522.4141	30891.4355	32047.9727	30110.291	29619.6309
0.934	27682.8535	34215.9922	30751.0977	34200.0273	33233.6172	26926.7852	33633.5977	29866.4082	32153.9629	25840.9746	29296.1875	32527.7539	30851.3809	32449.209	31951.6816	25490.9141	33060.2617	33548.9883	33321.0703	31026.9668	31328.9277	34854.2656	32925.9883	31796.5508	29029.8203
1.0674	29174.5449	34398.4102	30947.6875	34990.457	32620.6816	27907.207	33613.3633	31468.0977	32798.1562	28584.2695	31210.2012	32811.8125	30704.7773	32938.4531	31421.8633	25522.6641	36506.5078	35704.2539	36608.4102	30914.3145	33884.3828	38687.5	33435.2969	34592.0625	29240.0957
1.2008	32305.8242	34100.0938	32294.1875	36682.1953	32768.8359	28682.7363	34663.8438	35066.3477	36056.4766	26655.1719	33580.7344	31702.3418	33327.2461	32956.6719	37432.7812	26052.6211	43713.043	43806.0859	45505.0586	30349.998	34591.8359	47436.8047	33970.957	46164.8828	31689.0488
1.3342	40150.9648	33801.9766	30289.9473	43494.3867	35530.3438	34462.1016	39159.168	36514.9609	38987.332	26483.0918	38960.625	33830.5977	33896.2227	34829.1172	46547.8086	26570.5527	60605.168	61179.6953	62372.3398	32193.2891	35742.8828	73623.2969	34659.6641	61392.7656	34694.3594
1.4676	57052.6719	32946.9922	31047.3066	59830.7344	40430.582	50403.5	48813.1211	43491.1523	42857.4414	27642.8457	53557.375	38376.7969	36512.5938	39872.4961	68632.125	25976.2949	80704.9609	73762.9297	68014.7109	33055.4219	40469.6602	88211.8672	43653.375	64917.1562	42748.7656
1.6011	67619.4531	37022.7891	32788.8633	82942.5391	51699.7578	74251.6406	55388.332	56521.7305	41421.3867	28454.4414	66292.875	49404.75	42919.1406	50077.9727	85291.5859	27870.9023	67864.1875	61110.2891	53098.1523	35134.1055	49203.3711	72823.3828	54905.7734	50186.6992	41471.8398
1.7345	58082.3633	37910.4375	31884.6543	83959.5469	58375.4688	82598.3594	50759.5859	80119.6406	37029.1758	30436.3945	61900.0469	55607.6328	44008.6172	75166.9219	67977.8438	31749.6348	49985.9492	48501.9648	40198.3828	42915.3086	48338.125	49958.1133	63564.7773	37952.3242	34448.3125
1.8679	39512.7461	42022.1562	31927.5957	60038.5664	49961.7227	61715.3945	39369.043	92265.4219	34303.4258	29605.8516	46955.2656	49420.2891	38920.9336	91690.4219	52980.9375	40316.6094	40880.832	48741.3984	33851.9141	55032.3672	41435.9141	39274.1484	49074.5781	34076.5234	34947.875
2.0013	31708.9785	51434.4688	31083.4102	40848.1875	39663.4258	42379.6602	35558.9844	71917.875	34593.2227	31092.6367	38384.8125	42894.4414	36395.9336	75858.8359	46244.75	54168.5742	43184.4297	NaN	31771.291	54093.8672	38092.25	36073.7305	38052.375	NaN	31757.457
2.1347	30111.7539	61263.7344	32370.3848	33728.7852	35679.957	37972.3516	32602.5273	56686.7031	NaN	35631.3984	33748.1641	39007.1172	33156.1523	53522.5938	36467.0156	63458.6562	NaN	NaN	30411.7773	43414.5	38249.4766	32787.3008	36026.3672	NaN	NaN
