x	Y_20181208_15693_10_11g	Y_20181208_15693_12_8g	Y_20181208_15693_15_3g	Y_20181208_15693_17_5g	Y_20181208_15693_5_15g	Y_20181208_15693b_1_13g	Y_20181208_15693b_2_13g	Y_20181208_15693b_6_4g	Y_20181208_15693b_7_3g
0	30029.0273	26450.5215	29006.5039	30592.4199	27346.084	31920.5293	33600.6602	30062.123	27594.9258
0.1334	30764.2109	28648.3184	28950.4375	31348.3945	26443.5527	31236.293	33326.0781	28752.0625	27475.957
0.2668	31293.9785	27937.2969	28791.4941	31048.3906	26317.9102	31510.8809	34779.4336	29223.1758	27991.7266
0.4003	32119.9238	26994.1953	28375.9766	31271.9844	27412.502	32271.834	35078.1719	30767.8184	26843.377
0.5337	32216.5488	27444.8594	27336.4453	31607.8262	27811.2812	33538.6484	34306.2422	29781.1758	26813.8027
0.6671	33337.5469	27986.6953	28921.875	32176.9395	28289.0664	32590.9512	34557.4297	31187.4551	27520.1582
0.8005	31943.2637	28706.627	29326.3066	34744.5781	26796.9668	32889.3633	35149.9766	31483.1973	26728.7461
0.934	33472.7969	29722.2656	28344.6504	34820.0352	28572.7109	33890.2422	34870.9609	31986.5801	27132.332
1.0674	30787.7676	28674.4355	31451.916	32655.3672	28931.5879	31695.8125	34652.625	31049.0312	27403.8477
1.2008	32475.082	28133.918	32196.6426	32792.6523	28720.6367	32641.2578	33960.1836	32363.1426	28587.5
1.3342	32404.832	28828.8125	31136.3984	34269.0352	29901.7715	33881.8477	33347.8398	30607.4883	28578.9551
1.4676	34376.5352	29987.6914	29864.4238	33390.957	28049.2871	34367.9453	34206.3047	32989.1289	26881.9766
1.6011	34249.0859	30177.5996	30194.2891	32924.5977	28330.0293	33763.9023	33876.0508	32029.082	27492.5879
1.7345	34255.8203	28481.3418	30800.0586	33832.8438	27369.6445	32482.3828	34009.6055	31779.5723	26804.3105
1.8679	33655.457	29007.6504	30309.1973	32510.7891	29359.2793	32978.9297	33336.0547	31898.6953	27580.5938
2.0013	32773.8516	28511.5977	30037.5469	32807.7812	29513.3242	32326.6367	32925.5664	29794.5938	28735.9395
2.1347	32696.7129	28008.1777	30471.375	33857.7031	29188.6504	33403.2656	32577.2656	31612.9531	27849.3398
2.2682	33848.7266	28542.3086	33197.4062	34784.5625	29075.6914	35132.1289	32226.1992	31524.7832	29369.7344
2.4016	34547.3594	30054.3398	38615	37119.2188	28268.3652	33788.2812	31110.9004	33786.8984	35283.0664
2.535	33064.5508	29275.2109	47889.9336	44471.7812	28753.0566	34552.0664	31830.5566	38089.582	47670.0508
2.6684	34134.293	30467.6855	60414.918	54982.4609	29427.8867	36255.0898	34350.0391	46884.4648	61753.2891
2.8019	38683.3945	32416.9727	53232.5312	73695.4062	29812.4824	42123.2695	35044.875	65751.6875	63861.2227
2.9353	46220.6797	39172.5664	38656.4727	75411.3125	30134.7988	55766.3984	39938.2695	78118.0781	47935.1602
3.0687	51088.6055	46057.8281	32085.8379	56028.2617	30494.8301	83225.6953	41142.4648	57521.4023	35795.1641
3.2021	44383.4453	43684.1094	30103.5996	42699.5664	33713.9023	111152.7812	37301.3359	38445.2969	30400.6562
3.3355	38019.9844	38569.0664	30430.7031	37134.3711	37816.3984	103496.6875	35563.957	36559.3477	29241.4844
3.469	35942.6328	38767.2773	NaN	35906.9922	42357.9844	70766.8594	NaN	32744.4727	28268.3438
3.6024	33199.9844	NaN	NaN	35786.7656	39311.3984	50851.5664	NaN	31378.9473	27745.2734
3.7358	33454.0352	NaN	NaN	35028.4961	34646.1406	NaN	NaN	NaN	27560.8984
3.8692	NaN	NaN	NaN	33715.2695	31984.0254	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	31241.3672	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
