x	Y_20181208_15693_10_9g	Y_20181208_15693_5_8g	Y_20181208_15693b_1_11g	Y_20181208_15693b_10_7g	Y_20181208_15693b_11_8g	Y_20181208_15693b_12_14g	Y_20181208_15693b_3_5g	Y_20181208_15693b_4_11g	Y_20181208_15693b_8_21g
0	11084.4658	11286.542	12102.9297	12024.4678	9782.0801	10818.9873	9777.6221	10375.2998	9639.623
0.1334	11518.0137	13748.9775	12698.5508	11645.4922	10559.042	13002.0664	10289.9941	10774.3828	9566.0703
0.2668	13126.7432	12886.4316	15926.4316	11520.6494	10424.9297	14431.9355	10939.2363	12701.2939	9755.2969
0.4003	15069.3027	12359.4736	19054.9336	12786.5576	10770.0811	14800.5928	12571.4805	14161.416	10685.2803
0.5337	16734.0938	12701.3262	20240.0645	13465.4648	12278.3535	13834.3398	15776.5566	13966.7471	12055.9961
0.6671	16353.5107	13199.2988	19366.9863	14642.667	13247.1748	12130.2266	18000.5156	12964.8262	15086.2959
0.8005	16407.6582	13542.8965	18145.1641	13880.002	14210.4277	12098.0918	18428.832	12242.4541	17282.3203
0.934	16517.1211	14427.292	18610.6758	13412.0479	13121.3057	12404.5303	16633.6719	14002.5586	16284.0264
1.0674	17091.3438	13667.5234	18487.9141	13960.125	12441.1396	13084.416	15697.4541	14004.5859	15719.1719
1.2008	17364.1309	13351.4453	18656.0039	13296.1543	12635.6748	12735.8994	15672.665	13818.2686	15158.7119
1.3342	16165.7764	14007.5215	18454.6699	13172.8828	13565.957	12400.3877	15154.4189	12940.8779	14359.6523
1.4676	15849.2842	13840.3389	17018.4121	13005.2949	13308.3066	13175.1904	14046.2617	13290.6025	14166.7979
1.6011	16867.1328	13953.2559	15116.4131	11980.3516	13102.7451	13101.0664	14586.8447	13669.8623	13812.0635
1.7345	16382.5166	13986.7773	15600.2539	12482.4521	13183.375	13292.876	14772.1045	13283.3477	13942.2607
1.8679	15596.0889	14686.2588	15369.6172	12724.0615	14181.9307	13909.1426	14538.001	12356.5986	13711.0146
2.0013	15953.9512	15040.915	15713.292	13413.3887	13714.9082	13986.5537	14674.2021	12509.8076	13408.4736
2.1347	16202.7002	14978.9951	15853.1914	13852.4258	14588.4072	14539.0176	14355.9961	13301.5527	13240.9863
2.2682	16269.377	15117.1152	16354.1816	13411.0811	14388.3535	15039.3711	15535.2783	12613.2969	14092.4893
2.4016	15447.9629	14526.4805	15773.5635	13647.0986	13064.6377	14061.1055	15327.4141	13255.9678	14627.8447
2.535	14936.4561	15038.7832	15494.9834	12937.8379	13143.0078	14106.7148	14739.5967	13302.7021	13829.4297
2.6684	14317.9199	15089.7295	15044.6328	12524.1279	13852.0918	14373.7158	14377.835	13851.8154	13685.4346
2.8019	13587.6934	14415.877	14559.4951	12607.1006	12516.6504	13668.7227	14181.4668	13113.9287	13903.6348
2.9353	13150.335	13802.2695	13793.1367	12003.4072	12495.8516	13456.2529	13949.0654	13382.8496	13815.376
3.0687	14485.6064	12848.5801	13442.3594	12719.9023	12145.3838	14140.4414	13628.9521	12532.9258	13500.9609
3.2021	14446.752	12182.6953	13771.1211	12794.5039	12374.5723	12788.6865	13616.6318	12121.623	12346.8838
3.3355	14775.7871	11276.5488	14260.3018	11956.375	11894.8643	12493.2617	13708.7559	12329.3799	12947.332
3.469	15404.3604	10933.2783	14478.1943	11064.4766	11108.8828	12085.4863	13144.3184	12155.7695	13239.6309
3.6024	14558.7432	10772.3701	13408.0557	11359.7471	11243.2188	11450.6611	12286.2969	11980.0449	12325.9033
3.7358	13449.0342	10418.8662	13007.7793	10707.6514	11261.2207	11166.9893	11963.9814	11882.6016	11698.4111
3.8692	12358.9873	NaN	12495.6123	10353.6729	10850.4922	10982.3223	11667.5117	10805.0225	11276.0449
4.0027	11562.4414	NaN	12174.7549	10341.8789	10944.3574	10716.2764	11355.624	10271.2588	10491.7305
4.1361	11081.3477	NaN	12336.124	10520.1992	NaN	9707.1973	10563.3701	10565.6543	10141.7295
4.2695	10769.7246	NaN	12245.4639	NaN	NaN	NaN	10850.4551	NaN	9461.415
4.4029	10015.9307	NaN	12657.9795	NaN	NaN	NaN	11111.7617	NaN	8999.6689
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8836.4863
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8897.8613
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
