x	Y_20181208_15693_1_12g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_3g	Y_20181208_15693_12_4g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_8g	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_9g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_6g	Y_20181208_15693_2_9g	Y_20181208_15693_4_11g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_10g	Y_20181208_15693_5_13g	Y_20181208_15693_5_3g	Y_20181208_15693_6_4g	Y_20181208_15693_6_6g	Y_20181208_15693_7_6g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_13_16g	Y_20181208_15693b_2_16g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_4g	Y_20181208_15693b_3_7g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_5_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_19g	Y_20181208_15693b_5_9g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_14g
0	11592.916	10182.1416	12587.9072	10895.7041	12946.4521	12111.1201	10203.0869	13052.9082	10540.543	10742.7305	10143.4736	9455.8672	11220.4561	10188.7324	11005.5674	12250.8711	12851.2285	11418.0371	9915.959	12415.0068	10006.8857	12246.999	11984.5674	11180.9033	11352.7012	11132.8242	12546.9131	9563.6074	9760.291	10665.1211	10714.9824	9973.7549	12407.0439	12066.6865	9825.0537	11368.7373	11517.002	10746.8379	12320.5439	9763.4258	12318.7324	10184.417	12051.3984	10190.8594	12149.5508	10327.5918	12051.4492	10387.1982	12088.0928	10592.6064	10446.8555	10315.877	9495.7871	11792.1807	11648.8057
0.1334	11775.6396	10844.1533	11948.6094	11462.7178	14322.4805	13244.7471	10824.6797	14272.0527	11420.3711	11605.9717	12624.9805	9653.0176	11112.5381	11392.7539	12085.0928	13245.9219	12903.2842	11957.8477	9704.834	12275.4873	10842.958	12285.0059	13593.3711	11554.5771	11850.291	13646.1699	13625.1162	9940.3682	10571.2422	10577.6943	12022.9795	10702.3135	13519.1104	13380.2744	9519.3359	11853.2539	11882.3984	11196.1455	12405.7842	9712.0684	13133.4941	11583.3184	13279.9795	9937.5742	11985.4043	12024.8955	13355.2891	10519.2363	12053.9316	12717.9717	12057.6816	11017.1572	9281.3193	13115.0254	12274.2539
0.2668	13248.8389	11713.9434	13440.5059	11939.7559	18187.248	13251.0254	11387.3906	16795.6973	13671.9229	12522.6885	14444.1572	10813.3945	12180.9668	13680.4531	12426.7695	13868.8809	11982.3301	12454.8887	11201.8359	13207.6514	14355.4609	13526.0352	16198.4893	11732.0566	12278.3535	14196.0469	14086.1396	10729.6914	12275.9609	12564.9863	15730.2119	11506.957	14690.8643	15218.0547	10731.3203	12824.0752	12648.6924	13438.4854	13362.0518	10689.9092	14961.9795	12844.9199	14652.7549	10173.3916	12874.3613	14339.7422	15295.1377	12330.9766	13518.2363	14987.3271	12963.7939	11194.4287	9633.4277	16584.4883	13059.6523
0.4003	15642.0215	13412.0176	15335.9434	13075.709	18672.3965	12166.791	12719.8447	16481.084	16340.9736	14285.9121	13645.8838	12528.6611	15085.8555	17129.8027	13895.6201	16239.9512	11426.8711	13370.2461	13779.4355	15806.9512	17456.1973	14348.9678	15301.002	11771.5029	14064.501	15097.417	15264.1699	12532.957	15314.4385	15448.7139	19281.9453	12531.2158	15757.6982	16890.0039	12876.7939	14810.6074	14981.0938	15971.4229	15326.7158	11893.0508	18307.041	14680.9307	15159.7549	11167.1553	14724.6377	15589.0381	16109.8281	15714.3857	15427.9463	15865.4492	13631.7637	12118.9658	10649.9033	19050.2422	13494.875
0.5337	16225.5762	13946.4082	15168.2871	13777.0098	18241.877	12184.0977	14131.6523	15076.8096	17458.3262	17066.2363	13621.0029	14398.4404	18995.8965	18069.5547	15026.8594	21052.2988	13392.1289	13351.7402	15323.124	17263.791	17488.1426	14659.415	14863.7393	12250.7998	15351.5811	13330.6377	16861.4766	12240.1523	16638.8867	17769.4336	19185	12402.498	16512.2852	15673.4795	17077.3398	15925.8594	16867.6426	16715.3457	16598.5508	14175.7266	17531.875	16786.2949	13558.3643	12208.0547	15347.9043	15368.0088	15746.543	17689.8633	14246.6406	16174.4619	13948.4033	13253.8301	10962.998	18438.8887	14266.8125
0.6671	15492.6611	15155.7656	15103.0352	14172.458	17009.1777	12673.0293	13780.5059	14484.3945	17700.2539	16826.3594	12919.8027	16265.8066	19375.3027	17759.7734	13829.1816	20772.7715	15508.7549	14140.3896	15992.1875	16925.8711	15855.0225	16096.7578	14634.042	13765.3359	15270.3223	13701.5908	16762.2871	11434.209	15546.6797	17498.6758	16731.5234	12407.8135	15829.752	14807.1807	18644.5117	16211.2959	16923.2227	14674.2969	17196.9375	16245.959	15381.0752	16582.0879	12807.4131	13273.8447	15527.2588	14999.6318	13949.5518	16913.959	14886.752	17214.6074	13543.2529	12697.9648	12408.7266	16530.5938	16355.3574
0.8005	17015.4727	14274.4492	14061.4785	13503.3174	15313.873	12126.2617	14159.8145	13889.5439	16040.3711	15909.8223	13937.0625	16143.2285	17326.0801	16915.8281	13320.6641	17972.8047	18874.1543	15636.6221	16554.8145	15099.3447	14674.5576	15448.7441	14167.6768	14621.4697	13872.8809	13129.0869	17450.5547	11851.6182	14113.4883	17122.5059	15170.4199	12193.8252	15389.6094	13864.8154	15872.7529	16873.3887	17509.8516	13366.2236	15204.3564	16386.4844	14986.1035	19461.1055	11945.0586	13299.5723	15199.791	14033.3877	13459.2432	15577.4883	14572.915	17788.2051	14273.6875	11763.375	12835.6943	15035.0537	18283.25
0.934	16193.0566	15543.0703	14194.8945	13160.6338	13460.3096	12997.4238	14001.54	13565.9385	14779.6484	15548.75	13742.834	14899.168	15655.6797	16743.9668	11801.248	17211.9883	19521.5391	17535.5078	15987.5723	14212.5723	14902.1582	14958.3564	14409.3213	13336.4551	11686.541	12979.7676	17241.3652	12685.333	14352.5498	15582.4717	14735.7412	12167.8037	14273.3184	12278.001	13942.5186	16417.918	17877.9922	12980.1865	14499.2891	16076.1104	15048.8662	18443.877	12483.3789	13526.2021	14916.7627	14220.2832	13563.9355	14468.627	14925.4941	17156.9062	15553.7842	11751.3057	12568.3086	13611.1357	18772.0664
1.0674	15665.3584	16284.0479	14280.4307	13608.9131	13812.5947	13074.415	14214.9102	12918.1641	14384.6719	15850.54	14237.2197	15018.4521	14669.4385	16082.501	11795.2383	16622.832	19885.2656	16606.7988	15550.9609	14230.6514	15451.6289	15082.1777	14929.7021	13865.2236	11917.3711	12596.7959	17200.793	13022.6094	14416.668	15488.8047	14656.6523	11884.248	13553.7715	14102.0566	13078.0605	16032.6387	16295.2646	12892.5479	15953.0508	14473.8799	15741.2559	18624.5215	12924.4102	13409.208	16461.5	14605.2607	12636.3496	15241.9258	15918.8203	14831.7354	14937.5879	11506.5107	12527.292	16111.0117	18236.9727
1.2008	16781.8887	16154.1934	14858.249	13495.085	14239.3301	13533.0967	15008.3418	13084.499	13894.4004	15693.8379	14253.7188	15582.7793	14250.9355	15848.4502	12019.0576	15587.5869	20295.877	15829.5146	15361.4004	15025.8252	14877.1621	15119.3184	14369.4854	13756.7061	12159.3955	13265.2969	16705.334	12763.0596	14513.0371	15592.9893	14928.373	13075.9922	13243.5732	13149.8545	13182.3467	16319.6318	15370.0273	13340.5488	15805.2715	13836.1436	16348.6895	19654.8418	12110.8613	13261.2744	16472.1211	14748.665	12223.6934	15824.9727	15175.8965	14210.3633	13728.458	11075.8906	12457.8486	15084.0566	18375.002
