x	Y_20181208_15693_10_9g	Y_20181208_15693_5_8g	Y_20181208_15693b_1_11g	Y_20181208_15693b_10_7g	Y_20181208_15693b_11_8g	Y_20181208_15693b_12_14g	Y_20181208_15693b_3_5g	Y_20181208_15693b_4_11g	Y_20181208_15693b_8_21g
0	31262.584	30802.0605	35095.3047	25915.2617	25377.7129	26479.6602	26156.8574	28893.9746	25708.6836
0.1334	31571.1582	30279.7988	36516.3867	26824.2402	26007.9453	27950.0957	26261.0293	28907.1953	24168.3047
0.2668	30963.0527	30939.9922	35464.4805	26794.0039	27268.375	27947.0684	26502.7441	28174.6426	25013.1445
0.4003	32175.543	30483.502	35510.25	27541.4082	27097.7969	29162.041	26863.4395	28614.3848	24642.9707
0.5337	32250.8809	30685.1211	35400.6797	28143.3086	27584.5312	28853.6465	25947.0918	28704.8789	24871.2188
0.6671	30811.1855	31255.4902	34827.5078	29653.8848	28071.0957	29022.0762	26537.0586	31019.9648	25136.9375
0.8005	31839.9453	32271.7305	36260.3594	30119.832	27229.7832	29407.6016	26449.3711	29474.0625	25796.7969
0.934	31279.1367	31895.2344	37759.9844	28990.9922	28138.4707	28696.0215	26154.0918	29502.6562	25269.3613
1.0674	32659.1973	31859.1816	39509.8398	29466.4395	27100.3242	29597.6895	26224.8301	29556.2715	24804.8203
1.2008	32152.7324	32246.3398	38192.4375	28879.541	26330.5059	31363.8184	27038.2441	30222.0586	25197.8457
1.3342	33735.8047	32889.4844	38081.9141	29294.8945	27821.2637	31832.334	27065.0801	28935.418	26809.7812
1.4676	33098.4023	32533.7305	36995.1406	30721.6582	28912.5078	31575.1309	28036.9258	30471.2148	25804.3359
1.6011	32329.8828	31696.7363	35796.6133	29997.9883	28780.3027	30778.373	27657.5918	32313.8672	26921.8359
1.7345	34263.8242	32762.9688	36918.2227	29641.4727	29270.8281	30049.9629	28389.084	29203.0156	29127.5449
1.8679	33862.168	32153.4824	37560.9922	28973.8613	28006.3477	30232.2637	28092.748	30442.1289	27795.3867
2.0013	34761.6953	31872.5078	37692.3711	27040.9375	28436.1328	29782.3574	28989.7188	31752.9531	26089.1934
2.1347	34627.0078	32856.2109	38418.1328	27699.5879	28168.3418	29836.0762	27273.4883	30671.6797	25967.0039
2.2682	34265.7695	32651.3184	36879.7695	27829.1621	27867.8223	29251.1348	26582.8203	29521.2441	26677.8906
2.4016	34829.1797	33649.8789	38142.5742	27356.6426	28934.6191	29550.1172	26890.8438	29929.0039	24712.4707
2.535	35767.5938	33746.5234	38415.9375	28095.166	29426.7617	29569.8965	27876.8281	29921.0117	26011
2.6684	35017.6289	36499.7109	37636.4336	29120.8906	29412.5117	28418.6738	26367.9648	29106.1172	25667.2617
2.8019	35573.8906	44715.1172	38423.207	29016.5547	31280.6777	28252.0254	27237.2754	29892.4316	27442.752
2.9353	35598.4414	64578.4492	39893.5977	30459.6953	37514.0664	27070.9336	28110.957	30731.6289	26043.3359
3.0687	36810.8711	68166.7734	42277.0508	31037.5605	49657.8047	29019.9258	28807.2129	32007.9824	25954.5
3.2021	40042.3398	55484.0039	50275.2812	33457.3398	71575.2734	32574.3027	28007.0898	38060.2656	25236.6152
3.3355	50472.8125	41172.7773	78275.8672	39579.1641	84523.6562	39465.6875	28105.5527	51046.2539	26826.4492
3.469	54379.5391	34225.6406	128486.2422	50703.3438	68250.1406	57154.4844	30702.2285	78591.1875	27826.5059
3.6024	48143.1641	31807.8691	154946.1719	59528.0547	44083.6523	68598.9141	35695.9883	87611.125	30217.2383
3.7358	40230.7695	31670.2656	125996.3203	47227.8008	33567.6562	57608.4023	43163.3047	68985.9609	35919.5273
3.8692	35929.1523	NaN	81666.0078	34522.7305	31890.9902	39148.8945	45680.1875	46759.8359	45165.6797
4.0027	34278.9727	NaN	59308.9492	29518.8145	30076.9961	31647.6504	38744.7617	37041.0156	43426.8867
4.1361	32985.5195	NaN	56139.457	28240.707	NaN	27448.127	34401.9922	38694.332	33770.5938
4.2695	31686.4883	NaN	66596.0391	NaN	NaN	NaN	33372.2227	NaN	28529.4609
4.4029	30983.1406	NaN	89993.4766	NaN	NaN	NaN	32822.0938	NaN	25112.1641
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24490.5684
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25116.8477
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
