x	Y_20180130_15100b_1_4g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_11g	Y_20180130_15100b_15_11g	Y_20180130_15100b_18_13g	Y_20180130_15100b_19_14g	Y_20180130_15100b_19_5g	Y_20180130_15100b_2_10g	Y_20180130_15100b_21_9g	Y_20180130_15100b_22_18g	Y_20180130_15100b_3_9g	Y_20180130_15100b_6_1g	Y_20180130_15100b_7_8g	Y_20180130_15100_6_14g	Y_20180130_15100_6_17g	Y_20180130_15100_6_2g
0	34829.965	31967.576	32497.598	40342.324	37873.738	39383.551	34869.961	37305.289	37937.047	33720.273	39964.797	36890.074	31624.658	35149.0175	40509.7425	37950.59
0.1334	34957.219	31342.361	32749.457	37455.719	38473.652	42058.535	34304.484	37298.844	38785.07	34074.586	38339.242	36703.59	30414.736	35159.19	38263.35	38201.8725
0.2668	33159.109	31406.422	33400.52	37636.715	37994.945	43233.758	34016.309	36705.328	39068.402	34142.105	39505.145	37888.582	30817.824	34284.93	38623.0575	39082.375
0.4003	33771.406	32001.768	32070.715	39025.93	38659.359	41171.039	34217.281	37560.75	38499.641	32727.045	38503.102	37166.633	31746.064	37484.5125	39992.475	39309.4
0.5337	33968.723	33080.941	33056.668	38707.457	38533.453	40014.281	33560.137	38596.633	37744.801	34499.504	38496.738	37549.438	31290.52	35635.6325	39647.5675	39460.295
0.6671	35479.555	33085.062	33319.176	38840.871	37419.34	42483.504	35569.094	39052.84	37348.555	35148.977	40559.152	37146.035	31682.527	37765.885	38388.755	40227.0375
0.8005	35761.207	32733.643	31660.932	38457.148	38802.152	43974.711	33449.434	38615.539	37374.203	33989.82	39601.922	37095.105	31663.486	37895.5175	40951.7525	40510.5925
0.934	34828.777	31410.484	34121.93	39993.703	39373.156	41995.598	34789	38013.867	37930.781	34998.137	40095.711	36870.211	31102.887	37162.6125	41754.2	41260.37
1.0674	34823.605	32916.148	33959.477	38392.211	38744.973	40509.684	33925.945	37938.484	38525.559	34301.438	40851.934	35245.406	32946.234	36629.2975	40746.7725	41184.8875
1.2008	35551.516	30844.047	33617.066	39329.09	37619.773	39401.711	34429	38716.184	38850.16	31721.984	40652.43	36579.305	32964.5	37846.1775	41856.69	39713.625
1.3342	34929.828	31154.568	33992.574	38605.785	39038.285	39625.051	34873.629	37573.125	37964.301	33158.891	39338.051	36218.992	34316.082	38814.585	41554.4675	40834.6825
1.4676	34898.035	30389.752	31345.232	38032.332	39538.312	39401.5	33980.43	37815.488	38236.031	33997.504	40377.902	36185.293	33870.918	36817.6525	42317.465	40156.475
1.6011	35209.816	31268.553	32583.877	38848.465	39606.316	38157.152	33657.266	39248.883	38873.949	36458.207	39851.879	37025.562	35157.332	39292.715	41711.635	38766.8125
1.7345	35404.648	30708.096	32774.996	38624.473	38247.766	37535.754	34360.93	38547.586	37936.883	35053.207	38530.465	39093.012	36180.039	39376.18	39479.8	41234.395
1.8679	34642.922	31838.939	32208.484	38893.332	37944.812	38497.734	34894.031	39547.586	37587.785	35089.645	37333.102	39308.062	34423.977	37652.6675	40086.5825	40856.125
2.0013	33797.613	31683.035	32960.996	39469.758	39159.18	42113.305	36056.102	40063.684	40046.656	34781.035	39771.066	39619.953	31604.311	40856.405	42608.0175	39239.75
2.1348	35201.223	34121.777	33373.125	40822.422	39353.195	39853.988	35953.422	40391.352	43021.531	36234.934	39787.996	37216.59	33557.387	41516.64	44135.0575	43984.4425
2.2682	38663.105	32249.158	36372.008	40388.184	41027.801	41175.426	35614.906	42461.543	43890.242	36412.715	40997.203	38971.254	32949.258	46199.9025	45080.9025	46995.5425
2.4016	40788.754	32273.967	39602.195	42798.375	41989.117	47888.523	36874.875	48436.934	50553.262	36845.605	43397.25	40136.844	35622.758	58881.895	50767.4475	52200.5325
2.535	49738.41	33272.332	47429.43	48816.262	44698.785	61027.945	42663.93	59000.859	73057.461	40519.09	45500.355	44347.043	39921.312	82851.085	60230.7225	62411.3225
2.6684	73387.25	36852.629	64527.109	65753.773	51729.566	97559.016	55464.715	75208.914	121312.812	50069.223	58469.512	53271.324	50082.586	108256.425	76252.505	94855.2625
2.8019	113150.648	43329.973	108627.336	95775.805	69662.547	165434.844	80732.844	76400.055	170291.078	77061.766	87339.703	74505.602	65304.516	89921.3075	77286.3625	129015.0775
2.9353	127237.297	61405.934	140946.391	125137.281	114655.562	169944.469	103446.156	62314.809	159056.406	98018.43	104273.047	95749.453	69426.773	62803.6675	63039.785	120385.9575
