x	Y_20180130_15100b_17_2g	Y_20180130_15100b_18_16g	Y_20180130_15100b_2_5g	Y_20180130_15100b_6_6g	Y_20180130_15100b_8_7g
0	37682.078	37565.32	34431.199	34233.426	39648.359
0.1334	36512.883	37206.852	34270.762	34828.289	40733.137
0.2668	36732.793	37469.219	34418.789	34334.434	40455.938
0.4003	36157.789	37773.863	34416.562	34428.406	41284.078
0.5337	35860.297	36507.211	34629.223	34966.484	41094.312
0.6671	36765.121	38209.625	35251.418	33162.406	41979.629
0.8005	37486.648	39777.359	35996.238	33511.781	41630.605
0.934	36835	42432.762	36099.113	34906.195	41935.18
1.0674	37931.062	41722.77	36848.871	36504.516	40588.582
1.2008	38161.973	40260.047	36717.797	34320.676	41787.391
1.3342	37640.004	38546.312	36723.559	34432.016	40540.52
1.4676	37305.062	39413.789	36092.828	33693.102	40949.855
1.6011	37332.348	38272.637	38629.883	34454.945	41037.062
1.7345	38240.152	39887.504	36838.895	34802.898	41198.816
1.8679	38846.438	40516.773	40278.609	33099.305	44396.453
2.0013	40972.305	39821.109	40721.605	33410.25	44027.316
2.1348	44100.512	41188.547	45760.164	35275.84	41744.332
2.2682	52492.645	40424.734	63069.328	35873.148	44185.906
2.4016	72411.422	41939.922	89756.172	38958.242	50586.957
2.535	87920.047	47833.699	97177.781	45682.098	66675.875
2.6684	75142.922	58387.168	69782.477	60076.086	88332.172
2.8019	52704.223	64657.738	48311.699	62918.602	88117.953
2.9353	41556.09	54901.938	40746.488	48560.227	64844.715
3.0687	NaN	45027.766	NaN	40695.434	50307.938
3.2021	NaN	39777.801	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
