x	Y_20180224_15100_16_4g	Y_20180224_15100_22_7g	Y_20180224_15100_24_6g	Y_20180224_15100_30_2g	Y_20180224_15100_33_1g	Y_20180224_15100_6_3g	Y_20180224_15100_6_8g	Y_20180224_15100_7_4g	Y_20180224_15100_9_2g
0	36282.98	36959.219	36303.668	38293.684	41472.633	37734.156	38245.535	38182.043	39793.434
0.1334	38118.375	36393.348	36863.359	37441.297	40770.16	38834.789	40075.258	37772.234	38584.609
0.2668	37063.492	37149.016	37752.629	36618.672	42898.371	40191.43	40203.48	36197.68	39139.863
0.4003	37582.598	38152.551	36130.957	37290.742	44218.629	38473.324	41197.926	37439.266	39555.609
0.5337	38685.723	37160.906	36636.516	39193.387	45040.867	40864	41342.457	38729.066	38650.355
0.6671	41134.73	38908.215	36479.402	38628.965	43285.82	41320.465	41204.727	38498.52	37751.434
0.8005	41858.629	37785.07	37577.852	37249.348	41419.641	39763.684	40996.414	37804.859	38850.914
0.934	40525.652	38789.184	36209.184	39136.352	41097.758	40286.137	41340.324	36939.82	37607.246
1.0674	42253.801	41683.48	37702.277	39496.188	40666.531	42157.98	42212.395	38773.723	39740.102
1.2008	50024.391	49583.004	37406.715	39662.766	42440.34	46852.027	43181.289	42893.094	42464.422
1.3342	60124.672	59042.148	38078.262	43097.211	42409.461	59622.914	46314.684	47196.133	48434.137
1.4676	63249.98	69594.773	43314.812	50948.309	44101.895	74793.586	53358.414	59155.406	63146.008
1.6011	60371.184	66322.641	53073.926	66696.93	50710.395	75373.211	61291.938	62410.855	104007.375
1.7345	NaN	51508.297	56034.719	78198.32	54666.863	57931.738	64004.812	53957.148	142858.891
1.8679	NaN	42846.512	47028.016	68310.883	50765.426	45906.645	56019.918	50363.672	134936.688
2.0013	NaN	41112.129	39309.824	51311.469	44436.191	43364.031	46632.617	NaN	82841.789
2.1348	NaN	39432.34	35361.336	44808.586	43921.055	NaN	40524.691	NaN	56787.539
2.2682	NaN	NaN	NaN	42152.793	NaN	NaN	NaN	NaN	49297.488
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
