x	Y_20180224_15100_10_4g	Y_20180224_15100_11_1g	Y_20180224_15100_12_11g	Y_20180224_15100_12_1g	Y_20180224_15100_12_2g	Y_20180224_15100_12_6g	Y_20180224_15100_13_10g	Y_20180224_15100_13_2g	Y_20180224_15100_13_6g	Y_20180224_15100_13_7g	Y_20180224_15100_14_2g	Y_20180224_15100_15_2g	Y_20180224_15100_15_4g	Y_20180224_15100_17_5g	Y_20180224_15100_18_2g	Y_20180224_15100_18_4_1g	Y_20180224_15100_19_5_1g	Y_20180224_15100_19_7_1g	Y_20180224_15100_19_7_2g	Y_20180224_15100_2_10g	Y_20180224_15100_2_4g	Y_20180224_15100_2_7g	Y_20180224_15100_2_9g	Y_20180224_15100_20_6g	Y_20180224_15100_20_7g	Y_20180224_15100_21_1g	Y_20180224_15100_21_7g	Y_20180224_15100_21_8g	Y_20180224_15100_22_1g	Y_20180224_15100_22_3g	Y_20180224_15100_22_6_1g	Y_20180224_15100_23_1g	Y_20180224_15100_23_2g	Y_20180224_15100_24_3g	Y_20180224_15100_24_5g	Y_20180224_15100_26_6g	Y_20180224_15100_28_11g	Y_20180224_15100_28_3g	Y_20180224_15100_28_5g	Y_20180224_15100_28_6g	Y_20180224_15100_28_9g	Y_20180224_15100_29_1g	Y_20180224_15100_30_4g	Y_20180224_15100_31_2g	Y_20180224_15100_33_2g	Y_20180224_15100_33_7g	Y_20180224_15100_4_1_2g	Y_20180224_15100_6_9g	Y_20180224_15100_7_13g	Y_20180224_15100_7_1_1g	Y_20180224_15100_7_4g	Y_20180224_15100_8_8g	Y_20180224_15100_9_4g	Y_20180224_15100_9_6g	Y_20180224_15100_9_9g
0	40107.184	35454.871	38891.926	34957.996	38311.086	38602.352	31900.969	40304.949	39499.758	39487.91	40857.988	36682.379	39307.359	39305.801	40980.898	39450.414	35164.805	34207.352	34385.168	36319.727	38525.512	37198.062	35515.023	40354.594	39585.562	37724.273	37331.668	40601.82	37329.945	40668.055	43444.797	37233.414	37632.336	38176.008	35441.559	37084.312	40532.707	37497.961	41241.844	39908.773	39313.164	41881.508	40308.906	35738.398	35961.133	37488.875	37329	33246.504	37636.145	37066.648	39323.094	36764.238	39024.938	39244.051	38251.359
0.1334	39921.477	35890.055	38621.578	33548.586	39293.941	39401.121	30975.721	40006.34	39549.195	40157.977	42201.66	36068.586	38710.645	41209.957	39820.312	40150.336	35192.797	33304.801	36001.449	35720.812	37765.945	37886.195	36446.777	41868.902	38724.387	37666.762	36541.926	39825.5	37494.699	40638.711	42437.848	37864.828	38061.895	38625.488	34677.137	38077.582	40066.383	36273.062	40222.383	39158.18	38400.957	42699.949	42042.465	36164	37372.355	37528.691	35323.613	32775.254	36820.219	35764.754	39392.418	37158.395	39081.332	37535.949	37382.824
0.2668	39896.191	36763.473	38175.527	33530.98	37766.262	37566.285	32526.432	39133.816	40467.391	39303.879	44256.82	35974.906	38183.871	39519.863	43030.867	40977.906	35485.051	33426.238	33129.855	38178.766	39030.074	38086.527	37997.738	39984.789	39637.219	36932.227	34567.676	38446.316	36445.867	42012.852	42157.637	38017.746	36565.324	38766.109	35488.969	36624.027	40889.234	35867.598	39514.328	38552.422	40409.98	42592.363	41480.367	36596.668	36667.91	37962.133	37073.234	34405.457	40122.625	36939.016	38929.656	37120.461	38822.598	36469.914	36764.09
0.4003	38896.906	36392.043	35795.816	33694.18	36668.277	38816.75	33104.211	41168.539	41645.457	40354.965	43993.203	35553.336	38342.965	40062.543	41411.32	39345.043	35978.875	31742.965	33293.137	36027.496	38675.824	37423.449	36457.414	38971.93	40626.855	39137.516	34966.953	38334.539	37659.316	39942.961	41637.957	37547.258	35815.805	37756.066	34097.828	38260.805	42381.461	38571.121	39537.715	38592.328	38866.422	40350.184	41126.48	36176.836	36461.09	35645.777	38359.102	35992.074	40549.992	36281	38087.832	37357.594	38939.625	37915.633	37662.098
0.5337	39107.875	36463.828	36199.812	34133.773	36111.191	37873.719	32838.414	40431.652	40705.793	40787.602	42364.992	35421.422	36901.098	40122.324	39270.379	39917.668	37211.309	33391.395	33625.832	36450.66	39293.668	37889.723	37210.203	40798.043	40115.094	38523.742	36737.625	38623.48	38922.598	38853.965	41510.008	37209.828	35211.52	36401.156	36193.723	36833.703	41835.75	35760.406	38723.098	37916.234	38515.176	40944.766	38063.422	35669.012	37155.559	34948.547	37033.988	33992.984	40146.109	36135.801	38722.875	37448.895	39263.676	37276.184	37340.734
0.6671	38209.582	37034.004	37737.461	34590.863	36038.805	38221.902	31526.373	39823.535	39715.762	40077.789	42216.504	34482.633	38917.773	39969.426	38456.699	39947.129	37173.281	34842.23	34343.715	36863.488	39637.621	38775.746	35701.59	40626.695	38772.902	37450.305	37119.32	39457.27	37557.23	38552.699	40676.871	36340.609	36143.527	36952.953	36507.137	38118.715	41618.086	38074.445	39670.91	38125.887	38518.68	40330.246	40295.645	36236.371	38562.055	36010.801	37353.031	34388.801	40849.93	35151.258	38793.086	37043.516	41579.277	38832.797	37120.816
0.8005	39422.938	36446.633	37179.336	35588.41	38190.34	39524.836	33815.047	38924.805	38553.355	40385.953	44259.246	35215.402	39201.582	38269.277	39207.832	40869.809	37349.121	35465.613	35649.977	37086.73	38733.414	37753.414	35789.391	39593.055	38932.777	37876.496	35400.375	42146.18	36841.16	39595.789	42246.191	38546.465	36230.176	37553.285	34443.801	38799.027	40461.695	37937.723	40853.324	37462.742	37759.523	40036.684	40800.293	37382.855	38509.418	36542.965	36445.023	35985.156	42394.742	36367.184	39532.473	37770.762	38373.492	38057.848	38876.172
0.934	40260.082	36108.336	36175.977	35521.133	38457.938	38826.324	33998.672	41654.34	40411.445	39587.035	42293.641	34087.301	38993.426	40488.188	39324.047	40394.887	36045.801	33897.438	33936.301	37739.59	37787.465	38952.602	34682.848	38707.832	39053.496	36626.809	36479.562	38325.219	37072.109	40681.91	42454.289	37322.641	37856.574	37157.012	34549.68	37079.559	41152.918	37711.387	40045.91	38903.746	36969.336	39425.883	41242.762	38318.457	37756.145	38296.91	36809.934	34865.344	42324.566	35799.926	37779.363	36372.668	38353.133	37412.645	37679.75
1.0674	39961.27	36531.867	35619.613	36138.488	38205.145	42225.699	34566.617	40834.996	39926.895	37677.652	41768.68	34152.551	39135.555	40928.836	40697.664	42694.723	37076.266	34466.73	34629.777	36654.727	40643.93	38279.418	36536.746	39785.148	39669.469	35078.676	35700.824	39328.566	37988.887	40000.242	40920.566	36358.691	37370.387	37614.617	34505.512	37515.324	40553.016	36083.688	39316.867	38080.137	38245.047	41162.891	41556.301	39171.812	37972.773	38533.234	35430.348	34764.84	42645.297	34554.324	39221.316	37354.621	40015.883	39405.367	41102.535
1.2008	39009.012	37354.758	35760.371	37482.879	40298.969	43712.23	34060.582	40065.562	40156.738	38433.578	43577.031	34577.754	39882.312	41529.281	42686.617	44241.766	38757.285	35787.566	35637.488	36986.875	40787.73	40993.406	37104.449	42761.762	43285.527	35674.941	36083.34	37879.809	37461.301	37890.188	42481.164	38581.879	37397.297	36877.477	36472.5	37216.742	41138.289	38317.07	39938.199	38473.668	40073.5	40056.719	41384.703	38871.25	38105.785	39711.316	37324.926	35200.832	41178.852	36622.004	39011.02	37332.062	41529.199	38030.375	41895.703
