x	Y_20180224_15100_12_4g	Y_20180224_15100_15_3g	Y_20180224_15100_15_7g	Y_20180224_15100_30_7g	Y_20180224_15100_8_3g	Y_20180224_15100_9_8g
0	39508.086	32361.9	33599.57	36542.762	35642.863	39397.375
0.1334	38454.621	34878.312	34758.453	36889.988	35959.59	40880.363
0.2668	39564.316	33387.484	33868.797	38020.848	36474.047	42053.656
0.4003	40875.434	34498.211	33076.133	38227.613	36540.902	40404.957
0.5337	41099.906	35099.48	34370.883	37486.352	35694.75	40416.711
0.6671	40539.707	33495.367	33152.691	38603.484	36885.895	40265.453
0.8005	40163.891	35605.445	33580.988	39179.332	35936.484	39688.078
0.934	38604.453	35028.656	32687.289	37383.289	36249.934	38163.953
1.0674	40394.324	35901.434	35845.012	38438.363	35430.078	38664.902
1.2008	41396.875	35266.758	33707.848	39025.918	36219.68	37597.766
1.3342	40745.199	33197.879	33354.551	36220.957	35157.766	38552.875
1.4676	42953.285	35605.934	33512.469	37683.855	34636.578	38509.238
1.6011	40290.758	34788.668	34218.586	39798.07	34947.414	35885.691
1.7345	40736.18	33916.848	33299.184	36781.156	34955.867	36862.328
1.8679	42563.281	35887.801	35356.82	38068.109	34618.469	37639.66
2.0013	42530.824	36064.766	36659.387	39992.102	35236.625	38293.52
2.1348	41556.008	35677.531	35188.129	37951.68	36052.48	41122.152
2.2682	41348.184	34176.375	34947.586	38528.168	34803.625	41674.164
2.4016	42288.043	35617.238	35862.082	38845.391	35070.051	41899.82
2.535	42106.785	36622.992	37164.035	41492.234	37155.094	44370.176
2.6684	42801.516	36977.109	38819.34	40948.363	37696.012	50996.547
2.8019	43127.59	37356.66	38545.855	47433.137	37091.113	68299.734
2.9353	44902.484	40869.852	41767.582	64405.523	38711.492	83727.672
3.0687	46316.934	45011.609	49010.004	98345.906	40617.688	87919.047
3.2021	49293.566	56575.402	64067.227	141867.234	47497.734	101425.25
3.3356	61494.766	58382.84	75897.273	122685.328	67039.68	110952.234
3.469	86280.531	50573.461	66534.68	82178.07	109031.234	91625.469
3.6024	107503.82	42747.047	52641.387	62299.012	141504.359	64082.898
3.7358	97263.648	39493.793	45712.426	49584.875	118853.375	47027.219
3.8692	67855.031	NaN	41653.824	45530.035	73548.43	40741.09
4.0027	52011.766	NaN	NaN	NaN	51660.688	40378.672
4.1361	46545.301	NaN	NaN	NaN	42150.238	NaN
4.2695	42845.375	NaN	NaN	NaN	39913.684	NaN
4.4029	41030.383	NaN	NaN	NaN	NaN	NaN
