x	Y_20181208_15100_13_10g	Y_20181208_15100_13_4g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_27_1g	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g	Y_20181208_15100_8_1g	Y_20181208_15100b_11_5g	Y_20181208_15100b_13_3g	Y_20181208_15100b_16_4g	Y_20181208_15100b_16_8g	Y_20181208_15100b_18_6g	Y_20181208_15100b_19_3g	Y_20181208_15100b_20_9g	Y_20181208_15100b_21_11g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_4g	Y_20181208_15100b_27_1g	Y_20181208_15100b_27_7g	Y_20181208_15100b_6_4g
0	13802.5762	12193.7305	10708.5977	13071.1016	14307.8643	15163.2197	13417.5938	10893.8037	11270.1289	10374.5234	11271.7051	12511.1973	13617.7695	10736.9932	13430.2217	13766.1396	13117.5195	12223.5547	6357.3164	10547.7832	12534.7598
0.1334	14665.1191	11859.3184	11256.6338	13369.0479	15211.6885	15768.7549	13338.9385	12008.0771	11767.3438	11173.9717	12173.915	13705.3848	15443.0469	11008.6514	13671.5186	13312.1797	13520.9678	13118.3564	6983.8242	10889.7959	13161.8262
0.2668	16078.3887	11922.5176	11527.8125	13904.5635	16946.6543	16721.6426	13609.668	12936.7041	13838.4414	12891.1113	13686.9453	14927.7432	17250.0039	11597.8135	15235.0479	14096.4453	13992.0293	14645.415	9344.9355	11738.7109	14186.7607
0.4003	19774.3809	12359.1592	12555.9668	14703.1123	21333.8945	17815.2363	13856.5469	14433.335	18627.4062	16754.1465	16009.3682	16958.0547	19276.8574	14048.1631	18056.1328	14348.2783	14900.6855	18087.7148	19411.8359	13050.4727	15933.4473
0.5337	26608.1426	14013.0088	15298.2627	17473.793	24336.9258	18702.1309	14215.6738	15977.459	22165.4844	20968.0684	15199.6855	19025.2051	18855.793	17144.8008	19713.1543	15848.0596	17107.3164	22252.1875	20797.0234	14282.3691	18191.375
0.6671	32679.7383	17107.3418	15810.2344	20397.9199	20533.1934	17606.7148	16528.5938	16287.0146	22430.3184	22500.7461	13151.2568	18710.0762	16598.3223	16209.5176	19132.4863	17586.6699	20593.3516	22677.0977	16890.5449	13989.2129	20690.5059
0.8005	29116.4824	18201.0352	15050.249	19023.5527	17780.7383	14566.3691	20347.1406	16427.8555	18867.7754	22491.2461	12366.1035	16142.1631	16065.46	13120.2031	18687.1406	19291.3418	22218.666	20296.5879	13913.6279	12558.1367	18056.0742
0.934	23754.9902	17934.1582	14228.4473	16964.5566	16838.7871	15575.7266	21274.6484	15822.624	16920.4609	19153.748	11746.8086	15213.1113	15178.0537	11768.9551	16490.0938	17987.75	22086.709	17442.4609	12498.6836	12309.3594	16191.2207
1.0674	19564.2422	17947.4434	13577.1377	16627.709	17477.459	15947.7754	18311.3301	14735.9902	16023.6348	18472.2617	11445.3584	15808.8086	14956.5605	12294.8535	14830.4707	15264.8711	21660.6016	16707.9219	12060.6904	12173.208	16796.127
1.2008	17223.6055	15471.707	13620.3848	18393.2207	16991.4023	15571.0254	14344.6787	13742.75	14556.5967	17228.4824	11656.0928	15690.4531	14760.0723	11879.4131	14864.2188	13736.249	19040.2012	17388.0215	14180.9863	11585.6436	16249.2881
