x	Y_20181208_15100_1_3g	Y_20181208_15100_13_6g	Y_20181208_15100_15_4g	Y_20181208_15100_16_3g	Y_20181208_15100_17_1g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_2_3g	Y_20181208_15100_25_1g	Y_20181208_15100_9_1g	Y_20181208_15100b_11_3g	Y_20181208_15100b_13_16g	Y_20181208_15100b_13_20g	Y_20181208_15100b_13_4g	Y_20181208_15100b_14_10g	Y_20181208_15100b_14_3g	Y_20181208_15100b_14_7g	Y_20181208_15100b_16_3g	Y_20181208_15100b_17_1g	Y_20181208_15100b_17_3g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_4g	Y_20181208_15100b_21_5g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_3g	Y_20181208_15100b_23_4g	Y_20181208_15100b_24_1g	Y_20181208_15100b_25_1g	Y_20181208_15100b_26_5g	Y_20181208_15100b_26_7g	Y_20181208_15100b_32_2g	Y_20181208_15100b_32_4g	Y_20181208_15100b_32_8g	Y_20181208_15100b_5_6g
0	28670.8242	30129.1777	33490.8125	28454.8555	28736.3945	28319.3262	28945.7949	31593.8203	26869.4219	28800.8516	28243.4297	30477.9961	30810.7188	29039.6133	38503.582	25682.7441	28930.0371	26604.3613	28576.1562	30684.2949	27519.4727	30606.8535	30057.0352	31445.623	30484.8926	28471.0254	30353.5625	28526.0703	25078.2461	26588.0273	32589.4883	29392.3613	31887.5918	27550.2832	31027.375
0.1334	28299.2441	30462.002	34240.8789	30296.5449	28885.7559	28450.7246	30579.4688	32488.8066	26617.1289	28531.3594	28929.4902	30638.2324	30949.1973	29020.9824	33802.1641	26796.2617	30067.7656	26571.2773	28061.5625	30504.6172	28533.0234	30946.4961	29387.9746	30383.8223	30254.5527	30043.0879	28526.1445	27778.3047	25144.2539	26211.2559	31846.0352	28218.9883	32756.4707	26883.9199	31685.3438
0.2668	28832.7832	30982.8418	33791.6094	29650.6484	30106.6172	27849.3008	29598.2402	33743.3164	26326.7656	27835.957	30100.3945	29549.084	29934.9453	28936.3359	30665.0566	26741.3438	31792.3301	27066.8242	28954.5918	30331.25	29219.8262	30801.9141	29849.416	30656.6895	30230.4453	28169.6289	28814.8613	28224.2363	25790.209	26203.0312	30199.3984	27198.7617	32804.0039	25850.0859	30419.25
0.4003	28745.1289	30062.1719	31964.3945	29960.4824	28835.1289	28762.9512	30747.5273	32432.1875	27505.1113	27693.6562	30991.7832	30063.1445	30383.0039	28831.209	30392.9766	26282.1543	30399.4434	25867.9648	28783.9785	29481.9961	28147.7891	29885.0215	29160.1543	31731.291	29469.1582	28107.5352	28757.377	30028.2344	25343.7168	26095.084	31779.8652	28568.0625	31655.4824	26815.5957	29932.2539
0.5337	27363.5215	30855.0508	34425.4023	30231.2773	28365.4004	28216.0762	30416.1152	33046.9297	26716.4199	27643.9473	29769.0234	30952.2207	28420.8438	28689.2754	30543.9023	25855.334	31714.9902	25795.498	28562.3516	30941.8848	28503.9883	30304.4902	28976.084	30821.123	29310.6562	27114.6035	28822.7715	29349.1836	26054.0957	26970.1289	30132.3125	29942.6348	30611.8613	26715.0664	29858.6387
0.6671	27251.4453	31688.1934	33883.7578	31160.5879	29311.7969	27622.9102	30944.5859	32709.1328	27861.8809	28227.4512	30570.6426	30121.9336	28502.3496	29109.2832	30114.6133	25891.4648	31936.4141	26069.6152	28202.3203	30961.1699	26636.4824	30275.5391	29489.8223	32192.7461	28948.4316	27421.8574	28468.6621	28593.3359	26133.8496	27106.2891	29731.8828	29148.4238	30317.2676	26661.207	31819.4102
0.8005	28027.5801	30312.5703	34704.6094	30653.6719	28835.4961	28325.2891	30424.1641	33350.8047	27374.5762	29225.7266	31353	29233.7852	29755.7891	29954.252	30559.8926	26745.2441	32192.4707	26484.4707	28469.1953	30438.5918	26993.4609	29456.8008	28680.8066	32202.5254	28445.4238	28308.9512	28788.2031	29249.8457	25722.5391	27777.4238	30501.3477	28794.6094	31147.3652	27106.9238	31739.6426
0.934	28724.0137	30138.2773	35763.4062	32230.2324	27517.5254	28404.8418	30088.293	32050.5742	28466.3086	28759.3438	31851.6113	28271.8008	28852.6738	28852.8262	31188.707	26160.9473	32883.4492	27501	28648.7559	29073.6328	27606.7363	31035.5527	29466.2637	31229.4434	29459.4258	29390.5605	28597.6777	28132.9062	25392.0137	27927.0508	30982.2715	27936.375	32445.2871	27396.584	31533.2031
1.0674	28970.0762	32234.2422	34630.3516	33731.4844	28295.4766	28407.5156	29399.9785	32597.752	28601.5898	28086.582	30851.5449	28306.8047	29678.1367	29325.293	30881.5527	26963.5977	33100.0469	28874.291	29010.8223	29759.1133	27292.5918	30668.6055	30309.623	32382.6328	30729.2578	29472.8164	28443.2871	29046.2715	27363.043	28907.8828	30605.6621	29155.8105	31742.6562	27876.5957	31067.4512
1.2008	32054.166	32190.0801	35365.6523	35767.5742	28861.7109	28705.6855	29155.1758	32811.6836	28287.5996	28876.8574	31122.5352	29020.8242	30601.2246	29732.9102	31948.293	26993.2246	37382.6367	28906.9277	30737.2441	30296.3984	29143.5996	30110.7031	32023.6387	33220.8984	31420.4336	30829.3691	30556.9336	29810.7266	27155.623	29344.0898	31155.6387	31547.627	31239.4824	31057.2793	32127.5176
