x	Y_20181208_15100_1_5g	Y_20181208_15100_13_1g_left	Y_20181208_15100_15_2g_left	Y_20181208_15100_18_6g_left	Y_20181208_15100_19_6g_left	Y_20181208_15100_21_1g_left	Y_20181208_15100_5_10g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g_left	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g	Y_20181208_15100_1_3g_right	Y_20181208_15100_11_1g_right	Y_20181208_15100_13_11g	Y_20181208_15100_15_10g	Y_20181208_15100_15_3g_right	Y_20181208_15100_15_8g_right	Y_20181208_15100_15_9g	Y_20181208_15100_18_7g_right	Y_20181208_15100_22_20g	Y_20181208_15100_23_6g	Y_20181208_15100_24_3g_right	Y_20181208_15100_30_5g	Y_20181208_15100_32_7g
0	11280.0566	13617.6318	13537.0254	13996.7881	14575.2021	12059.3848	12032.1602	13579.3662	13809.9111	12992.1152	13425.6152	10651.7422	11148.3564	12296.0664	12300.5078	11463.2168	11910.2227	12272.7588	10487.125	11204.3965	11153.0039	11679.0547	13480.2383	10365.6416
0.1334	11757.1387	15615.2373	13442.4834	14965.5723	14030.7734	12981.8574	12902.6748	13367.1689	12895.5801	13178.8408	16400.8828	10901.0166	11075.9395	12779.0508	12399.5303	12268.0156	12647.8574	12198.9893	10975.6816	11236.7217	12666.1914	12640.4854	18071.4609	10718.6348
0.2668	11809.5439	17879.5723	14508.75	15577.958	14319.8408	14207.5107	13544.1367	13662.877	14353.2168	14126.3799	18779.9238	12927.7646	12612.667	13229.7051	13528.6445	13388.7559	13237.4717	13049.7051	11659.3516	11837.376	15285.6592	12708.2031	21192.3906	11574.1357
0.4003	12532.1816	19796.4512	15479.8818	17125.627	14579.1729	16620.9316	13816.6162	15953.9141	15276.3936	14135.665	18078.9355	15331.5176	14783.6016	14202.7109	16649.7305	14917.7461	15785.3408	15077.3965	14875.5859	13561.082	20345.2305	12894.835	19752.8516	13041.6396
0.5337	14280.9561	20591.9707	17987.4316	20053.3379	17894.0059	19818.7559	15085.2549	18753.5625	18995.5469	16990.377	16558.5566	16610.1914	17740.3203	15812.3545	20000.6836	16501.0137	18648.5703	17207.8105	16557.0547	16046.2275	19028.6387	14989.3428	17893.2871	16598.082
0.6671	17014.9395	17580.9355	20929.5957	22299.2188	22395.7207	22615.6328	17278.2188	18264.7383	24100.4727	21959.9316	14756.5342	16479.375	17808.7012	17788.8047	19499.6562	16650.4434	17966.5137	17246.5312	17245.2383	15258.0928	15042.375	15235.5078	16466.9609	21238.6387
0.8005	20027.7031	15732.7432	20465.1816	21353.9199	26103.166	22202.1875	21479.5879	16345.0635	25607.0645	24916.6953	14285.4863	16352.7949	15072.082	19230.2285	18917.793	14866.2969	16525.375	15993.8047	17719.166	14072.6328	14720.5049	14332.3877	16661.6387	17158.5879
0.934	24185.8984	15302.3574	17124.5078	20786.4395	23075.9727	18061.8398	21878.0273	15131.0625	21290.4277	21910.1875	12907.4775	15706.9131	15517.3867	20207.1055	16536.7246	13200.876	15302.5488	15051.5996	17259.5391	13387.1514	13575.7275	13717.7363	14939.1172	15703.3105
1.0674	26382.5215	14388.0488	14862.623	19116.4629	18782.6797	17452	21454.4707	15329.708	19173.127	17270.1836	11867.8311	14817.46	14575.1729	18818.2148	14585.4141	13307.417	12770.1562	14761.4639	15962.3936	13134.001	14628.5762	12462.6904	13930.6328	15483.8447
1.2008	22656.541	14316.8389	14740.168	18040.8574	16383.1953	17098.4629	21634.1602	17731.6582	18692.5488	14741.3701	11114.9199	13483.0088	14446.2412	18832.9082	14201.6318	13690.7637	12102.3438	14578.4619	13037.3027	13393.6133	15303.0625	12591.1953	13736.7168	16022.1211
1.3342	17898.2461	14229.2129	15062.9697	17747.707	15494.3154	17166.4043	19164.4805	19890.7852	20656.3223	14434.334	11405.167	13750.4102	13220.8486	17608.9395	13551.5654	13896.2334	12300.4551	13407.8174	12919.3418	13340.4209	15641.5918	14013.2666	12863.6621	15086.3379
1.4676	17285.6016	14918.5098	16650.9961	17126.0312	13663.54	16143.7266	16697.8789	19735.7559	20375.7422	14997.7969	11414	13458.0859	12492.501	17413.9609	13558.3105	14389.7285	13165.6562	14297.416	13388.4092	12638.0938	14264.6543	14771.3525	13304.7754	15753.9062
1.6011	17010.9375	14224.4375	17792.9551	17732.3984	14274.915	17546.5078	14886.5635	19487.0371	18340.2539	14680.0723	11087.7256	13754.9229	13020.0635	16969.5703	15034.0625	14923.5049	13841.3242	14891.9668	13733.9512	12774.7158	14101.457	15178.5742	13899.1855	15918.4961
