x	Y_20181208_15100_11_4g_left	Y_20181208_15100_14_1g_left	Y_20181208_15100_16_1g_left	Y_20181208_15100_6_10g	Y_20181208_15100_6_3g_left	Y_20181208_15100_6_6g	Y_20181208_15100_7_8g	Y_20181208_15100_13_10g_right	Y_20181208_15100_14_1g_right	Y_20181208_15100_16_1g_right	Y_20181208_15100_21_8g	Y_20181208_15100_22_11g	Y_20181208_15100_22_21g	Y_20181208_15100_26_3g	Y_20181208_15100_27_4g	Y_20181208_15100_3_1g_right	Y_20181208_15100_30_3g
0	31341.8281	35144.7773	27618.9277	32206.8574	29562.1562	31247.4082	31386.3027	26762.6113	23360.8008	28245.5312	30026.3145	32182.9648	27743.1426	29261.8555	28373.1934	31813.0645	31987.7578
0.1334	31402.2617	31087.2148	28150.6035	32959.0977	28950.123	30913.6387	29232.3047	27203.1895	23528.3887	27122.8105	31312.666	33245.6484	28090.7383	28149.4746	30070.3652	32349.6992	33607.668
0.2668	31618.168	29266.1602	27366.4336	31631.1309	29229.3789	31579.3984	29406.377	26768.5996	24144.1738	28074.3438	31453.2949	31078.4473	27613.8398	28524.6699	30030.4395	31492.2207	31926.4609
0.4003	31558.3105	29533.127	27491.2969	33315.6562	30124.6523	32078.0996	31554.0938	27410.6094	23449.5684	28178.9609	30242.8965	31169.1699	27391.6035	29369.5762	30116.1074	30442.9707	31909.5215
0.5337	31807.293	29336.6523	27635.4922	33245.4688	31579.1367	30201.5664	31695.4824	27441.4102	24363.8535	29078.3984	30574.4551	32825.6289	28271.8027	29765.2598	28927.5566	31297.582	30323.7422
0.6671	32661.5566	28843.7852	27525.2656	33409.3984	30957.1328	29578.8145	31633.2363	26764.6699	24029.6289	28253.3906	31535.3516	32357.5391	28252.0352	29794.5703	28939.3496	30808.0098	30942.8047
0.8005	32354.9277	30572.9375	26460.3691	32161.8984	31553.1562	31319.0078	32088.1094	26462.3828	23411.6172	28240.9004	31023.748	33507.7656	27854.3105	29882.8594	30157.2012	30515.8223	33599.75
0.934	33290.2969	28006.3848	26239.5781	31763.3379	31270.7324	30845.4863	32296.166	27396.4004	23280.0391	27512.7305	33368.9961	32995.1719	28721.2051	30671.6738	29724.9727	30116.3594	31711.8672
1.0674	34152.9766	31219.1328	27574.1621	31500.9395	31858.4492	30706.0098	32093.5156	25673.5156	22521.3145	26752.9199	32956.6992	31708.9395	29512.2383	29712.4316	29794.2695	31887.5371	31114.2852
1.2008	33774.125	30398.2383	27604.2754	31998.7676	32197.5371	30935.2383	31935.6719	25910.8594	22921.4238	28212.4941	34854.4414	31671.9004	28011.2871	29098.9668	29352.5117	30991.3145	31782.4668
1.3342	33811.0938	28534.2715	27270.0059	32038.8887	31806.9473	31839.2598	32690.6289	26747.9414	22384.3633	28742.2988	33665.9961	32766.6211	28594.875	29929.1816	29140.4648	30234.6465	30889.4551
1.4676	32040.4336	28937.0098	26872.7539	32904.8828	32589.5371	30234.8086	33041.4805	26960.4922	23903.8438	28099.584	32778.1719	33804.6328	27119.9922	29720.2324	30361.8867	31006.1152	30967.0117
1.6011	32060.541	30994.9043	26988.3398	31668.0059	33656.2969	31631.4707	32320.707	26408.2695	22775.5332	27717.9863	34753.3242	32672.5645	29022.916	30402.3594	30507.4082	31993.0879	30653.6367
1.7345	32676.6094	32351.8242	28545.4922	30963	34777.7891	31313.9043	34159.7188	25776.8691	23872.8535	29216.0332	34831.9219	32182.0098	28904.7617	29975.3398	29670.3516	32782.7539	30361.166
1.8679	32075.1133	36918.9141	27886.6387	33256.9648	38215.1445	30484.4121	35858.1523	27271.7031	26827.3555	30631.1621	36604.5039	33020.9961	29099.5078	30709.4492	30059.8457	31620.748	31969.4844
2.0013	33272.9336	36043.043	29174.0625	33845.0547	41449.8672	33200.0703	40489.5859	27028.1035	33352.9727	32810.9219	36012.3438	34337.9805	29029.6348	30655.0684	31443.7012	31603.9824	33792.3867
2.1347	34262.5938	48063.8867	28046.0625	36110.7734	49085.4688	32649.6328	50406.457	27369.7129	45420.3203	38163.9023	38263.7344	34774.2734	29510.9785	32963.6758	31626.3184	32438.125	36814.4727
2.2682	36665.9961	77263.4609	30627.8242	41466.6328	68528.3047	34074.5078	71975.2188	28210.6113	67553.8906	58671.4102	49062.2188	36061.9688	31803.918	36665.8047	33406.4492	36298.1055	43704.7891
2.4016	38010.5117	132996.9219	33671.0234	56233.4102	114185.875	35807.832	76000.2891	29280.7695	70244.4531	92605.0391	77053.3984	37077.9141	34020.3359	44849.1836	38574.1875	41299.7891	61241.125
2.535	48965.793	160240.2031	41397.125	88038.4844	142890.2969	42937.5039	60526.2969	33462.3867	48884.1641	109500.7891	121866.6719	42744.3125	41426.9219	67419.2734	52057.4258	50517.4414	85089.6719
2.6684	67700.9141	120914.0625	60850.5547	124119.9531	110291.6016	62074.1523	44718.4961	42983.5508	34009.668	81620.4375	137006.6875	57008.2734	55446.3867	84845.7266	75876.0625	74009.6875	93967.6484
