x	Y_20181208_15100_18_2g_left	Y_20181208_15100_9_2g_left	Y_20181208_15100_20_5g	Y_20181208_15100_21_6g
0	30860.0645	27221.0195	31170.9004	31437.9258
0.1334	31422.8613	27136.2246	30841.6387	32367.6406
0.2668	32393.3379	27779	30889.668	30913.9668
0.4003	31640.873	27821.1152	30969.752	29605.5801
0.5337	32118.375	27963.5137	31366.5605	31210.0312
0.6671	31755.1543	30907.9609	30942.2949	30785.4004
0.8005	30968.7051	30149.9707	31927.4688	30168.2422
0.934	31547.5098	30849.7559	31122.1543	30302.4746
1.0674	32140.3984	30300.0234	30386.9785	30952
1.2008	31672.4375	30926.918	30397.9277	31397.6348
1.3342	31583.2773	31505.0605	31481.2188	31925.5781
1.4676	32003.2012	30907.4863	29333.2969	32038.1484
1.6011	31130.332	31339.3086	30055.8223	31817.4922
1.7345	31183.3457	30824.0234	29213.7734	31069.9844
1.8679	31202.7852	29860.0078	30180.9785	32214.5625
2.0013	31814.9902	31405.6289	29972.5996	31630.168
2.1347	31590.0254	31063.9316	31161.8828	30554.416
2.2682	32050.2012	32225.8066	32983.8789	31403.709
2.4016	32868.3359	31724.0664	31197.7988	32076.002
2.535	32552.9219	32837.9609	31603.1055	32141.9805
2.6684	33432.332	34536.7422	32680.0332	32366.6895
2.8019	35777.7344	39368.5781	33183.4531	34482.1875
2.9353	39776.5195	53156.2422	36851.4492	36020.293
3.0687	52722.875	77350.4531	47093.3477	39919.6602
3.2021	83383.1797	108962.2812	73468.1797	50261.6641
3.3355	106057.9062	120412.3672	95542.0234	76815.9531
3.469	90045.3047	89865.8047	87064.9062	128345.5938
3.6024	59939.3555	55326.2266	64580.9883	151171.0312
3.7358	44602.7305	39903.6992	48121.9492	114178.3125
3.8692	38107.0859	35732.0234	39371.1367	63826.3711
4.0027	34104.4062	32045.6504	36666.4023	42552.2578
4.1361	32833.3281	32414.0703	33837.7031	35372.6289
4.2695	31676.5352	NaN	33518.832	33241.7109
4.4029	31726.0312	NaN	NaN	31403.2578
4.5363	NaN	NaN	NaN	30721.5332
4.6698	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN
