x	Y_20181208_15100_17_2g	Y_20181208_15100_17_3g	Y_20181208_15100_18_2g	Y_20181208_15100_18_4g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_27_2g	Y_20181208_15100_4_2g	Y_20181208_15100_5_14g	Y_20181208_15100_7_2g	Y_20181208_15100_9_2g	Y_20181208_15100b_14_8g	Y_20181208_15100b_15_7g	Y_20181208_15100b_20_5g	Y_20181208_15100b_21_6g	Y_20181208_15100b_24_2g
0	13050.5195	10557.7676	11810.2803	12045.4834	10642.582	9838.3525	12118.8662	9704.2236	10832.3203	15733.3721	10536.6318	9914.1504	12953.9023	10821.79	12206.6387	10640.1035
0.1334	16232.9004	11149.2676	12631.4736	12556.9355	12557.5215	10043.5137	14596.2539	10815.5498	13194.2646	21156.2539	13739.3447	10642.623	17913.8633	11793.0371	12192.4639	11753.2432
0.2668	17594.5684	13443.4336	15763.501	12555.54	14383.1729	12906.7871	19423.1797	12916.3086	15771.1787	22827.123	20825.4453	11851.2705	22656.623	14204.1699	12782.498	14174.3672
0.4003	16308.8398	16371.4512	19787.25	13173.7119	19765.2422	17784.082	23220.5195	17465.2344	16529.8496	19018.5938	24366.5293	12788.2031	21098.1328	17676.9492	15906.3281	15463.3301
0.5337	15137.0762	19084.084	19366.3828	16001.3896	23956.5566	24951.4941	23648.1074	26814.1953	15981.6562	17270.2148	20652.7129	12732.8955	16428.2148	17376.5195	19260.1719	14875.6123
0.6671	13811.6729	17716.3262	15955.7383	21528.5488	22639.3125	29371.6602	19752.0957	30549.0742	15721.5527	15859.6504	16941.3242	12962.9961	13830.8037	16299.0195	19547.8184	13433.0527
0.8005	13571.4971	16317.9141	16165.8174	23869.668	18779.9414	27731.7441	17566.4844	24678.5625	14932.0703	14934.4756	14787.292	13983.2881	13447.623	14671.6416	18176.2676	12329.0957
0.934	14085.7598	15090.2275	19681.3711	21685.5977	18468.4141	24136.7637	16608.8086	18880.7734	15082.2686	15109.6445	14379.7139	16263.6494	13416.1055	14986.3389	15721.459	12009.7715
1.0674	14268.0781	14371.124	21864.6152	19181.2578	17848.2246	19907.7598	14919.6963	16703.5098	14451.8154	15647.2646	14020.6689	18178.4844	12644.5713	16453.1289	13826.4473	12087.1172
1.2008	14335.0439	14004.1494	22206.541	18026.8223	16523.5918	17658.082	14384.3984	15212.5625	14043.6084	16460.9961	14006.4033	16495.4492	12571.6084	16077.709	13518.1494	12797.3057
1.3342	14619.9951	13939.3223	20529.0723	17312.2812	15636.1777	18461.0195	14451.083	14870.6357	14264.7402	15858.6201	13916.7461	14670.7344	12859.9893	14699.9092	13063.1953	13031.9941
1.4676	15124.9326	14399.9541	19087.709	17712.0898	15863.3379	19952.832	14093.9844	14967.3066	14144.3174	15591.9414	13557.1162	13407.9336	14211.7285	13629.6807	12885.1904	12997.7363
1.6011	14607.8037	15260.4912	17795.9531	16287.3037	15617.0664	19007.9883	14440.084	14829.4717	14878.2461	15246.5312	14603.8047	12849.8818	13793.1123	13034.7607	12218.748	13108.5693
1.7345	14141.3262	15598.9414	16598.9922	15766.1572	15369.9199	19071.3672	13690.2188	14277.6631	16484.377	14098.9043	15242.7891	11816.3203	14435.2285	12861.0791	12570.9062	14982.6348
1.8679	12595.9707	15226.9375	15456.2197	14084.2969	15099.8027	18128.7344	13579.8262	13936.5615	16806.6309	13632.7041	15764.5195	10991.5586	14663.7314	13940.6074	12480.9541	17146.5254
2.0013	13592.0928	15394.6133	16029.5127	14498.9209	15641.5166	17282.0234	13532.5898	13125.1094	14101.5713	14213.8057	16334.6523	11288.5332	14223.4746	14711.9121	12338.2002	16353.4834
2.1347	13579.2012	14158.1348	15325.7432	13855.0918	14675.9375	17418.3398	13797.4844	13486.459	12862.6797	16107.416	14966.9746	11126.5254	13862.5986	15793.0488	12628.377	14935.8301
2.2682	13216.5615	13538.5098	15199.5576	13297.8301	14389.5273	16241.9619	14268.7734	13606.9453	13737.8828	17202.2129	14579.7783	10736.0986	14912.8184	17080.6543	12893.2695	15054.4082
2.4016	14177.2441	12737.6758	17196.7793	14006.8447	14360.2207	14988.3896	14134.7139	14490.4346	13887.9102	19026.957	14243.2041	10678.1992	15479.0811	16961.7539	13445.5703	14541.0713
2.535	15033.5371	11816.0801	17844.123	14693.4053	14141.5527	13501.5068	13928.998	14504.4824	13673.8613	19170.8926	14050.4287	10721.6953	15394.9932	18601.7793	14501.5303	14319.6309
2.6684	14733.1807	11748.7393	18194.6426	15961.5312	15412.8438	13795.9688	14791.1689	16420.7168	15494.2881	18472.1621	13819.833	10640.042	15050.9033	20401.1465	14746.4434	12961.4717
2.8019	14357.4736	11539.0107	20230.5605	15170.9199	14973.0225	15083.5098	14348.543	18874.6035	15747.5752	17003.8477	13704.1846	11346.4854	14478.2734	19625.9121	16059.9443	12687.207
2.9353	13787.2939	11695.2559	17497.4531	15598.0605	15699.248	15945.2031	14410.7842	18485.2227	14693.3555	15569.0303	13675.6348	12382.8438	14796.085	17832.5664	15523.7266	13247.3887
3.0687	13377.2314	11378.0059	15977.0811	14763.334	14936.0967	16838.6719	14576.2539	18586.6797	14009.75	15583.626	13551.7051	12773.5693	14723.0449	16305.6113	15184.0264	12296.0996
3.2021	13166.7168	11925.2412	15102.8359	14702.4355	15211.0322	16619.4355	14794.1006	17625.0117	13995.4014	15120.0566	12920.0781	14956.2256	13698.0195	14723.4648	14097.8965	11881.3477
3.3355	13031.9297	12581.8926	14343.7949	15922.4541	13740.3281	17583.7363	13433.2227	14661.0059	13465.5781	16248.4062	12014.252	14260.0684	12070.7168	13831.835	12735.0166	11882.6689
3.469	12706.6738	12817.8652	13411.6826	16550.4141	14209.4707	18224.998	12527.3174	12670.4697	13369.9814	17779.084	11351.21	13374.8428	11116.5186	13371.5967	12234.6074	11723.9658
3.6024	NaN	13643.6738	13534.2256	16777.6602	13567.9443	16268.7646	12052.1123	11325.7705	12986.8135	20232.3457	11026.2676	13008.0635	9886.874	13986.8242	12750.71	11354.3545
3.7358	NaN	13277.334	13412.6787	17233.9297	13551.332	14126.2764	11817.0957	11079.5986	13082.1533	NaN	10271.3877	11933.2109	NaN	14223.3467	12237.0605	10657.6133
3.8692	NaN	12518.2891	12791.25	16318.8018	13399.917	13414.6426	11887.3408	9959.8125	12004.4932	NaN	10415.2695	11459.1963	NaN	13800.5117	11771.5957	NaN
4.0027	NaN	11993.7705	13076.2891	16774.6328	12705.5615	12755.8848	11375.4404	9160.1934	12111.1758	NaN	10341.3135	11072.8457	NaN	12576.6074	12242.9336	NaN
4.1361	NaN	11907.8096	13196.3174	15398.9727	13113.0029	12399.8359	11688.6943	9123.959	NaN	NaN	10567.7783	11291.4688	NaN	13054.9014	11872.0391	NaN
4.2695	NaN	12364.7578	13342.4873	NaN	13026.627	13439.3906	11729.9082	8641.8955	NaN	NaN	NaN	11484.8057	NaN	13422.4189	11643.1484	NaN
4.4029	NaN	12669.8594	12769.2393	NaN	12691.7998	13347.3789	11091.8965	NaN	NaN	NaN	NaN	11014.126	NaN	NaN	11295.4111	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	11229.2598	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10896.002	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
