x	Y_20181208_15100_7_3g	Y_20181208_15100_8_3g	Y_20181208_15100b_1_3g	Y_20181208_15100b_13_15g	Y_20181208_15100b_19_9g
0	9760.7168	10853.249	11261.1875	15257.4395	10815.6309
0.1334	10888.2881	10606.4316	10938.9219	17121.7461	11247.1777
0.2668	13495.6211	13134.8691	11293.3516	17724.793	11840.0264
0.4003	15393.1289	15805.6377	12708.6904	17506.4316	13482.4512
0.5337	16145.5381	16339.834	14902.6436	18191.584	15917.0908
0.6671	14930.1895	16929.9746	16301.7061	17613.1562	15767.6035
0.8005	14760.0449	15462.5098	15781.7422	17012.0332	14662.1602
0.934	14179.7607	15589.9434	15155.0391	17419.9062	14167.0752
1.0674	14265.8301	14960.6406	14971.1631	17027.7871	14967.6191
1.2008	13845.7139	14808.8779	15120.7881	16985.332	14546.1045
1.3342	13474.3408	13902.8379	15339.1523	16785.6406	13627.0537
1.4676	14300.6641	13721.4033	15006.917	16488.0918	14058.4404
1.6011	14592.3945	12971.9678	14665.4678	16613.8828	13839.7412
1.7345	14839.1777	13841.1211	14332.7949	16573.3086	13294.5811
1.8679	16044.2471	14343.708	14136.9102	16324.2207	12565.5654
2.0013	14976.5518	15047.4355	14676.6934	15299.9053	13359.6406
2.1347	14104.2246	16475.9746	15022.543	14120.4238	13363.8037
2.2682	14968.8672	16214.5078	14336.3594	14132.5791	13495.5947
2.4016	14588.0322	14780.5049	14131.5898	12424.2852	13538.8535
2.535	13513.8438	13897.4941	13491.2344	11659.8691	13179.7568
2.6684	14320.1465	13277.0225	13154.2383	11775.874	11950.2646
2.8019	12974.4414	11841.7432	13949.1357	12367.6094	12357.5908
2.9353	13180.5488	12202.7979	13084.1885	11847.1279	11910.2773
3.0687	13502.5254	12156.0957	12336.2266	10847.3271	NaN
3.2021	13377.2471	11752.5352	NaN	NaN	NaN
3.3355	NaN	11914.71	NaN	NaN	NaN
3.469	NaN	11522.125	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
