x	Y_20181208_15100_11_3g_left	Y_20181208_15100_18_1g_left	Y_20181208_15100_11_1g_right
0	10093.8867	11385.875	9878.4287
0.1334	10343.1426	11348.5967	11184.6807
0.2668	11680.1572	12728.8086	13997.7422
0.4003	13112.8428	14948.5117	16799.4531
0.5337	15264.6201	15872.7402	18599.7129
0.6671	14909.3271	15436.4355	18062.6113
0.8005	13447.1963	15675.0879	16781.1719
0.934	12973.3564	15082.6895	15233.167
1.0674	12749.3154	13475.3154	15204.2598
1.2008	12884.1211	13939.3584	14417.6777
1.3342	13543.0576	15456.2803	13778.082
1.4676	12701.0645	15318.4336	13735.6016
1.6011	12699.7705	13985.5186	14252.6914
1.7345	13865.6309	13031.0303	14603.5205
1.8679	13614.3672	13609.0566	14682.6484
2.0013	13339.9121	15211.3779	14815.5801
2.1347	13817.1416	16553.6953	14987.498
2.2682	13332.2998	17476.8535	14546.6865
2.4016	12864.708	16390.7598	14482.3301
2.535	12325.9561	15347.1025	14904.0615
2.6684	11210.208	15080.3213	14563.8867
2.8019	11271.5908	13858.252	14085.5635
2.9353	10939.335	13201.0576	14038.1133
3.0687	10526.7217	13427.2275	12874.5049
3.2021	10273.0977	12925.8223	11249.0088
3.3355	10017.3682	13025.8027	11260.7891
3.469	10053.2178	12787.6953	10376.4961
3.6024	9950.2344	12218.6924	10796.0273
3.7358	10041.1934	12121.6816	10834.7275
3.8692	NaN	12384.5342	11139.2891
4.0027	NaN	12660.4688	NaN
