X	Y_20181208_15100_1_1g	Y_20181208_15100_1_2g	Y_20181208_15100_1_3g	Y_20181208_15100_1_4g	Y_20181208_15100_1_5g	Y_20181208_15100_1_6g	Y_20181208_15100_1_7g	Y_20181208_15100_10_1g	Y_20181208_15100_10_2g	Y_20181208_15100_10_3g	Y_20181208_15100_11_1g	Y_20181208_15100_11_2g	Y_20181208_15100_11_3g	Y_20181208_15100_11_4g	Y_20181208_15100_12_1g	Y_20181208_15100_13_10g	Y_20181208_15100_13_1g	Y_20181208_15100_13_2g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_13_5g	Y_20181208_15100_13_6g	Y_20181208_15100_13_7g	Y_20181208_15100_13_8g	Y_20181208_15100_14_1g	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_14_4g	Y_20181208_15100_15_1g	Y_20181208_15100_15_2g	Y_20181208_15100_15_3g	Y_20181208_15100_15_4g	Y_20181208_15100_15_5g	Y_20181208_15100_15_6g	Y_20181208_15100_15_7g	Y_20181208_15100_15_8g	Y_20181208_15100_16_1g	Y_20181208_15100_16_2g	Y_20181208_15100_16_3g	Y_20181208_15100_16_4g	Y_20181208_15100_17_1g	Y_20181208_15100_17_2g	Y_20181208_15100_17_3g	Y_20181208_15100_17_4g	Y_20181208_15100_17_5g	Y_20181208_15100_17_6g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_2g	Y_20181208_15100_18_3g	Y_20181208_15100_18_4g	Y_20181208_15100_18_5g	Y_20181208_15100_18_6g	Y_20181208_15100_18_7g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_3g	Y_20181208_15100_19_4g	Y_20181208_15100_19_5g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_2_2g	Y_20181208_15100_2_3g	Y_20181208_15100_2_4g	Y_20181208_15100_21_1g	Y_20181208_15100_21_2g	Y_20181208_15100_21_3g	Y_20181208_15100_22_1g	Y_20181208_15100_23_1g	Y_20181208_15100_23_2g	Y_20181208_15100_23_3g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_25_1g	Y_20181208_15100_25_2g	Y_20181208_15100_26_1g	Y_20181208_15100_27_1g	Y_20181208_15100_27_2g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_3_4g	Y_20181208_15100_3_5g	Y_20181208_15100_3_6g	Y_20181208_15100_4_1g	Y_20181208_15100_4_2g	Y_20181208_15100_5_10g	Y_20181208_15100_5_11g	Y_20181208_15100_5_12g	Y_20181208_15100_5_13g	Y_20181208_15100_5_14g	Y_20181208_15100_5_1g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_4g	Y_20181208_15100_5_5g	Y_20181208_15100_5_6g	Y_20181208_15100_5_7g	Y_20181208_15100_5_8g	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_1g	Y_20181208_15100_6_2g	Y_20181208_15100_6_3g	Y_20181208_15100_6_4g	Y_20181208_15100_6_5g	Y_20181208_15100_6_6g	Y_20181208_15100_6_7g	Y_20181208_15100_6_8g	Y_20181208_15100_6_9g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_4g	Y_20181208_15100_7_5g	Y_20181208_15100_7_6g	Y_20181208_15100_7_7g	Y_20181208_15100_7_8g	Y_20181208_15100_7_9g	Y_20181208_15100_8_1g	Y_20181208_15100_8_2g	Y_20181208_15100_8_3g	Y_20181208_15100_8_4g	Y_20181208_15100_8_5g	Y_20181208_15100_8_6g	Y_20181208_15100_9_1g	Y_20181208_15100_9_2g
0	33084.668	34980.8906	31452.1289	32372.0762	32195.9082	32034.9688	34147.9023	30101.2441	33040.1055	33013.4766	32568.9297	35379	39668.5117	35815.332	37936.9688	31955.3711	31108.6973	31970.2891	30923.3594	31364.4824	52817.4609	34074.2695	36689.5	30099.7539	32707.3848	35600.3008	35513.7656	27561.7461	32161.8672	38812.5586	35354.3516	45823.4102	34070.8398	35836.6016	40575.9727	31350.3965	67698.9219	30332.75	38199.6523	48572.4727	31661.4707	42828.8555	31727.1367	29768.3027	33805.3867	28966.3691	28653.2168	51883.1289	31726.0312	50941.1641	33168.7773	33891.5156	34626.8047	37572.1406	29976.4473	35278.7305	34134.3516	33183.7812	28435.918	35647.4375	30958.5723	45338.3008	36537.4844	33270.1992	48776.6211	34659.8203	97554.4844	33282.4688	33895.0703	34175.2891	32341.7812	32317.4141	32520.7441	34315.418	36179.6914	36380.4727	31540.1465	34818.3086	43584.1367	35296.4648	31994.7148	32482.1875	32948.6875	31369.6484	29298	31868.5273	32501.1367	34477.1211	34508.2812	38580.25	32394.0332	34641.8906	30091.6016	30235.9629	29994.3867	36060.8516	34266.2891	27318.1816	35153.5195	33435.3984	33441.6484	32258.709	32222.0391	34741.2891	30597.8613	28130.793	30030.6133	32826.8711	27721.9727	37133.9297	88757.3047	48668.6953	32714.1562	35743.7734	33351.9766	31136.3027	36765.1641	28306.252	37320.6367	34199.7773	30808.5371	41970.5352	37625.1133	35609.1641	30335.4785	33311.0938	34869.4961	32414.0703
0.1334	33881.8047	36293.3125	31720.5781	33215.7617	32900.2383	33465.7305	32531.4453	30506.2461	32318.8438	32483.0078	32086.541	35769.0352	40824.6523	36120.5391	40673.5703	32853.9297	33239.625	31240.1465	33750.0039	32771.7773	53019.5547	32003.8555	39422.9492	29418.2383	35654.2578	36398.1094	33814.4492	28041.7676	32239.7617	38218.4727	36113.7109	41502.2266	35203.6914	35771.6289	42947.7461	29793.5762	61358.0547	32926.9727	35183.0273	46060.3047	32293.1445	52121.9609	30464.3828	33680.2148	34875.207	28916.3516	29607.8359	44766.0352	31676.5352	44396.3984	33366.2344	36197.5234	35768.8789	38073.0742	31255.4648	34018.2188	36223.7617	34114.5195	28739.6113	37768.2109	29815.252	40991.7148	37361.7188	32869.4258	51763.7773	35300.9648	62451.2734	33108.1172	34605.4961	34135.9453	31840.3301	35244.9219	33072.6602	33403.4883	39156.3594	36169.9141	30906.9629	34718.5312	39615.0664	36444.2148	34529.5938	32781.7617	32679.6191	33906.0547	29549.6152	31260.1504	32788.0859	34689.8164	34544.957	37893.1992	33945.4844	34036.2148	31586.5469	31143.3945	30144.4551	40152.1289	34248.25	26486.498	35872.4922	32400.8926	33611.0664	32335.7852	31841.666	34133.25	31333.2441	30219.6289	29248.375	37152.9688	26771.0938	37130.3555	61601.5781	44576.6562	33343.7578	33930.8672	33413.9648	32664.3105	35286.5195	29298.9922	44718.4961	34498.1875	32133.9004	40924.8984	39297.4219	35353.125	30831.3086	34834.2266	36430.6445	32045.6504
0.2668	33502.7188	41938.5625	31143.4258	36257.4531	35046.2852	32364.7012	35954.0625	33303.0312	32534.7832	32231.4902	32461.6758	36947.9609	50293.8477	37443.4062	48742.6875	34517.9844	37333.0625	32457.873	34958.2422	34946.7812	69142.1875	32299.8457	41878.0664	30073.4316	36877.2539	36504.8516	35840.3047	29594.0918	33995.8281	39792.9883	41695.9297	42373.0625	35433.4766	42733.6211	51626.3984	32654.8496	78569.5859	37543.9297	38096.2578	46464.7031	36655.2266	73134.6016	30148.8027	37316.0234	39611.4453	31427.9141	29519.8438	41565.3203	32833.3281	50854.0859	35564.3086	40189.6172	38815.9258	38296.7852	34160.3828	34458.3477	35755.9648	34882.5195	29456.2266	40733.5156	30840.7617	41629.0547	38160.5117	33430.1797	64434.5117	34995.9297	53042.2305	34129.7969	36751.582	36167.8789	33347.5	46040.3555	33908.3594	35080.6602	42967.4062	35602.3516	32065.5293	36222.457	42093.4258	37396.7344	37303.1016	33475.0352	34093.1328	40655.5117	29650.2383	35966.5078	31439.2461	37675.2656	35829.3711	38703.9922	34726.6406	34979.0117	32682.9531	31753.3828	31407.0039	43650.2812	35095.8906	26971.9707	40868.6484	34815.0312	33994.2812	34016.0156	32284.1367	35138.3359	32252.5566	32536.002	28946.0215	41185.9844	30397.1992	37115.4492	61328.6836	55130.2773	37397.2305	34535.875	32618.1074	34711.4375	33366.0508	33477.0352	60526.2969	42420.9258	33700.7461	45997.543	43843.5469	36864.3711	31599.4062	37240.9023	45170.5742	35732.0234
0.4003	34077.8359	53099.6719	32005.4746	40806.1758	34590.0859	36161.1055	49863.4844	40191.4336	34217.7266	33885.3008	35070.6328	46143.6328	69921.9844	41684.9766	73515.0078	35346.1719	50003.0117	34485.8789	41540.4883	37202.7383	111692.9141	32826.2148	59202.6484	31555.5762	45196.082	38702.5273	42903.25	30556.0723	35206.0625	42120.6602	52250.2383	49466.6641	35589.1094	53567.1641	73593.7812	33336.4492	82920.0391	51805.4766	43913.0664	59793.0781	44461.6719	96953	30412.6641	46510.3047	51954.1289	33771.5703	31161.9902	41367.6758	34104.4062	60896.7422	40231.0508	45047.3086	44086.0312	40647.7617	38480.7773	36396.8516	38818.2344	36628.7812	33084.4844	56501.4492	32272.9941	44970.9023	43751.0781	35140.7812	77430.5391	36089.6055	60714.7266	36269.3516	41275.7578	38551.9609	33197.668	57790.8164	37609.3086	44229.5391	56608.9609	39877.9844	33257.1992	38135.7031	56074.707	41068.2422	42151.4023	36023.3359	37665.707	59828.1094	31074.9512	43374.8086	30924.5762	42436.8281	41814.2344	41224.3008	38884.6602	36748.793	31929.0156	36272.3164	32403.7188	57741.5977	34272.6094	27630.291	57439.8906	40008.3281	39110.418	34403.8828	36995.1328	37419.918	35105.5078	36264.8281	30341.6328	54998.4492	29894.6367	39157.4609	84940.7031	86457.4844	48687.5977	39895.3164	34827.3359	39350.2812	34823.6484	39570.375	76000.2891	63919.0469	36489.9727	55430.3789	52008.9805	39131.4688	34849.332	41273.8008	68734.9297	39903.6992
0.5337	40867.4883	81522.7969	37078.9961	51590.7344	36149.7812	42132.8789	72581.0156	59377.6602	41593.5273	35914.3438	40996.1523	66964.2969	109305.1484	52205.4883	105799.7578	39050.418	73299.7891	37972.7383	61819.2109	44668.6094	144262.0625	34280.9961	87886.2188	33825.7305	69516.8984	45373.3477	59264.7031	37213.2227	38611.7891	54992.3945	84048.25	75818.9453	37384.9844	72377.7969	109376.5469	36728.5742	60850.5547	80066.2344	61518.9688	92265.0391	67068.375	80930.6016	33106.5742	63445.5742	71951.7188	42256.9609	32514.8008	45566.4688	38107.0859	56903.9727	48540.8711	48052.7148	57217.8633	52045.9414	52767.5156	43134.875	49831.8945	45799.3008	40297.0117	83593.8203	33696.0469	60141.3359	57926.7031	33537.6562	72562.5938	38573.6641	79160.6484	39711.9023	56371.8281	47734.5781	33559.3086	51098.2656	52108.1914	63117.3281	93145.2812	47818.2188	35923.1523	39607.9258	66624.2422	46662.0234	52900.3086	45411.5938	51990.2812	93710.9844	34988.8633	63980.8594	33021.625	53636.043	54769.9922	50050.4297	45772.082	48344.0977	33599.0703	48746.3633	34294.0469	91504.3125	37261.2578	29294.7656	84998.7188	54719.3086	41311.4453	38376.5312	43365.8398	39262.6484	40622.8438	42718.75	32601.9844	82176.3359	40471.125	44054.8164	94794.875	117371.4531	66093.4922	56106.875	38613.9766	51048.1055	41031.4297	56511.793	71975.2188	89255.6719	42951.5391	84524.75	74164.0703	45405.7188	48642.0938	51129.6289	93970.4219	55326.2266
0.6671	47969.7383	101564.7031	44483.9336	54919.543	42601.9219	55689.7109	78387.0781	91951.5312	57524.6172	39649.5352	55691.8516	103344.0156	123411.8203	70776.7031	103023.8281	50013.8164	83450.4844	42113.8359	84459.5859	64295.918	127579.6719	41366.4375	87902.9141	42321.3359	120914.0625	68991.5938	73494.125	51048.6328	47879.3164	83887.3359	124148.3281	101541.4688	41156.6797	80315.2188	112067.1094	44174.1992	41397.125	87905.25	96658.3828	108505.2266	88260.9141	51385.3711	37293.4219	74805.4922	64458.207	60782.4375	36876.5898	59531.6289	44602.7305	45763.4453	51635.4688	54176.168	86273.5312	73935.6641	72183.7031	55585.7344	73029.9453	65365.5117	46424.0156	97087.1094	37284.5195	84861.1953	77701.125	40977.3555	53240.2969	41900.3594	76212.1641	49571.6797	80889.7266	67759.9062	37861.6055	39354.7422	82220.8438	92073.7578	138430.8281	66095.6328	47060.9805	43006.3633	56125.1367	65492.0625	53033.9023	60656.0781	78468.9375	100924.8906	42232.8203	102654.625	37704.6328	82724.7656	80667.8125	73894.3438	59272.3945	70507.375	35376.5	63158.3203	40142.4375	111218.0469	46543.5586	35570.4336	90456.875	79734.6016	50314.293	49645.0391	59035.4062	44201.1719	62876.9883	59187.1133	38746.5	112394.0781	56589.6875	60828.1719	69300.6328	102207.3047	74037.1953	90021.9141	49000.707	78435.8125	59264.9297	91644.5703	50406.457	83823.1875	56565.4375	110053.7188	103343.2578	62426.7773	76379.7734	72658.1094	92178.8359	89865.8047
0.8005	50836.6172	75056.6328	68541.0469	47014.1406	57768.832	83032.1641	59023.4922	94726.9766	95785.9688	55313.1484	84157.375	107288.8516	93211.3359	82268.1719	69304.9453	70541.9766	61435.1523	58542.2773	76355.6875	101707.3984	76883.0859	54947.0273	55618.1758	57832.9883	160240.2031	123685.2344	65730.1016	64334.0117	71739.9688	118335.5156	112549.0781	91377.1953	50451.2773	66945.1484	75878.2266	69488.6094	33671.0234	66998.7734	124515.8203	90497.375	79387.3594	35008.3438	49585.4375	59592.0078	46465.8984	88930.5	50452.6875	77994.2266	59939.3555	37699.5898	40176.957	77112.6484	93501.8906	112731.0938	72370.3516	81610.2344	87670.9531	98027.8125	40396.0977	73492.9219	44646.832	88524.7969	77460.0078	46933.2617	41644.9375	53277.0391	55641.3711	75960.1797	97796.9688	87553.3438	50920.3906	31336.293	101018.125	94963.9766	118541.0391	97305.0859	69103.3438	54877.2461	42130.6992	98750.8672	47595.9336	77304.4453	89117.6641	74824.6406	66171.5469	124281.5703	42200.7578	108981.4141	110547.125	118015.7109	87268.3672	107143.9688	44179.1836	61102.3633	57997.2188	80697	74687.9297	47845.7656	59109.5234	81519.4922	70838.4844	74902.8516	92257.8281	60541.9531	110291.6016	80965.9453	53372.1914	96629.1641	63592.9375	95831.1328	46414.6992	62674.7734	61220.4922	108623.5234	75989.5234	94268.8203	69029.7656	115264.7656	40489.5859	54056.3867	57324.4062	94354.1484	97300.8203	97901.2969	100731.6406	93239.4922	60297.5547	120412.3672
0.934	43545.5273	47721.168	92890.8359	39864.9766	79215.6328	92913.6641	41088.1328	65214.9609	124755.3594	76678.7188	93452.5625	76662.1641	57008.8867	67700.9141	44704.4219	74162.7578	43437.1641	84680.3359	52985.6484	101908.3125	50977.9492	86327.0625	41183.4219	68739.9375	132996.9219	156942.0781	48999.9492	66641.9922	97456.5469	109753.0078	71082.4531	62168.4062	70188.8438	47026.7695	47106.7305	107057.9844	30627.8242	47514.6094	98073.2109	57261.7422	52769.7461	29286.8867	72549.1641	39995.4023	36948.5117	97153.7891	78476.8906	90659.3203	90045.3047	33807.1758	35641.082	107606.9375	68455.8047	112921.3281	51335.9805	101982.0781	73405.6875	112241.8516	32846.6133	49671.2891	61784.3438	66399.5078	57687.3164	70196.0312	34574.75	77780.0156	41485.9297	114053.4453	83688.0938	76965.1875	75306.4375	28898.6602	78997.9922	66656.4844	70811.4766	110367.75	81616.2344	84557.0703	34949.7539	115328.3672	39575.0156	68152.7266	69584.0625	47199.7539	104743.5156	102634.1328	61357.9297	100366.0859	106214.8125	116845.8594	105042.4922	103560.2969	62623.6445	44107.8984	74300.7422	50975.0586	104072.2266	60607.4102	40865.4414	55905.5156	106486.6797	94715.5703	98029.5703	75621.3828	142890.2969	76628.7812	68024.2031	62074.1523	48142.1641	114946.6328	39897.8242	39982.5312	44345.1094	87326.6562	96884.8594	72453.0469	58089.5273	92513.5625	35858.1523	37836.0586	45930.4844	64074.0312	65673.9766	117466.9062	82695.2109	77304.4844	40456.3359	108962.2812
1.0674	36293.0898	38710.3984	84782.9688	34598.8008	80042.5312	71094.5156	33820.207	45200.5391	98293.8594	81714.3203	71948.3984	49616.4805	42206.457	48965.793	35554.6367	55359.3398	33867.25	95365.8125	38520.8242	63883.6914	39078.375	105615.3203	37332.0078	60066.25	77263.4609	122234.3828	37411.2852	50939.8047	86651.3828	72422.4297	48304.5156	46271.1758	80853.9766	37530.6016	36657.3906	124128.5938	28046.0625	36622.6641	62967.5664	42180.6367	37993.4297	26755.3105	92161.5312	31826.2266	32422.8066	70918.1641	93058.3125	77073.8672	106057.9062	33867.4375	34175.7188	99857.9531	46759.6016	83861.4844	36390.4805	78129.8125	49173.1484	88148.375	28751.1328	38758.7188	73064.4844	47004.5156	42601.5938	112406.1953	32991.4102	102465.6562	36296.5352	107052.4531	50624.1133	55286.2656	91401.3438	25524.9902	52119.7305	44351.9805	45123.6211	78021.1953	69536.3594	124722.0703	31065.6504	88545.8906	32546.209	49095.3242	45313.2227	37727.1836	109300.9375	64760.1211	91169	63551.4414	67232	79393.4375	84352.8828	65576.6094	78167.3125	33511.3086	67544.5625	38215.6641	97471.0547	57746.1797	34224.5078	40241.7188	124119.9531	80444.7422	71003.4688	69120.2812	114185.875	48689.8242	62897.375	42937.5039	36121.2812	90630.8047	37558.6133	33888.8242	36511.4102	54877.4844	81336.6562	48868.332	41519.0586	58177.0352	34159.7188	33788.4844	37832.2617	44078.2227	43710.7188	90588.0781	52043.2773	50420.9844	33365.2617	77350.4531
1.2008	34931.4648	34049.9023	58772.8828	32353.1973	57678.2617	46499.8477	32089.0215	34999.0742	61394.1875	63534.9883	48562.6445	39799.8477	37033.6836	38010.5117	34137.2539	42476.707	31364.0156	72680.5156	31804.2168	43911.1211	33613.5898	83767.9141	33912.8086	42890.3086	48063.8867	72755.7266	32689.8535	35100.1406	57634.168	47068.8008	37553.4727	38569.1328	67059.6875	35597.8555	32902.0781	89601.6172	29174.0625	33729.0977	41914.0977	36623.4258	30703.0137	27843.2852	78431.3359	28368.5078	30640.1777	45999.6758	75772.1172	52390.0273	83383.1797	33071.9766	31117.498	65855.4062	36981.8164	54402.9883	30780.9141	49426.0195	38264.0234	57833.9609	27945.9453	35705.0547	62987.0117	39682.5117	35017.8125	132575.5781	31303.457	86025.7891	34644.0508	69910.7422	38144.6797	42065.6211	73543.6719	25053.9336	39871.875	33207.5938	36235	51012.3672	49210.7773	126074.5312	29970.4941	57106.4492	31171.3496	39321.3164	33181.3711	34958.4102	71307.6484	45408.4102	94770.5469	43921.4805	44208.4453	48847.2148	55263.5391	44487.6211	67028.1172	30840.2715	49019.3242	33407.5039	61474.8359	43021.0156	32611.5176	35180.1445	88038.4844	52423.8242	48192.1602	51412.3984	68528.3047	34306.6523	46613.9141	35807.832	30621.2461	57801.5117	35877.7383	30682.0781	31988.166	40295.7266	52639.9258	39762.0273	32762.5762	38265.668	32320.707	31391.8281	33287.4648	37573.2773	36671.668	55958.8242	36694.1875	37177.8125	31550.332	53156.2422
