X	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_10_3g	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_18g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_4g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_7g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_13g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_1g	Y_20181208_15692b_13_4g	Y_20181208_15692b_13_5g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_3g	Y_20181208_15692b_14_5g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_4g	Y_20181208_15692b_17_5g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_3g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_1g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_4g	Y_20181208_15692b_7_1g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_7g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_8_8g	Y_20181208_15692b_8_9g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_4g	Y_20181208_15692b_9_5g	Y_20181208_15692b_9_6g
0	12728.8721	11817.5137	11196.833	13481.4502	11204.7998	11585.9404	14196.3818	12068.6963	12813.1396	12191.9395	12952.6152	11270.2568	11710.6055	10706.252	11323.9873	9830.2998	11220	12835.1982	12642.1113	12229.2393	11713.0889	11581.585	12818.2109	11823.5479	12336.4609	12035.9746	12246.2803	12074.5801	12551.1299	13803.0039	10892.3428	12586.0039	11770.2812	12688.9141	10756.7715	10789.4199	11983.2441	10886.6758	12785.7432	11242.4453	13994.8906	13394.2217	12641.5205	11930.5781	13368.2354	10989.2295	11883.2842	12431.6963	11389.2236	12670.2998	11683.0801	13419.2988	11241.1064	13140.5439	12142.9082	13048.1553	10703.6982	15301.1895	12419.2705	12252.6826	9609.9902	11326	12003.3262	12091.4629	13090.1475	12821.1602	12997.1846	12965.5146	13917.3887	11450.0586	12159.0352	11787.1191	10727.3701	14152.9619	11812.4336	11621.4707
0.1334	12700.7646	12867.7051	11834.791	13341.8809	10456.1162	11456.0625	13117.8691	12996.3672	12813.5654	11968.6592	13104.3662	11988.0811	11788.5312	11013.0088	11318.7598	9707.9805	11400.0645	12320.7646	12808.6074	12572.0449	12072.3652	12223.0049	12394.4893	11541.5059	11840.6289	11871.5986	11609.6162	11875.5439	12491.8965	13185.8271	11104.7139	12456.9766	11594.6963	13122.2656	11094.9531	10570.9785	12881.8574	10721.1445	12785.6748	11463.7129	13113.6416	13559.4824	12657.8857	11778.5088	12740.8145	11136.2275	12217.5479	12924.0674	12104.9121	12413.3965	11831.6572	13201.1064	11937.126	13707.1973	11714.7383	13222.6279	11490.4814	13686.3047	12406.4961	13037.5723	9832.9434	12275.4316	11838.5527	12494.9902	14114.1523	12997.5859	13742.5293	12623.9121	14215.0977	11367.2881	11727.002	11460.0586	10755.1582	13200.1641	11584.1172	11398.5811
0.2668	12628.9893	12314.3105	11431.8779	12956.6787	10639.7939	11552.5371	13056.1484	13236.0166	14095.7344	12593.541	13275.9697	12429.2793	11786.71	11316.3223	12326.1904	9998.3867	12029.3301	12928.2578	12429.6436	12593.9209	12704.4941	12963.0137	13130.084	12466.6348	11715.249	12236.4844	12677.71	12103.6328	12891.9941	13784.2822	11456.0342	12788.6025	11882.7959	12970.6025	11162.4102	11244.9326	13527.6006	10803.5869	12391.7461	11777.0303	12795.3525	14347.2637	12540.2979	11721.1523	13694.0898	12380.1084	12500.5889	12320.7568	11982.9248	13239.7373	11759.9482	13735.9307	12330.71	12697.0479	11625.4131	12751.125	11563.9609	13165.6992	12266.0166	12832.3389	10540.7715	12940.0742	12202.3555	12926.0488	14815.75	12313.5146	13113.7666	14798.9688	13928.5527	10713.8643	12764.1143	11283.5322	10901.7764	12730.6377	11758.6104	11545.2979
0.4003	12856.2148	12853.5547	11614.7139	13184.5664	11028.5732	11836.2871	13790.5664	12871.5615	13524.7148	13837.1572	13100.416	13332.4121	11803.0146	12021.292	12420.4043	10338.2129	11362.3525	13985.3633	12924.6885	12730.6406	12336.0547	13139.6729	14827.5488	13289.6807	12099.2441	12839.6475	11919.8545	12140.7783	12608.9375	13989.6299	11421.9453	13419.1133	12313.7383	12809.9033	11520.3389	11566.0488	13962.041	11837.9551	12434.3848	12785.4609	12496.5928	14292.3516	12428.0898	11434.291	13481.4941	12965.5146	12122.5342	12884.3857	11802.3086	12519.042	11590.665	14061.6211	12292.6152	12645.4805	12182.7607	13126.9434	12088.7471	13377.7549	12189.0693	12667.7568	11371.5488	13548.3232	12818.0371	12409.7168	14684.2451	12821.042	13520.249	17289.9258	13842.7725	10671.7236	14680.0264	11570.8828	10977.4316	13934.6943	11499.6709	11837.3828
0.5337	13704.917	13536.4854	11711.1064	13679.4629	11324.8701	11790.9844	14086.1943	13406.0566	13345.8096	14349.4023	12846.6748	13362.5439	12271.0537	12777.9717	12154.5264	10379.9209	12710.8447	14654.5498	13631.541	13368.2588	12224.8184	13257.4121	14907.7441	14187.8232	12932.4287	13421.6221	11833.4639	12474.3008	13653.4053	13476.9814	11599.6953	12985.7266	11724.7119	13684.9141	11123.8438	11706.5703	13944.5479	12159.1895	12782.8857	14036.1465	13197.0684	14277.084	11492.1807	11697.5176	14583.4121	13759.582	13145.1787	13312.79	12043.0928	13512.5205	11704.7617	14779.3711	12406.7969	13298.4258	12782.25	13526.0293	11933.5967	13190.9004	13561.9619	13155.6973	11262.8965	15058.8604	13140.043	12603.2373	13636.6104	13116.1006	13026.4307	17229.8672	13832.6074	11540.9434	15166.5625	11417.0039	10874.8525	14465.2812	12096.2627	12538.8105
0.6671	13530.1855	12438.8301	12783.9521	13381.8027	11057.0146	13013.7734	14021.2607	13796.7207	12872.125	14055.458	12379.7715	12492.4463	12146.9736	13529.792	12381.0244	10609.3682	12970.0439	14344.7852	14382.8418	13837.2109	12349.0439	13267.9717	14710.4023	13658.498	14237.043	13418.083	12140.6465	12947.4678	13728.292	12848.2852	12933.5674	14552.1035	12554.0557	13064.1465	11736.5293	11535.3398	13986.2891	11750.9404	12248.5908	13957.8467	13835.1094	13773.8359	11750.7275	11930.3311	15480.9658	14278.0361	14411.4727	13122.623	12715.0049	13421.6006	12067.2969	15570.2266	12192.8477	13463.8213	13376.998	13738.9854	11722.7988	13878.1582	14383.0635	13159.918	11379.8545	17682.332	14410.6377	12960.7969	13382.3115	13371.9668	13276.9854	15680.3252	13626.3633	11836.5088	15557.5557	12233.7754	11513.5674	15278.208	13301.1865	12117.7822
0.8005	14637.3457	12850.5322	12864.5557	14312.0322	11766.5332	13120.6572	14082.5283	15830.085	13295.7861	15003.0459	13135.5752	12207.3145	12605.2061	13321.5068	13481.4082	11620.9023	12767.6387	14617.4932	14298.0635	13558.0029	12540.0596	13904.0127	14419.6104	13972.1289	15878.7471	13594.04	11961.8809	13003.8555	14314.3643	13728.293	13209.0254	16981.5605	13051.5752	12238.3691	12230.6543	11980.4307	13834.332	12133.9453	13100.623	16441.3008	14794.0703	13815.917	11954.0879	11422.374	14812.4316	15023.248	14695.0098	13949.2861	12457.7988	14327.2461	12355.6006	14937.6689	12270.5283	13830.374	14037.2715	13945.2314	11985.4668	14322.0869	15044.3516	13521.4619	11342.584	18033.6523	16043.6865	13675.8799	13783.0938	14913.5547	12959.3154	14325.1592	14449.8516	12147.2461	16724.7305	12281.3887	11540.5742	16747.6934	14463.166	12666.0713
0.934	15602.5303	13443.1357	13809.3037	15356.5547	11824.1094	14083.5791	13655.1904	17766.2109	13816.9424	14419.3809	12916.5312	12785.6855	13225.5947	12566.9473	13959.8027	12379.2305	12498.4863	13718.0547	13426.3799	13244.9414	13388.6426	15196.749	15973.9072	13973.2773	16059.332	14544.0957	13057.54	14273.1553	14457.3643	13597.9727	14160.4277	18327.5273	13244.7295	12882.4902	13020.6211	12283.5879	14081.7754	12910.0918	12997.1885	17692.6406	15669.9941	13161.3154	11852.4834	11705.5605	15511.6611	15256.2969	15615.7061	14343.6006	12674.7393	15259.9873	12678.9189	14648.123	13062.5254	15745.877	16523.2852	14248.3877	13079.793	14394.7188	16766.4551	14160.6309	12315.9336	16382.7188	15534.2852	14012.7295	14214.9463	16548.5137	13682.7168	12953.4424	15185.5479	11729.4297	19972.1875	14074.8486	12001.29	18135.8613	13700.1074	12073.8477
1.0674	16681.832	13489.3203	13919.4141	15264.6738	11688.3174	14333.3984	13655.8896	19227.9297	14266.2539	14999.0488	13413.7119	12296.165	13924.5518	12822.6494	14071.2441	12048.624	12380.1475	14516.0693	13994.9678	13322.376	13415.626	14678.8047	16138.8848	14002.2275	14390.0332	15629.1016	13116.5498	14592.5811	13968.6533	14700.6934	15097.9951	18665.6934	14446.5918	13625.1338	13036.3721	12601.4014	15092.4707	13097.8271	13716.2529	15129.9746	16423.5	13531.8311	11907.4766	12537.5352	15931.2012	15106.041	15472.6934	15556.2246	12759.4912	15641.1064	14343.9082	15191.1963	14596.0957	17153.416	18169.4082	14551.7959	13739.9678	14948.8418	17930.3613	14652.9375	13386.2979	12481.7432	14953.7266	14020.1426	14127.1787	16911.4258	13665.0645	12970.8984	16387.0332	11949.835	22054.0742	13765.0908	12088.0967	19872.5156	13755.7158	12795.0439
1.2008	16410.3594	15883.4365	14597.6416	16485.7578	11852.3418	14972.3545	14670.75	21954.7246	15109.0176	14782.9746	14483.2725	12439.9697	14621.5078	12497.8037	15110.6982	12164.5977	12843.5488	14038.5703	13758.6992	13687.7021	13388.0859	15263.6816	15248.9961	14002.1162	13118.9668	16301.7305	13643.3711	14674.9971	14471.1396	14535.8359	15487.1484	17465.0176	14104.2959	13338.0859	13436.1367	13812.3994	16190.7451	13444.5547	14735.5225	14177.4453	15305.1885	13685.0566	11605.0039	12926.1895	15663.0928	15190.0254	15146.2988	14866.085	12761.9121	16080.0625	15495.2979	15273.7021	14314.0762	17141.4785	18009.5625	14529.3564	14610.7539	16007.1699	19503.4434	16065.5283	13275.2861	11849.7998	16181.25	13710.209	14683.043	17256.4551	13349.8486	12849.3369	18078.8223	13365.2598	22859.1113	13817.8652	13175.9824	19187.5273	15470.8613	12366.3652
