X	Y_20181208_15794b_1_1g	Y_20181208_15794b_1_2g	Y_20181208_15794b_1_3g	Y_20181208_15794b_1_4g	Y_20181208_15794b_1_5g	Y_20181208_15794b_1_6g	Y_20181208_15794b_10_1g	Y_20181208_15794b_10_2g	Y_20181208_15794b_10_3g	Y_20181208_15794b_10_4g	Y_20181208_15794b_10_5g	Y_20181208_15794b_2_2g	Y_20181208_15794b_2_3g	Y_20181208_15794b_2_4g	Y_20181208_15794b_2_6g	Y_20181208_15794b_2_7g	Y_20181208_15794b_2_8g	Y_20181208_15794b_3_2g	Y_20181208_15794b_3_3g	Y_20181208_15794b_3_4g	Y_20181208_15794b_3_5g	Y_20181208_15794b_3_6g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_11g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_13g	Y_20181208_15794b_6_1g	Y_20181208_15794b_6_2g	Y_20181208_15794b_6_3g	Y_20181208_15794b_6_4g	Y_20181208_15794b_6_5g	Y_20181208_15794b_6_6g	Y_20181208_15794b_6_7g	Y_20181208_15794b_6_8g
0	27523.7715	33425.3828	29198.3359	34906.5273	33210.1641	33343.4492	32516.7773	26592.0703	32174.5625	40087.1133	39656.1055	28773.8633	34401.7344	34445.8672	29869.3594	34076.957	46620.0039	35836.4883	31904.5117	41454.4062	35402.7148	29901.2715	31857.6992	45181.3594	28946.8047	34277.3203	28745.8242	29038.459	31881.2051	33811.2109	41688.707	37141.2656	31226.2793	35044.8438
0.1334	28481.4414	35753.7031	29536.7832	34372.3711	36342.082	34609.0117	36907.8867	28926.7031	32426.4531	36728.4609	45397.4375	29309.7949	37351.3438	33076.1289	29098.5098	34938.7031	47151.2383	36358.8008	35588.0117	47736.5469	36697.0234	30453.0859	31366.9512	45155.2227	28477.4473	34754.4531	30900.875	32991.1875	32272.2383	33009.2461	50783.3828	39703.7188	32629.6973	43764.6562
0.2668	30562.7871	39942.2422	31510.0469	36841.9922	41557.3633	38372.0312	48224.6562	36102.9922	33306.5508	37577.1523	58432.7344	30795.1914	45811.5898	34805.7734	29459.4824	37319.5859	55351.2266	37271.6055	40942.7266	59446.2227	41595.3047	34600.7617	30735.0195	45348.2734	30843.0996	37668.4062	38172.8359	41650.1875	32709.1133	33834.2734	70273.9922	51774.4883	35165.9805	60662.3711
0.4003	35413.2031	50931.7148	34582.3633	42379.7969	54456.3984	41441.7695	68209.2656	53984.5195	34167.918	39400.3477	57690.543	33522.7109	61406.832	35490.8672	31476.4395	49637.4453	52455.9375	39441.9102	54926.5508	78470.6094	58747.1094	45995.3008	35061.4297	57187.3984	35197.8242	46842.4492	49794.75	55358.5469	34123.4375	35757.7344	71934.0703	70210.6328	42213.7148	63543.4805
0.5337	43959.1523	74491.4844	37587.6055	54153.6367	71846.4766	54683.8281	69125.9609	74008.6953	36301.5977	54610.4766	44089.7656	41636.8906	66212.9297	43480.5547	34441.5117	72606.9375	41541.7109	55957.5156	85053.0391	69396.2031	71039.4141	67279.4062	39384.4766	63066.0352	39749.7969	64021.7109	55267.4414	63815.1523	40128.6328	41847.1836	51979.7656	84354.2656	58578.8633	49233.3398
0.6671	48442.1367	93212.5391	39475.7852	62971.3594	72636.6875	83453.2266	49441.9844	71378.8438	42721.8516	79295.6484	36527.5781	47199.2891	51494.7734	55985.3359	43039.6172	93449.6094	35361.0664	75605.0156	101739.2266	47990.4766	58555.3047	71297.7031	44896.1758	50117.2578	41662.4102	69265.6875	42737.707	53001.4023	53183.7422	58510.8828	39021.8438	71995.0625	75237.5859	36698.5234
0.8005	41858.6133	75733.8516	34878.9922	58872.1992	55734.8516	104060.7969	37468.0742	48729.6953	59742.2109	84256.3203	32173.9277	41802.8477	37626.9609	66809.1484	61576.0234	83814.2188	33197.8398	77856.4844	72721.6562	36040.3711	40152.8242	51733.0938	66772.5469	35985.0078	35822.3047	53715.125	32660.8574	37766.8789	67543.9062	72824.2734	33416.2578	51165.6875	64211.1953	30625.8555
0.934	32506.9043	48416.7422	29903.4512	44430.9648	41171.6328	85712.0781	32270.6562	34656.6797	85707.7578	61395.4766	28358.9043	33006.5039	33135.1758	58824.9883	89569.2578	57180.332	32792.7227	57139.4453	47146.6797	32709.5742	31935.9746	34919.8984	88860.7422	31662.9707	31028.9043	39921.7188	28587.5703	31562.7129	66016.4062	70454.2656	33312.3828	39184.957	44994.125	29744.8359
1.0674	28488.7168	37658.0352	30046.4785	37666.0664	35462.7461	55479.4805	30665.9453	29367.6465	90629.8359	42864.4883	30329.1484	30580.1152	30684.334	43135.6328	91468.7109	41597.9336	31735.7637	40966.207	33870.4336	30527.0645	28606.9004	28192.0957	74600.5312	30360.3203	29224.8203	34101.8516	27989.2305	29228.6445	50501.832	53134.9844	32563.5742	34409.4492	37349.5078	27505.2676
1.2008	28867.2461	31577.8789	28649.8691	34471.7031	32441.2773	40565.5938	28016.8672	25710.1914	66080.7266	36695.332	28587.6328	28605.1172	32290.2305	35148.6211	65980.3906	35307.5078	30779.7051	33402.2109	32508.6055	29244.8867	28788.5859	26754.5156	46721.9727	27729.3379	29719.2949	32872.3594	29842.7227	28811.7383	38850.793	41769.9688	32550.1836	32011.7012	34091.8438	25830.9434
