X	Y_20180130_15100_1_1g	Y_20180130_15100_1_2g	Y_20180130_15100_1_3g	Y_20180130_15100_1_4g	Y_20180130_15100_1_5g	Y_20180130_15100_1_6g	Y_20180130_15100_1_7g	Y_20180130_15100_1_8g	Y_20180130_15100_1_9g	Y_20180130_15100_2_10g	Y_20180130_15100_2_11g	Y_20180130_15100_2_12g	Y_20180130_15100_2_13g	Y_20180130_15100_2_14g	Y_20180130_15100_2_1g	Y_20180130_15100_2_2g	Y_20180130_15100_2_3g	Y_20180130_15100_2_4g	Y_20180130_15100_2_5g	Y_20180130_15100_2_6g	Y_20180130_15100_2_7g	Y_20180130_15100_2_8g	Y_20180130_15100_2_9g	Y_20180130_15100_3_10g	Y_20180130_15100_3_11g	Y_20180130_15100_3_12g	Y_20180130_15100_3_13g	Y_20180130_15100_3_14g	Y_20180130_15100_3_15g	Y_20180130_15100_3_16g	Y_20180130_15100_3_17g	Y_20180130_15100_3_18g	Y_20180130_15100_3_19g	Y_20180130_15100_3_1g	Y_20180130_15100_3_20g	Y_20180130_15100_3_21g	Y_20180130_15100_3_22g	Y_20180130_15100_3_2g	Y_20180130_15100_3_3g	Y_20180130_15100_3_4g	Y_20180130_15100_3_5g	Y_20180130_15100_3_6g	Y_20180130_15100_3_7g	Y_20180130_15100_3_8g	Y_20180130_15100_3_9g	Y_20180130_15100_4_10g	Y_20180130_15100_4_11g	Y_20180130_15100_4_12g	Y_20180130_15100_4_13g	Y_20180130_15100_4_14g	Y_20180130_15100_4_15g	Y_20180130_15100_4_16g	Y_20180130_15100_4_17g	Y_20180130_15100_4_1g	Y_20180130_15100_4_2g	Y_20180130_15100_4_3g	Y_20180130_15100_4_4g	Y_20180130_15100_4_5g	Y_20180130_15100_4_6g	Y_20180130_15100_4_7g	Y_20180130_15100_4_8g	Y_20180130_15100_4_9g	Y_20180130_15100_5_10_1g	Y_20180130_15100_5_10_2g	Y_20180130_15100_5_11g	Y_20180130_15100_5_12g	Y_20180130_15100_5_13g	Y_20180130_15100_5_14_1g	Y_20180130_15100_5_14_2g	Y_20180130_15100_5_15g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_16_2g	Y_20180130_15100_5_17g	Y_20180130_15100_5_18g	Y_20180130_15100_5_19g	Y_20180130_15100_5_1g	Y_20180130_15100_5_20g	Y_20180130_15100_5_21g	Y_20180130_15100_5_22g	Y_20180130_15100_5_23g	Y_20180130_15100_5_24g	Y_20180130_15100_5_25g	Y_20180130_15100_5_26g	Y_20180130_15100_5_2g	Y_20180130_15100_5_3g	Y_20180130_15100_5_4g	Y_20180130_15100_5_5g	Y_20180130_15100_5_6g	Y_20180130_15100_5_7g	Y_20180130_15100_5_8g	Y_20180130_15100_5_9_1g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_10g	Y_20180130_15100_6_11_1g	Y_20180130_15100_6_11_2g	Y_20180130_15100_6_12g	Y_20180130_15100_6_14g	Y_20180130_15100_6_15g	Y_20180130_15100_6_16g	Y_20180130_15100_6_17g	Y_20180130_15100_6_18g	Y_20180130_15100_6_19g	Y_20180130_15100_6_1g	Y_20180130_15100_6_2g	Y_20180130_15100_6_3g	Y_20180130_15100_6_4g	Y_20180130_15100_6_5g	Y_20180130_15100_6_6g	Y_20180130_15100_6_7g	Y_20180130_15100_6_8g	Y_20180130_15100_6_9g	Y_20180130_15100_7_10g	Y_20180130_15100_7_11g	Y_20180130_15100_7_12g	Y_20180130_15100_7_1g	Y_20180130_15100_7_2g	Y_20180130_15100_7_3g	Y_20180130_15100_7_4g	Y_20180130_15100_7_5g	Y_20180130_15100_7_6g	Y_20180130_15100_7_7g	Y_20180130_15100_7_8g	Y_20180130_15100_7_9g
0	13579.271	11327.644	11237.978	11693.97	11260.525	12416.075	13203.375	11907.8	12619.806	13045.235	13220.892	12886.765	12186.1	12393.727	12688.145	12173.914	11363.224	13922.199	14118.622	12111.302	11089.872	11649.849	12681.255	12126.988	11757.969	10531.344	13434.46	12533.242	12187.5	11961.3	11442.714	11480.275	11462.395	11583.044	12313.729	13103.146	11890.444	12028.642	9662.553	11656.941	14340.12	12343.299	10139.758	12570.167	12936.823	12757.415	11833.994	12593.455	11909.463	15138.61	11324.677	12991.791	11727.761	11316.701	14378.332	12307.569	11449.688	11288.801	14129.626	13472.829	11739.4	12113.319	13205.991	12934.998	12672.475	12388.72	12257.766	13078.065	11773.47	12116.181	13021.729	11354.8	11584	15479.061	12850.823	11327	14481.788	13619.624	12403.358	10839.83	13141.292	11577.289	13283.023	11759.575	13540.024	13114.914	12313.873	12308.907	12686.435	12255.945	13288.44	13502.26	11812.45	12047.189	12882.862	12071.069	11673.51	12710.015	13257.444	13129.917	11352.411	10806.414	12830.575	12425.11	10043.39	11138.076	10732.656	13058.247	11352.679	12189.152	12673.339	12288.809	13008.928	14287.5	10885.021	12415.2	11526.988	10884.352	11366.337	12111.596	12672.727	12121.709	10257.682
0.1334	13845.437	11207.96	12117.511	14402.526	13299.469	12708.674	15968.463	12385.25	13382.092	12587.89	15804.264	13334.99	12242.744	12691.979	13474.598	12659.128	11409.73	13492.429	15172.242	12384.88	11081.5	12831.618	13386.393	12633.285	12352.606	11965.211	14485.291	13399.264	13633.829	12934.334	13168.007	12877.297	12075.471	12800.685	14087.206	14454.572	13040.701	12823.088	9823.653	11881.479	18240.682	12667.938	12074.812	12369.444	13509.62	13616.039	12335.478	13451.6	12160.497	15133.627	12146.19	11870.257	14158.998	13105.133	17795.818	13599.183	11372.619	11676.935	13966.463	15366.725	13240.181	12880.429	14662.629	13357.831	12569.312	13562.313	12313.3	15292.782	12866.698	12686.608	14478.968	12555.639	11323	15968.89	13026.663	11678.703	16047.407	14007.579	13780.181	12169.727	14768.987	12325.189	15030.077	11918.974	13560.827	13449.477	12600.589	12086.43	14110.746	13195.314	13867.44	14127.848	12946.242	12746.284	13942.512	12443.736	14480.198	12990.546	14462.636	14274.564	11031.527	12014.861	12610.305	14351.078	10094.854	11749.84	11622.652	13505.988	12009.156	12900.679	15642.468	12095.854	13559.807	14489.137	11584.067	12653.928	12230.682	11742.248	12767.47	13622.482	12882.718	14098.521	10434.506
0.2668	14343.095	12903.9	13829.687	17351.223	18456.926	13398.035	21140.225	12685.24	15680.001	13896.299	19189.709	13630.962	13784.801	14693.412	14839.264	13188.781	11963.08	13633.657	17270.803	13386.802	12509.208	15047.522	15188.414	14071.857	13474.461	13856.652	16666.992	13537.396	16962.803	13792.884	15155.427	16797.605	12587.474	14458.391	15861.525	16706.791	16040.662	13255.769	10472.542	11979.229	23528.992	12905.539	13924.107	13399.959	14172.516	13906.974	12504.565	14306.889	13078.808	18295.559	15602.647	13522.779	19569.945	14992.546	20940.277	14277.198	11530.749	12651.177	14907.419	18928.352	14656.35	14291.742	16164.418	15971.582	13522.005	14608.409	12577.524	18759.471	13930.48	13390.751	16480.846	15371.704	12060.8	18708.617	13734.488	13914.318	18321.355	15232.94	14866.059	12916.111	16177.68	12469.846	17029.494	12863.543	15400.898	15365.191	12975.017	14015.86	18511.281	13206.063	16299.873	15380.755	14283.383	13936.348	16507.793	15123.552	16129.612	14748.924	15215.685	16675.682	11590.729	14440.611	13585.026	18180.975	12346.543	12925.018	14743.566	14400.133	13335.333	13192.476	19750.898	13501.556	13603.242	16624.633	13073.46	13078.201	12904.507	12390.77	13474.841	15574.757	13929.013	14366.551	11717.745
0.4003	16099.071	16334.959	15132.998	22112.92	26969.441	16629.26	22402.773	13700.388	18037.672	15019.738	19353.32	14499.263	15813.919	16039.583	17457.039	14998.119	12238.805	15163.688	16343.412	14803.163	12863.68	18925.848	15898.619	16357.812	15074.871	16079.308	19625.77	15514.087	17197.902	17269.457	16662.35	18335.996	13386.364	13997.577	17337.502	17062.293	17119.316	14226.923	11540.258	13682.684	25298.746	14415.214	17224.309	14692.687	16097.421	15755.954	14529.924	16469.234	13295.189	20346.062	16584.77	15633.587	23614.527	15366.637	21190.844	15377.309	14309.407	16177.09	16647.094	18316.125	18404.322	16334.849	19039.627	17687.727	15777.685	15708.454	14196.997	18125.725	15291.271	14811.579	17203.365	15333.182	13931.4	21983.352	15134.878	14444.903	20621.076	16942.82	16243.109	15409.924	16446.652	14844.519	18346.6	14506.472	16938.861	18288.57	14668.899	15427.42	21257.699	14692.067	17742.689	16616.947	15436.131	16727.805	16510.502	19654.324	15905.783	16726.881	19098.902	18179.334	13042.301	18302.434	14792.097	25186.455	16432.348	15557.161	13924.255	14914.31	14312.393	14774.895	21010.883	15125.289	16486.725	19208.1	14880.334	13526.499	13160.128	14861.083	15043.225	15785.594	15417.556	15098.404	13991.84
0.5337	16523.008	19866.479	15792.914	23303.803	30147.316	18428.439	18873.404	15553.534	21586.607	15198.04	17215.375	15454.106	18978.838	16438.432	20013.098	16925.199	13832.704	17902.598	14274.339	14893.763	13175.181	21826.355	17939.416	20622.324	16631.848	18337.344	21185.516	18121.859	15979.21	19015.695	15534.567	16841.885	13473.87	14959.072	16556.859	16895.367	16773.189	13040.433	13360.157	13695.936	20849.133	16443.568	17658.559	15387.588	16025.315	17455.379	16909.164	15958.13	14875.898	19853.006	14865.056	16968.398	24920.324	14668.3	19624.371	15793.547	16670.188	19591.734	18102.85	16451.982	20929.734	16090.343	21822.49	18412.912	15328.647	17523.615	19330.555	16530.021	16033.978	16416.988	16463.824	16508.473	14575.6	21840.305	18783.416	14447	19298.762	19274.037	15042.057	19667.486	15596.738	22141.77	16378.503	14666.775	17467.293	18141.932	16717.393	15849.694	20445.264	16452.039	17560.293	20187.35	19831.379	17162.086	15434.681	22014.352	13843.773	16027.51	19674.398	18090.449	14957.145	18830.371	15484.771	24346.611	17339.441	16730.355	14024.313	17356.646	13937.894	18778.789	19217.115	15879.882	19138.398	20960.43	16850.096	15906.99	14276.396	16306.671	15160.287	16092.691	18794.516	18006.941	17615.846
0.6671	15773.682	18888.391	16074.516	23129.621	25983.467	17132.547	16686.633	15355.916	20301.402	14592.788	14793.704	15157.19	17597.344	15713.631	17274.518	18228.871	15958.346	18445.338	13120.147	14823.008	12933.562	20794.873	15028.951	19725.812	15180.382	18807.02	20292.613	18750.51	13805.18	20085.594	14286.038	15152.26	14710.388	16008.126	15279.997	13840.27	15376.793	13605.404	14911.145	13083.713	18423.766	16806.061	15672.492	18359.297	15622.969	17469.408	18538.16	13953.114	14426.164	18910.523	13740.023	16614.854	18988.422	13965.316	16889.039	15601.499	15720.506	19963.625	16341.625	13703.359	18234.428	15021.006	21199.645	16881.582	14214.87	17530.434	18521.578	14932.092	15843.802	15718.287	15407.743	15338.283	14680.3	19590.943	18624.713	13849.953	17183.209	19810.012	14927.127	21721.711	14542.315	27811.492	14205.941	13691.679	15138.626	17224.707	17304.664	15820.791	16647.053	18710.396	15315.145	19316.418	21752.752	15614.766	13673.474	20682.73	13650.309	15837.949	17593.645	19450.727	19583.992	17743.518	16730.076	19771.582	16058.241	15519.698	14217.805	19833.752	12375.522	21422.061	17100.506	14803.947	18782.984	18760.49	15917.438	17088.211	14757.914	17321.91	14358.779	15650.195	22622.83	20504.182	16629.432
0.8005	14474.356	15931.185	15656.222	23818.139	19953.23	15276.007	15811.025	14130.058	18281.32	14013.279	13032.004	14380.492	15776.851	14720.953	15001.316	17292.529	15218.206	18363.84	11557.017	13762.379	13033.57	17572.193	14606.076	17932.566	14380.459	15299.031	18272.328	18014.826	12834.82	19622.66	13864.187	14423.827	16985.689	16528.635	14097.15	12999.854	14039.554	13285.377	13855.179	13017.474	17890	16127.817	14283.949	17573.473	14884.091	17199.4	17946.064	14074.231	14513.302	15916.771	13600.765	14254.735	16285.804	14511.457	15954.622	16192.903	15181.583	17998.674	14718.967	12295.79	17219.689	13664.033	20252.811	14829.171	14255.779	14674.695	16287.789	14717.295	14864.542	15351.512	15089.612	14611.771	13147.9	17801.678	17244.529	14312.474	15721.08	18495.551	14396.597	20195.219	15115.788	30915.508	12749.776	13816.437	13602.151	16043.562	16501.826	16248.957	15370.507	17556.984	14986.797	18774.988	20796.24	14369.496	13938.141	17979.871	13604.133	13800.751	16867.463	19462.275	21529.189	15919.519	18921.605	17243.816	14329.455	14685.755	13678.88	20782.943	12398.2	20576.436	15657.601	14350.465	17317.861	15973.245	14781.679	16215.588	14073.937	15875.169	12708.103	14638.658	24999.611	19757.152	15233.673
0.934	15546.79	14389.136	15215.535	20811.93	17057.268	13352.508	15026.956	12805.184	16828.223	13476.262	12613.225	15145.325	13593.977	13429.139	13556.28	15133.462	14130.357	18217.201	11075.312	14036.114	13504.56	15550.632	15361.537	17553.891	14195.333	14591.933	17185.133	16324.056	13167.091	18190.783	13261.157	14705.525	16695.445	15597.863	13502.109	12460.164	13045.459	13251.872	12896.501	13191.243	16152.368	15490.193	14255.854	16548.773	14310.388	16780.689	16618.217	13736.471	14039.891	14353.086	13188.334	13462.698	14225.567	15101.943	16179.408	15947.9	14513.033	15562.616	15112.726	12459.69	14432.013	13359.923	18479.711	14168.908	13419.749	13024.845	16285.004	14197.497	13478.843	14613.041	14333.659	14815.764	12413.7	16923.992	16256.041	13399.438	13423.726	16132.451	13801.325	19408.084	16381.475	27817.385	11613.292	13074.027	13130.881	16387.895	16709.059	17018.402	16372.762	15049.952	13563.467	18257.236	19029.787	13548.281	12553.478	14365.987	13784.994	12840.214	14618.929	18837.906	18897.658	15898.839	16129.716	15191.044	13776.256	12949.498	13949.454	19482.414	12410.348	16970.125	15343.127	12890.496	15374.334	15835.164	13777.704	16353.903	13655.116	13675.388	12450.416	14165.431	23416.037	17660.111	14557.483
1.0674	18452.312	15561.914	15770.299	18669.984	15674.319	13089.413	13704.085	12495.729	15660.865	13627.371	12052.928	16906.428	14367.154	13668.358	12958.835	15397.363	14527.521	16085.498	11233.896	13813.487	13393.493	14144.385	16665.336	17288.826	14376.978	14523.046	17059.66	16652.941	13012.292	15726.62	13332.943	13554.837	16090.52	15205.235	12932	12350.495	12248.307	13352.175	11839.958	12052.656	16127.772	17010.346	13460.34	16791.65	14360.888	15264.503	16961.182	12810.358	13567.29	14477.961	12703.85	12953.943	13463.384	17154.369	14690.288	16544.121	13718.552	14307.081	15512.139	11990.638	13277.126	13356.007	16690.723	14404.507	13331.231	13051.084	17192.359	13998.06	13087.564	14074.804	13809.304	14885.218	12763.4	14740.976	16613.572	13609.769	12996.249	13684.355	13295.581	19086.947	17474.969	22332.525	12471.895	12782.12	11598.098	16871.779	16423.191	15374.352	18433.156	14438.096	13108.24	16904.92	17092.26	12950.168	12349.54	12993.781	13990.397	12844.006	13281.564	17713.68	16186.896	15258.396	16249.624	13732.759	13767.379	12596.673	13720.258	18341.559	11844.571	15738.755	13820.175	11993.288	15145.979	16738.496	14968.615	14323.121	13205.315	13054.319	12573.327	13238	20867.725	16793.188	12784.102
1.2008	21689.494	15436.981	14828.87	17699.76	16038.395	12283.146	13846.614	11729.115	15064.183	14716.906	12292.95	16244.086	14072.142	13803.225	12822.108	16229.521	15096.893	15488.98	11660.024	13893.458	13142.737	14275.468	17308.461	17399.371	13856.829	14948.367	15942.299	16178.578	13134.399	14363.339	12907.015	13259.12	14441.008	14662.548	11784.803	12278.489	11997.326	12303.434	11686.146	11973.769	16581.406	16312.829	12871.845	16854.932	14350.891	15210.124	16148.409	13285.008	13839.101	15043.538	12737.605	12275.011	13891.071	16686.996	14100.775	19162.148	13085.595	13566.827	15156.793	12535.45	14845.064	13715.312	16752.777	14476.633	12104.029	13166.635	17621.498	12644.868	13007.674	12690.029	14251.579	14251.408	11969	13799.314	16795.035	12334.382	12875.786	13126.221	13975.462	17704.795	18315.209	18467.02	12648.437	12674.793	11699.589	16525.352	14809.331	15142.605	19502.721	15016.765	13430.223	15747.353	18233.615	13023.146	13232.188	12251.228	13834.557	13074.646	12781.159	17741.281	14520.326	15202.701	13802.619	14639.253	14469.376	12965.052	14357.585	17220.139	12585.209	15678.965	13571.992	11432.899	15051.041	17243.029	14520.024	13943.274	13068.669	13997.897	13545.446	12915.621	17905.484	15044.56	13125.382
