X,Y
0.00000,14038.958
0.13342,14566.794
0.26684,14182.880
0.40027,14239.352
0.53369,14563.526
0.66711,13955.615
0.80053,13560.587
0.93395,14153.733
1.06737,15696.723
1.20080,14909.470
1.33422,15248.335
1.46764,14322.059
1.60106,14759.849
1.73448,14199.636
1.86791,14588.780
2.00133,16077.334
2.13475,15081.826
2.26817,15336.746
2.40159,15634.284
2.53502,14690.708
2.66844,15845.702
2.80186,15859.039
2.93528,17965.498
3.06870,20730.293
3.20212,22485.510
3.33555,20626.906
3.46897,17551.105
3.60239,15941.137
3.73581,14780.877
3.86923,14812.613
