X,Y
0.00000,12371.344
0.13342,12939.049
0.26684,13229.387
0.40027,14608.756
0.53369,15818.595
0.66711,17077.037
0.80053,16269.274
0.93395,15023.702
1.06737,15327.182
1.20080,15044.097
1.33422,14402.117
1.46764,14308.276
1.60106,14828.310
1.73448,13930.908
1.86791,15146.511
2.00133,14307.533
2.13475,15120.577
2.26817,15427.199
2.40159,14747.903
2.53502,14404.011
2.66844,13738.012
2.80186,12860.855
2.93528,12337.163
3.06870,12166.604
3.20212,11936.628
3.33555,11961.671
3.46897,11831.008
3.60239,11519.979
3.73581,11494.135
