X,Y
0.00000,11481.457
0.13342,11360.053
0.26684,13123.417
0.40027,15153.014
0.53369,14282.620
0.66711,14357.545
0.80053,12739.467
0.93395,12978.746
1.06737,13747.688
1.20080,12994.529
1.33422,13115.758
1.46764,13121.990
1.60106,13051.485
1.73448,12612.267
1.86791,12579.054
2.00133,11723.161
2.13475,12677.451
2.26817,13153.815
2.40159,13470.060
2.53502,15890.066
2.66844,16687.000
2.80186,19176.691
2.93528,17212.498
3.06870,15170.210
3.20212,14124.226
3.33555,13598.896
3.46897,12522.030
3.60239,13074.850
