X,Y
0.00000,39464.488
0.13342,37586.824
0.26684,37440.562
0.40027,37061.680
0.53369,37415.145
0.66711,37673.836
0.80053,37976.039
0.93395,36900.902
1.06737,36507.414
1.20080,37006.098
1.33422,35975.324
1.46764,35086.062
1.60106,35198.711
1.73448,37735.109
1.86791,37575.262
2.00133,36894.145
2.13475,36325.672
2.26817,37680.184
2.40159,39174.535
2.53502,39564.426
2.66844,40561.625
2.80186,42671.191
2.93528,44972.004
3.06870,51526.395
3.20212,63694.941
3.33555,84066.062
3.46897,90688.859
3.60239,67827.805
3.73581,49532.078
3.86923,42214.980
