X,Y
0.00000,36273.332
0.13342,35080.641
0.26684,35113.617
0.40027,36260.961
0.53369,35972.574
0.66711,35627.582
0.80053,36220.488
0.93395,37937.855
1.06737,37268.953
1.20080,35431.039
1.33422,35980.891
1.46764,35377.434
1.60106,37628.602
1.73448,36366.078
1.86791,37604.047
2.00133,39290.004
2.13475,39367.320
2.26817,37403.074
2.40159,37970.957
2.53502,39070.258
2.66844,36981.371
2.80186,38970.625
2.93528,38269.867
3.06870,39280.223
3.20212,38799.742
3.33555,40701.957
3.46897,46480.934
3.60239,49093.816
3.73581,48200.848
3.86923,43862.973
