X,Y
0.00000,15087.314
0.13342,15830.807
0.26684,16982.938
0.40027,21292.326
0.53369,25180.566
0.66711,26357.029
0.80053,26310.049
0.93395,24436.525
1.06737,23633.436
1.20080,22738.260
1.33422,24117.877
1.46764,24825.855
1.60106,23304.557
1.73448,21562.307
1.86791,19722.180
2.00133,18284.309
2.13475,16951.168
2.26817,15577.049
2.40159,15585.374
2.53502,15646.635
2.66844,15326.322
2.80186,15947.783
2.93528,14556.987
3.06870,14634.442
3.20212,15602.186
3.33555,15569.062
3.46897,16306.505
3.60239,15906.542
3.73581,13910.221
