X,Y
0.00000,38361.367
0.13342,38488.230
0.26684,39202.895
0.40027,40872.773
0.53369,39253.793
0.66711,38051.828
0.80053,38882.770
0.93395,41129.602
1.06737,40298.281
1.20080,42449.160
1.33422,41859.613
1.46764,41786.207
1.60106,40268.395
1.73448,40029.043
1.86791,42705.859
2.00133,42391.363
2.13475,43561.180
2.26817,44814.094
2.40159,45719.625
2.53502,44332.031
2.66844,41851.793
2.80186,42930.527
2.93528,45948.938
3.06870,50619.777
3.20212,65772.914
3.33555,86919.289
3.46897,87907.000
3.60239,69950.273
3.73581,57176.488
3.86923,49670.246
4.00266,46141.184
